20090223161257AAJHL6X	Politics & Government;Politics	Do liberals think that banks in the USA should be nationalized?	Much like in China and Cuba?
20090222141931AALYCup	Politics & Government;Government	Who is the President of Bhutan ?	I heard last year they switched from a monarchy to a democracy. Who is their president or king or what ever now?
20090222141943AA9r0ls	Politics & Government;Law & Ethics	In the State of California is it legal for an Associate Pastor to also act as Treasurer of a Church?	N/A
20090222142117AAwMJ4E	Politics & Government;Law & Ethics	Can a sixteen-year-old purchase a vehicle without parental consent in Kansas?	My son, a sixteen-year-old minor, had a friend who wanted to sell him, my son, his car. The car is an older, beat-up Chevrolet Corsica, which my son purchased for $295. He purchased this car without my consent and without telling me first--he was excited to buy a car.      After he brought it home, I told him he made a bad decision--the sound system was stripped, the paint is chipped, the radiator leaks, there is oil everywhere under the hood, the car makes a horrible noise when started, some lights  are missing, etc. My son later said, "I should give it to a homeless man so he can  have a home", if that tells you anything about its condition.      Regardless of the car's condition, I do not believe my son has the legal ability to purchase the car without my consent. Both my son and I have agreed that the car should be "re-traded" for the money. The boy has said he does not  want  to and that their transaction is legally binding although I do not think this is the case.      If I were to take this to small claims court, would the judge agree that the $295 should be  repaid and  the car returned? I like in Kansas, by the way.
20090222142141AAkePFx	Politics & Government;Other - Politics & Government	What is the thing that judges hold? (pix)?	ya know the thing they slam down to say "court ajourned" or "order in the court"?      heres a pic of what im talking about:    http://www.techshout.com/images/judge-ko... 
20090222142741AAw0miA	Politics & Government;Law & Ethics	How to serve someone with a small claims court law suit?	N/A
20090222143132AArkFuM	Politics & Government;Politics	Did NATO agree that Iraq had WMDs?	N/A
20090222142813AAsIj7M	Politics & Government;Politics	Why is it okay to draw cartoons of bad things happening to Bush but not Democrats?	Bush is in cartoons that have him getting shot out of a cannon, having things thrown at, and hit.No protesting.      A cartoon is then made about a stimulus bill that depicts a monkey and all of a sudden riots. It was not explicitly Obama in the cartoon (it implied the monkey WROTE the bill, which Obama did not).      EVEN IF it was an evil racist attack planned for months - am I to think that George W. being assaulted in cartoons is less offensive than a racist cartoon about Obama?
20090222142704AA4ajcJ	Politics & Government;Law & Ethics	Nationalization of US Banks?	What caused the nationalization of banks in other countries? How would nationalized banks be different from public corporations? If the difference is just more regulation, can't we do that without government take over?
20090222143724AAXVAtW	Politics & Government;Government	How come my sister food stamps?	how come my sister is getting $93 dollars food stamps a month.  but i get $400.00 dollars for a family of 5 how come she gets more money in her food stamps then i do. could it be that her food stamps total went up already 13%
20090222144026AANmYfL	Politics & Government;Politics	At this moment, would you prefer having a Republican or Democrat Governor in your state?	(Arnie doesn't count. He is having a serious identity crisis. lol)       http://www.realclearpolitics.com/article...       Govs. Granholm, Pawlenty, Rendell, and Sanford on "Fox News Sunday"      Governor Sanford, South Carolina has the third highest unemployment rate in the country. Under the package, you would get $8 billion that the White House says would create 50,000 jobs in your state, and yet you say you may not accept all of the money, including some of the money for unemployment benefits. Why not?      SANFORD: Two reasons. One, at times it sounds like the Soviet grain quotas of Stalin's time -- X number of jobs will be created because Washington says so. And that's not the way that jobs get created.      I would secondly say what we are looking at is, in many cases, the money that would come to our state comes with substantial strings attached that, frankly, undo a lot of what we're trying to do at the state level.      Take, for instance, unemployment benefits. What we would be required to do would be, for the first time, increase the level of benefit for part-time workers. In other words, right now, it's full- time workers -- increase it to part-time workers.      But this same fund had to go to the feds this fall to borrow $140 million, has come back to ask another $170 million from the fed. And so it becomes somewhat circular. We can't pay for the benefits already in the program, but to get the stimulus money, we've got to increase the program's size and scale.      WALLACE: All right.      Governor Granholm, unemployment in Michigan is 10.6 percent, which is the highest in the nation. And you say you're going to take every one of the $7 billion coming to your state. Why is Governor Sanford wrong?      GRANHOLM: Well, this, to me, is not about philosophical theory. This is about real people who, through no fault of their own, are laid off because of a recession. They need to be able to put food on the table.      So you better believe I'm going to take every dollar that is coming to Michigan. And if my colleagues here in Minnesota and South Carolina don't get -- don't use theirs, I'm going to be first in line to say for my people, for our citizens, to put people to work and to make sure that they can survive through this, I'll take their dollars, too.      WALLACE: Governor Pawlenty, you have criticized -- I'll get to you in a minute, Governor Sanford.      You have criticized the bill that Congress passed, but you say you are going to accept all of the $4 billion in the stimulus package that Minnesota would get.      Why don't you share your Republican colleague Governor Sanford's concerns about the long-term negative effects of this spending?      PAWLENTY: Well, I do. I don't like this bill, but it is now the law. It's not the bill that Mark and I would have crafted, but it's now our responsibility and opportunity to try to implement it.      In Minnesota's case, we are a major net subsidizer of the federal government, and that's unlike some other states. For every dollar we send in, we only get 72 cents back. So we're paying the bill either way. We're going to take our share of the money.      We also don't have some of the same impediments as some other states. In the unemployment area, this is a time to try to help unemployed people, and most of the enhancements that the federal government is requiring the states to undertake on this bill we did years ago. So it doesn't impinge us or hurt us in that regard in Minnesota.      WALLACE: Governor Rendell, Pennsylvania gets the most money of all your four states from the stimulus package, $16 billion.      Weigh in on this argument, but also, you say that you're not sure that this money is actually going to fix the economy. Why not?      RENDELL: Well, in the long term, I don't think anybody can be sure that any single thing is going to fix the economy. It has to be a number of things, attacking on all different sides of the problem. But I do think it will create jobs.      I mean, one thing I think we all agree on -- and I hesitate to speak for all of us -- is that the infrastructure dollars do produce jobs. There's no question about that. You fix a bridge and people have to work on the bridge.      You fix a bridge and orders have to go out, hopefully, to Pennsylvania, or South Carolina, or Michigan, Minnesota companies, factories that desperately need orders -- steel, concrete, asphalt, lumber. So there are aspects of this plan that are definitely job producers.      And in Pennsylvania, I think we'll net about the same amount of jobs we've lost since August, 60,000 or 70,000 jobs, by the time we're done. So there are elements of this that are terrific.      It's not all stimulus. I mean, part of it is relief, and I think Tim said something that was very important. I'm not sure that we can, over the long run, cope with the higher unemployment compensation standard that this mandates for states, but I don't care.      My people are suffering. My people ar
20090222143131AA3WTuM	Politics & Government;Politics	Why does the Obama Administration continue to bully anyone who doesn't agree with the Porkulus?	Some of my most liberal friends don't agree with it, and I have no idea where Gallup gets their numbers. Most people I know hated this bill.      However, Obama's administration basically called out Rick Santelli when he provided a perfectly reasonable reason why he didn't like the bill.
20090222143359AAysb4g	Politics & Government;Politics	Do you know anyone that makes under $250k that smokes?	They got their taxes increased.
20090222143543AA7EBhK	Politics & Government;Government	What is your opinion on the govenors of Mississippi of Louisiana refusing the stimulus money?	 http://www.foxnews.com/politics/first100...       From the Fox News Network, some governorss are refusing the stimulus money.      I live in Louisiana and my opinion is that Jindal and Barbour are right.  The stimulus money does come with too many strings attached.  "The federal stimulus bill says it has to be a permanent change in state law if you take this money, so within three years, the federal money is gone, we've got now a permanent change in our laws."  Jindal says on NBC's Meet the Press.  In my thoughts that this money is just a way to delay problems that are already happening, not a solution.
20090222143742AAtcSDs	Politics & Government;Elections	Isn't it true that nobody can count numbers of "jobs saved"?	 http://online.wsj.com/article/SB12350026... 
20090222143403AAZ8jUv	Politics & Government;Law & Ethics	Got arrested for a section 47 whilst doing security work,got bailed till march,should I get a solicitor now?	One guy was injured whilst been restrained,three males wer attacking us with bottles and fists
20090222143418AAeo5Cw	Politics & Government;Government	Poll, for Oregonians only?	Please don't look up the answers, this is for a politics class. If you don't know just write idk.      What is the name of the Vice President of the United States?      What is the name of the First Lady of the United States?       What is the name of the Secretary of State?      Who is the speaker of the House?      Who is the Senate Majority leader?      What is the name of the Governor of Oregon?      What is the name of the Mayor of Portland?       What is the name of one of Oregon’s senators?       What is the name of one of Oregon’s House members?       What is the name of the Governor of Washington?          Your first name:   Age:   Gender:   Race:   Zip Code:
20090222143341AAvO9GR	Politics & Government;Elections	Is Barack Obama more famous than any actor or actress at tonight's Academy Awards?	N/A
20090222142741AAnES9V	Politics & Government;Politics	If the United States goes to ****, where do we run to?	Asia, Australia, Europe, Latin/South America?  Where should we go in order to continue to live a happy life and seek refuge from the corrupt government that America has become.
20090222143401AAVJ2fQ	Politics & Government;Other - Politics & Government	And now a third bank bail out? Does Gordon Brown know what he is doing? Is he fit to run the country?	I've heard that Bail Out number 22 is the really interesting one!
20090222143408AATzwcK	Politics & Government;Politics	If you're so poor and miserable, then why are you continuing to have so many children?	Just to spread around the suffering?    How many Americans would be financially secure through this economic crisis if they had not irresponsibly had half a dozen kids that they must now keep fed and clothed?
20090222142719AAPtsHC	Politics & Government;Politics	Is there any solid proof, that, Bush had invaded Iraq over oil?	N/A
20090222142323AAx2WXu	Politics & Government;Law Enforcement & Police	How long in juvi?!?!?	alright so im 14    live in california   last year i got expelled for school/arrested for having weed on me and i got off easy with going to the pride program.      yesterday i got caught stealing 50 worth of stuff no police involved.   i have 2 ecstasy pills on me and they are seperated into baggies to sell   my parents are going to call the police how long in juvi ?   if the judge drug tested me coke, meth, mdma, and thc would show up      how long in juvi??!?!?!?!   i dont want your advice/lectures    or sympathy   just answer the question please
20090222143357AACtskD	Politics & Government;Law & Ethics	Nadya Suleman laws that pertain to her situations?	Nadya Suleman gave birth to octuplets and 6 other children 3 of which are disabled. She has been unemployed since 2001. Receives $490 in food stamps and $797 per month for each of the 3 disabled children. She has spent $13,862 on cosmetic surgery 3 different times. Has a 3 bedroom home owned by mother. Listed as home care provider mother funded $255 a week for 6 different children. **Behind $23,000 in mortgage for 10 months. There is a federal and state law that anyone under the age of 35 can only have 2 eggs implanted but Nadya Suleman is 33 and supposedly had either eight or six. Can anyone give me a REAL law that pertains to Nadya Suleman's situation just name one. Like maybe something to do with mortgage or the eggs implanted.
20090222142643AAVQJoB	Politics & Government;Politics	Do you think it was a bad idea for the president to buy Lousiana Territory?	Im not sure if it was a bad idea or not if Thomas made a bad descion to buy the Lousiana Territory. Do you think he should keep the land or sell it?? thanks (:
20090222143023AAEte1h	Politics & Government;Military	Joining the Army as an Officer?	What would be chances of entering the Army as an Officer (direct Commission)?  I am 34 years old.  I will get my BA in Business this May and have over 12 years work experience.  I took ASAVAB and got GT score of 129 and AFQT of 92.  Any suggestions will be appreciated.
20090222143503AA5zfgq	Politics & Government;Law & Ethics	Questions about homicide?	so im kind of confused about who would be charged with what.   the choices are:    first degree murder   felony murder   second degree murder   voluntary manslaughter   involuntary manslaughter   negligent homicide      1. say this guy trys to shoot this girl because he blames her for all his problems.  He is going to her house to kill her and he accidentaly hits a jogger who ran out in the street.  The guy stops and sees if he can help the jogger but their dead.  He was driving at an safe speed and the collision was unavoidable.      2.  this girl buys a car from this car place.  she trys to return the car but the guy she bought it from wont let her.  She keeps having to make repairs on the car and gets angry each time.  She decides she wants to get even with the man so she wants to hit his car.  She follows him and hits him hoping to bend the frame but instead she hit the gas tank and the car  explodes killing him.      3.  these 2 people want to rob a bank.  one is going to rob it and the other is going to drive the get away car.  She goes in to rob the bank and the security gaurd goes to shoot her but kills a customer.
20090222144020AAtIxiP	Politics & Government;Law & Ethics	In the state of TN if a man starts paying his child support does he automatically get to see his child?	Me and my ex were never married and he has never helped to take care of our child at all. He has made threats against my person and also to take my child away from me and I would never see him again. However, I cant prove the threats. He has a bad family history of everything. He told me that he had heard that if he starts paying his child support that he would get to see our son every other weekend and one day a week overnight. Our son is 19 months old. I have a lawyer who has told me that this is not true but I just want a second opinion.
20090222144034AA1h4YF	Politics & Government;Law Enforcement & Police	Can the police enter my backyard due to a noise complaint?	We had a couple of people over for a BBQ that lasted pretty late in the evening. We weren't being very loud (in my opinion) but we have had an ongoing problem with a neighbor that complains about anybody and anything. The police entered my backyard (a total of three) and ask me to step outside. I walked outside and they asked me for my I.D. which I provided. They told me that they were there due to a noise complaint. I asked them if they though we were being to loud and they took a few moments (looking perplexed) and replied yes a little bit. They asked us to maybe take the party inside. We were in an enclosed lanai. I told them "we were inside". They then asked me a few questions and I drew the line when they asked me where I worked. I told them that it was none of their business. I then asked them that I would like to file a complaint against the neighbor that called them out and possibly themselves. This was probably the 5th or 6th time the cops have responded due to a noise complaint and the 1st time they actually said we were being a little loud. I asked them to provide me with some identification and they refused. It was at this time I told them that if they couldn't provide me with I.D. to leave my property (which they did). So I am wondering if they couldn't hear us from the front yard, does this give them probable cause to enter my property? Do they need to know were I work in this instance? Do they need to provide I.D.? Did they violate my right in not allowing me to file a complaint against my neighbor? I love and totally respect the police departments of our great nation. But in this occasion, I felt a little violated and am embarrassed that we can't host a little get together without the police being called out. There were 5 of us on the lanai not 20 or 30. We were being respectful. None of our other neighbors ever complain. There are neighbors that even live closer than our problematic neighbor. Does anyone one have any advice on this matter?
