20090307160728AA7I1C8	Education & Reference;Words & Wordplay	What is your faovrit name?	mine is rachel
20090307165034AAhScoj	Education & Reference;Higher Education (University +)	Do ivy league colleges look at your middleschool grade or just highschool?	If they do look at ur middleschool record then how much does it affect ur chances of getting in if you had a 3.5 gpa in middle school but in highschool u had a 4.0 gpa
20090307165153AAKVGN9	Education & Reference;Higher Education (University +)	Do you have a better chance getting in to a college if you apply for early decision?	why or why not?
20090307165459AA9n1Or	Education & Reference;Homework Help	BASIC ALGEBRA PROBLEMS?	ok. I just can't get these 3 problems. I have asked everyone possible in my family, but everybody is busy right now...CAN ANYONE PLEASE HELP ME???      1. The surface area of a cylinder is given by the polynomial 2*pi*r + 2*pi*h. A cylinder has a radius of 2 centimeters. Find the surface area of the cylinder. Use 3.14 for pi.      2. A firework is launched from the ground at a velocity of 180 feet per second. Its height after t (t is the variable) seconds is given by the polynomial -16^2 + 180t. Find the height of the firework after 2 seconds and after 5 seconds.      3. A piecce of cardboard that measures 2 feet by 3 feet can be folded into a box if notches are cut out of the corners. The length of the side of the notch will be the same as the height h (the variable) of the resulting box. The volume of the box is given by 4h^3 - 10h^2 + 6h. Find the volume of the box for h=0.25 and h= 0.5.       THANX IN AdVANCE!
20090307165511AA2hO6k	Education & Reference;Homework Help	Need to make a poem about the sun.?	- must have 2 literary devices   - must have some rhyme   - must be at least 3 quatrains/ 12 lines
20090307165626AAJuv5X	Education & Reference;Homework Help	Determine the slope. m= (-1,0) and (0,2) Find the slope of the line. Simplfy your answer. n if undefined?	N/A
20090307165840AArvubm	Education & Reference;Other - Education	I CAN'T SEE THE FUNKY LETTERS AND NUMBERS BECAUSE OF THAT ADDRESS THING. HELP!! LOIS?	N/A
20090307170149AAvpqHg	Education & Reference;Higher Education (University +)	Do you think having a higher education makes you more successful in life?	Have you, or have you not experience higher education? Do you think having gone through the process makes you successful than those who did not? Life is of so many little aspect. By saying successful in life, what do you mean by it?
20090307170648AAzdYEw	Education & Reference;Higher Education (University +)	Can you tell me why higher education is not necessary to be successful in life?	Many people go to universities and college, yet there are some who did not but have achieve great things. Can you tell me why higher education is not the most important aspect to be successful in life?
20090307170940AA2oxPn	Education & Reference;Higher Education (University +)	Can you tell me why higher education is needed to be successful in life?	Why do we need it? And how does it affect our course in life?
20090307170144AAYyRPH	Education & Reference;Financial Aid	Whether or not I am considered a veteran.?	I served in the Air Force Reserve for 6 years - enlisted from 1981 to 1987.  Was honorably discharged after 6 years.  I was never called up to Active Duty or any conflict - just served one weekend a month, and my 2 weeks annual training, and some other training periods.  I want to know if I am considered a veteran, and if so, are there any benefits.
20090307170240AAKoBrc	Education & Reference;Higher Education (University +)	I need information on U.E.I college?	i need info on U.E.I college.and i would like to kow wnen you apply for u.e.i college is it neccasary for you to give your highschool transcripts?
20090307170314AAq2vQr	Education & Reference;Higher Education (University +)	Should i go to school for nursing or for cosmetology and why? i live in southern cali?	N/A
20090307170410AAHvcJm	Education & Reference;Words & Wordplay	How can I rephrase this so that it doesn't sound like an assumption?	"Primitive life on Mars indicates that life existed at one point in time, and therefore may exist somewhere else in outer space."      It's the "therefore may exist somewhere else in outer space" that sounds like an assumption. Can you help me rephrase the sentence so that it sounds strong and not like I'm assuming something?
20090307170423AAHWPbH	Education & Reference;Words & Wordplay	Does hun mean honey for short?	Cause this gut text me about im sorry hun I bern busy lately
20090307172433AAKYGuL	Education & Reference;Homework Help	Biology Project Help 10pts!!?	Can anyone think of an analogy to rough endoplasmic reticulum?       Its part of a biology project I need to do. I need a creative idea to make a short movie about this organelle.I have to include things like structure, function etc.. but it has to be in a way creative way.    Please some help me think of an idea!!! Thanks!!!
20090307170819AAGzvoF	Education & Reference;Words & Wordplay	What does ain soph aur mean?	N/A
20090307170826AAlAb3z	Education & Reference;Other - Education	When is Vladimir Atapin's birthday?	N/A
20090307171055AAqkCN6	Education & Reference;Other - Education	Does the time change tomorrow/later mean 1hr earlier or later?	N/A
20090307171127AA2X7a3	Education & Reference;Homework Help	Why did Jonathan Swift call his essay, "A modest proposal"?	N/A
20090307171337AAoK1vc	Education & Reference;Quotations	How would I cite a quote when there is no page number? (ie: Prologue).?	Writing a paper and have hit a brick wall on how to cite a quote from the prologue of the book.  I have checked a few resource cites without any answers.  I hope someone here will be able to help me.      Thanks
20090307171343AAb1TuY	Education & Reference;Words & Wordplay	Dreamline by Rush Lyric Interpretation?	What poetic devices does Rush use in their song Dreamline?   Poetic Devices examples:   -similes   -alliteration   -oxymoron   -hyperbole   -enjabment   etc.       Thanks :)
20090307171451AAtXYE9	Education & Reference;Higher Education (University +)	Chances of getting into NYU, Notre Dame, and Northeastern?	5.3 weighted GPA   3.43 Unweighted GPA   46 College Credits From Dual Enrollment   Over 1000 community Service Hours   Top 8% of class of 759      My one flaw is that I got a 21 on ACT
20090307171515AAZVCcI	Education & Reference;Words & Wordplay	What's the definition of a shlub?	N/A
20090307171526AAbH1Rq	Education & Reference;Words & Wordplay	I need a sentence translated into irish gaelic..your love will forever be my strength. can anyone help?	its for a in memory of tattoo
20090307171545AAhO4If	Education & Reference;Homework Help	Symbolizing the Enzyme-Substrate Complex?	The assignment is to make a 4 (or a little more, but still brief) box comic strip symoblizing the enzyme and substrate, them making the complex, then the substrate being broken.   It helps if it is funny.   One that a peer did was a boy and a girl. They met. Then the complex was them holding hands. At the end, the boy was eating a large tub of ice cream and watching The Notebook.      Please make ideas appropiate, after all, this is a SCHOOL assignment.      10 points is at stake!
20090307171753AAyWunG	Education & Reference;Teaching	Can anyone help me find sources for my math education research paper?	I need to find at least 2 research sources (actual studies with findings/conclusions) in mathematics education which describe how students learn imaginary/complex numbers. These need to be from peer reviewed sources/peer reviewed journals.  I also need 3 teaching idea sources, but i'm not having as much trouble with that as I am with finding the articles on research findings....      I'm almost convinced that there aren't any studies/research on teaching and learning imaginary numbers.      These sources need to be from 2000 to present.      If anyone can find anything I can use, I'd REALLY appreciate it!!
20090307171823AAo4Vs6	Education & Reference;Homework Help	My Side of the Mountain - Short Summary? 2 Paragraphs ~ ASAP PLEASE!?	Yeah I need some peoples examples to give me a good idea of what to write in my essay for my book report. Thanks ~Mike~ ASAP PLEASE!!
20090307172106AAhLpfg	Education & Reference;Homework Help	HELP PLEASE!!!!!!!!!!!?	I have a report on stroke for a cna class and i need help with an opening paragraph!! PLEASE help
20090307172139AAH1T6Y	Education & Reference;Homework Help	What are some questions?	what are some questions I could ask if I'm doing a project on comparing the planets to moons?
20090307172158AA4aXBK	Education & Reference;Higher Education (University +)	PA degree before starting Medical School?	Should i enroll in a pre-med program and then take the MCATS or should i enroll as a Physicians Assistant and get my degree in that instead and then go on to take the MCATS. Which would benefit me the most? If i went in as a PA, how would i do on the MCATS or should i go into pre-med so i can do well on the MCATS?
20090307173045AAKpE78	Education & Reference;Higher Education (University +)	How can I become a high school principal?	Please be as detailed as possible. Thanks!!
20090307173228AA4HOdY	Education & Reference;Homework Help	For a bibliography. who would be the author please help this is due monday.?	 http://www.nps.gov/deva/ 
20090307115751AAZjVSt	Education & Reference;Preschool	Why is it important to develop positive relationships with other adults' in a setting?	This is a nursery.
20090307173015AAQe50e	Education & Reference;Higher Education (University +)	What is the best colleges near or in Texas for Forensic Science?	I want to be a forensic scientist when I am older, and I decided I need to start researching colleges now since im about to be a junior in high school. I think I want to go to a college relatively close to home, which is Texas, so I was wondering what the best colleges that offered programs and bachelors degree's in forensic science were. The states i'm kind of thinking about are Texas, New Mexico, Arizona, maybe even as far as California, Colorado maybe, and Nevada. Any help would be greatly appreciated. Thanks!
20090307173100AAcdYOc	Education & Reference;Higher Education (University +)	Question about Universities in general (NorthEastern U. Specifically!)?	This may be a stupid question, but are the buildings of universities close together? I'm not talking about how many feet on average, but if there are several different colleges, are they close in proximity? (as in not on the other side of town).      More specifically, are the cuildings of NorthEastern U together?      Thanks!
20090307173513AA6ohPQ	Education & Reference;Primary & Secondary Education	School acceptance last minute?	Tomorrow I should be receiving my decline,waiting list, or acceptance letters to a catholic high school, that I do not want to attend. Is there anything I can do to change my mom's opion on the school and let me attend the local highschool. Please help
20090307173010AALVFc2	Education & Reference;Homework Help	How do I solve this word problem?	The larger of two negative numbers is 5 more than the samller. If the square of the larger number is increased by 27, the result is the smaller number multiplied by -7. Find the numbers.   Please show steps how to solve.
20090307173537AAc45if	Education & Reference;Words & Wordplay	Is autism a proper noun?	thanks
20090307172751AA6mI67	Education & Reference;Words & Wordplay	What are some words that would be really cute names if they weren't already words :|?	??????????
20090307173608AAZHeA3	Education & Reference;Homework Help	Write a sentence containing a series of ordered pairs...for English. please help!?	i need help writing a sentence that contains a series of ordered pairs. The series should contain three balanced ordered pairs .... can you please give me examples of this, i dont understand this concept.
20090307173841AA5Jluf	Education & Reference;Homework Help	I need help with english!?	write a sentence that has a series of appositives at the beginning, followed by a dash, followed by atleast one independent clause. The appositives should all rename the simple subject of that independent clause.    please write example!   thank you!
20090307172853AA1DtcH	Education & Reference;Higher Education (University +)	Can i take my college training to become a nursing assistant at home?	N/A
20090307172646AAoyvZ0	Education & Reference;Homework Help	How do you do this hard maths question?	Find the equation of the tangent to the circle with equation x^2 + y^2 = 8      at the point: (2,2)      PLEASE HELP I NEED TO KNOW THIS, THANKS IN ADVANCE =]
20090307172806AAzDqZ0	Education & Reference;Words & Wordplay	What does the phrase "I love the way you love but I hate the way I′m supposed to love you back" exactly means?	This phrase is from the lyrics of the song "Miss you Love" by Silverchair.
20090307173300AAdP3Ft	Education & Reference;Words & Wordplay	Do U hat3 p3opl3 that type like th!s?	Read the title
20090307173000AAAso4R	Education & Reference;Higher Education (University +)	How easy is it to cheat taking online classes to get a degree?	N/A
20090307173008AA7aDyA	Education & Reference;Homework Help	How can 6 6 6 6 = 4 please help?	please its a question on my maths assignment please help me    you aloud to no use all the digets and can only use plus minus times and divde
20090307173008AAhb4Ex	Education & Reference;Higher Education (University +)	Need advice on what graduate degree to obtain?	I can not decide on what degree to go after. When I am looking for a degree to obtain I am looking for what jobs that degree will open up for me. Here are some facts; I will be obtaining my BSBA (bachelors of Science in Business Administration) with a minor in human recourses from DeVry University in two weeks. I want to immediately go and attain a graduate degree because I know that I will not be motivated to go back to school later on in my life and a DeVry degree is worthless. The school that I want to attend is CSU (California State University) Sacramento because I don’t want to spend 5 times more money on a private school. Here is a link of all the graduate degrees that they offer.        http://aaweb.csus.edu/catalog/current/Fi...       My strengths are that I am a:   ? Outstanding leader   ? Strong problem solver   ? Effective public speaker   ? Good mathematical skills   ? Excellent understanding of concepts   ? Superb reasoning skills      My weaknesses are that I:   ? Have problems writing constantly   ? Do not have the most extensive vocabulary   ? Hate remembering useless information that will not benefit me   ? Do not like to be doing the same thing over and over again   ? Like to use my brain      What I think are good carrier characteristics are:   ? A salary of around 75k to 100k    ? To rarely work more than 40 hours a week   ? A job that should be around for 40 years   ? The job to be is somewhat of demand   ? That maybe requires a license      What I think are bad carrier characteristics are:   ? A job that will not get affected much by outsourcing or of shoring   ? The ability to get the job without a degree in that field   ? The lack of critical thinking involved that the employee is more like a tool than a person   ? An inconsistent salary (like contractors)      I know that I am not going to find a perfect job that fits me to the T but I would like to at least like to get one that comes close. I have thought about getting a MBA (Masters of Business Administration) but I am not sure I want to do it because I am kind of scared of the business world, the MBA is not necessary to become a manager, and it is kind of getting devalued. Please correct me if I am wrong. So what degree do you think I should apply for?
20090307173123AAFDtbF	Education & Reference;Higher Education (University +)	I'm a high school student i dnt know what career to choose.I love fashion,colour etc but i dnt like to design.?	clothes etc... any suggestion on what i could study..:D it would be very helpful!
20090307173304AAni8cg	Education & Reference;Words & Wordplay	What word could I use instead of "miss"?	I need another word to use instead of miss, as in "I miss the taste of cake" or something like that.
20090307173725AA41i8n	Education & Reference;Homework Help	My partner and i can't figure out a good hypothesis plz help!!!?	me and my partner is doing a project to see what teeth whitner works best..we are going to dye an egg and test the product...the whitners are..listerene...baking soda and water..lemon and water...i really need to make a good hypothesis!!help!!!
20090307174133AAtaZQt	Education & Reference;Homework Help	What's this disease in french-not sure how to translate it.?	the disease is ''Post-traumatic stress disorder''. Not sure how to translate it to french yet.
