20090128152649AA9OJF0	Arts & Humanities;Books & Authors	What is the house of night series about?	i want every detail like how many books what are the called what are they about etc.
20090128175019AA3B7oC	Arts & Humanities;Theater & Acting	Does being a naturally emotional person makes that person a good actor?	As in being someone who is able to cry or laugh, or feel angry naturally with control...(like bringing the emotions of the past back to life)..      Rather than generic reciting of scripts and looking at other people (famous actors) at how they physical portray emotions..      By the way i worked as an extra for few ads and was thinking that i would make a good actor since i have so many emotions concealed./hidden in me as well as high level of self-control for it.   like making tears come out /or eyes water without saying anything or making silly crying noises..         ..Personally for me when it comes to me showing my emotions to other people in real life, I'm afraid to show it and than i end up learning to control/hide my feelings.      But once i get into character I feel its gives me the chance to express the characters certain emotions.
20090128173720AAOXYFu	Arts & Humanities;Visual Arts;Photography	Pick your favorite of my pictures?	and explain why :]         thanks!   :D
20090128180557AAPpEzg	Arts & Humanities;Visual Arts;Drawing & Illustration	Im bored, and I need drawing ideas. ?	I really feel like drawing but my mind is blank and im going to buy some chcolate milk, so hopefully when I come back you guys will have some good ideas. Also I like drawing the creepy, gory, and eerie things like gargoyles and human hearts..but i alreasdy drew those so yeah... Thank you!
20090128181048AAvN3XV	Arts & Humanities;History	The Confederate Government was able to achieve which of the following goals?	The Confederate Government was able to achieve which of the following goals?      A) recognition by a foreign power    B) frequent victories over Union Armies   C) a stable monetary system   D) a strong central government   E) control of the southern river system       thanks, i could find this one!
20090128174123AAdOlTA	Arts & Humanities;History	Why was times of slavery more like a culture than a civilization?	i need a few reasons for this as to why times of slavery or even just times where blacks were mistreatedwas more like a culture than like a civilization.
20090128173102AAoTR8B	Arts & Humanities;Books & Authors	I NEED TWILIGHT B-DAY PARTAAAY IDEAS!!!?	I'm having my birthday on jan. 31st, it's a sleepover, and it's all snowy and slushy, so nothing outside....i need decoration and activity ideas. someone help!!! 10 points for the most ideas, and the most creative!!! I'm already puttin printed out pics of the cast and their names and taping the on balloons....hehe. and i have red and black EVERYTHING!!! I have apples, and  sign on my front door tht says Forks, WA. any other helpful ideas please!!!
20090128173140AAPKGza	Arts & Humanities;Philosophy	6th What Object Am I?	Try to guess what object I am talking about, and good luck! Here are your hints.      Hints:      1. People wear me whenever they go out in public.   2. I come in all different colors and go well with tops.   3. If it is too cold, I am designed to be longer. If it is too warm, I am designed to be shorter.      The answer is very obvious but I tried to make my clues a little hard. Good luck! Guess what object I am talking about!
20090128174134AAuopJh	Arts & Humanities;Books & Authors	How hard will it be to publish a book? (without costing much please?)?	I am not even close to getting done with writing my book, but I am very curious on how to publish. How exactly do I publish, without it costing much? Nothing has told me on the search engine how to publish with it not costing much.
20090128175756AAcHkOK	Arts & Humanities;Books & Authors	Have any recommendations?	i LOVE to read. I usually have one book ready to read as soon as i'm done with the other.   i have a list that i write down whenever i hear a good book.. but i've become pretty picky lately.. and havent enjoyed reading them as much as i used to   but my favorite author is jodi picoult. and i still like her books.. but i was wondering if there are any similar authors? i like meaningful books, no mysteries or science fiction stuff. i like thought provoking stories. any recommendations?
20090128174106AAX0Rt1	Arts & Humanities;Books & Authors	Who do the characters of "the wizard of oz" represent? ?	lion, tin man ,scarecrow ,dorthy
20090128172440AABxLvw	Arts & Humanities;Performing Arts	What song should i sing?!?	so im 13 and at my school we do this project in chorus where you sing a song and if you get picked, you sing at one of the concerts. im having a lot of trouble choosing which song to sing! its for a grade and i want to do something that i can actually sing and thats appropriate for a concert. i'm soprano but i can sing alto also, so i guess i have a good range. any suggestions?
20090128180120AAKVDe9	Arts & Humanities;Books & Authors	So Im wondering how I can find books that have a movie? ex. Green Mile or Nights in Rodanthe..?	ex nights in rodanthe   green mile   the notebook   iam wanting to read books that have movies on them. I want to read the books first of course..Didnt know if their maybe a website to go to..
20090128175131AAmiPQn	Arts & Humanities;Visual Arts;Drawing & Illustration	How hard is it to learn pencil drawing? ?	is pencil drawing difficult? I find i like the look of pencil drawing :)
20090128181607AA2lefn	Arts & Humanities;Books & Authors	What's your favorite character in the " Twilight Series "?	I was just wondering what everyone's opinion was on the characters int the series.
20090128174123AA4UgCZ	Arts & Humanities;Visual Arts;Other - Visual Arts	What are the characteristics of paint, sculpture and arquitecture of the middle ages?	I would like to know at least 5 characteristics of each topic ?
20090128174030AAphDan	Arts & Humanities;Dancing	What kind of dancing does moose from step up 2 do.?	Is it tutting, turfing , krumping, breakdancing or a mix of all. what is it called?
20090128181002AAE8qXC	Arts & Humanities;Dancing	What song would be good to choreograph a lyrical dance to?	Like a rock/metal song.    Not pop or classical, not really a ballad either.   Something upbeat and hard but you can dance lyrical/ballet to.
20090128173340AA9c40Q	Arts & Humanities;History	What does the Canadian flag represent and why?	So, the canadian flag is a leaf. Great. What does it mean?
20090128173351AAwojDq	Arts & Humanities;Visual Arts;Drawing & Illustration	Are there any good amine directors like Hayao Miyazaki?	I have seen all his English movies and I am wondering if there are any good anime directors like Hayao Miyazaki.
20090128173914AATCe7l	Arts & Humanities;Dancing	I'm going to be 21 this year, am I too old or out of shape to take ballet lessons? ?	I'm going to be 21 this year and really want to do something that I've always dreamed of doing, which is to learn ballet. I'm overweight (but not obese) and I just want to know if it's a possibility or if I should just give it up. Do I have to lose some weight first? Will I be put in a class with five year olds?
20090128172813AACtqXy	Arts & Humanities;Poetry	This reminds me of a marching song. What do you think?	Jump up my friend!   It's time to go   to show the world   of what you know!   We must charge forth!   Let not us stay   bring bout your swords   and save the day!   Shine your boots   and mount your steads!   Live life for life   and not for greed.   Your helmet gleams   so does your word   forth come your dreams   and your assured   that all is right   but surely not   for shall we charge   to life you sought!   Nor love bring ye   a sense of warmth   but explore the world   that been brought forth!   Cadence loud!   March to run!   hands gripped about   a throat and gun!   Shout words of life   and barks of death   they shelter now   under your breath!   It is time my friends   make life a life   load your rounds   and sharpen knifes!
20090128172411AAYRN8h	Arts & Humanities;Genealogy	How do I find out where someone is buried?	N/A
20090128175324AAoghcm	Arts & Humanities;History	How did ancient spartans body build?	hi guys i was wondering how did ancient spartans body build there werent no protien shakes or fancy gym equipment at that time but they managed to get a six pac can someone tell me what they did and what was their diet like?
20090128181450AAP50Rs	Arts & Humanities;Theater & Acting	I need a good nick name!  please help?	I want a name that i can refer to myself as!  My initials are JC      ideas pleasee =D
20090128173345AAvuHTx	Arts & Humanities;Theater & Acting	Violet's costume for my school's willy wonka play?	my school is doing willy wonka jr. as this year's play. and i, with a LOT of practice, managed to snag the role of violet(the one who turns into the blueberry). i have my choreography and my song down pat; the only thing im having trouble with is my costume. my teachers bought an adult sized sumo suit to wear underneath a big, purple dress i bought. but when i try it on together, it looks hideous. words cannot describe just how awful i look when in costume. after seeing how upset i was about the fact that the suit sagged in every which way, they ordered a child's size. but im not convinced it'll work out because the bulkiness wasn't the only problem with the outfit. the arms and legs are nuisances because they're too big and its hard to cover them up. i guess the smaller size will make that less noticeable, but just the way the design of the suit fits makes it not work with any of the dresses i tried(and ive bought 3 dresses just for this part). my teachers dont seem very much concerned with how ridiculous i look, and i understand that im not going to look perfect, but this whole "taking one for the team" thing is getting old. i already have to speak with a southern accent(believe me. that took work.), and i dont want to look any more pathetic than i already do. if any of you have any suggestions, or even played the part of violet in your schools version of willy wonka, please let me know how you handled this role. i honestly love it, and i worked so hard for it, but at this point, the frustration of it all makes it seem like its not worth it anymore.      haha. wow. that ending was rather dramatic.
20090128173511AAuI2Av	Arts & Humanities;Books & Authors	The Catcher and the Rye?	Is it bad that i can relate extremely well to the main character in this book?
20090128181014AAvnGD9	Arts & Humanities;Poetry	Please Take A Look And Comment?	It's like looking through a one way mirror,   No one seems to care,   But when they need a shoulder to cry on,   You're expected to be there.      No one round to listen,   While your life falls apart at the seams,   You might as well be far away,   No one hears your screams.      Do they know that your daddy left,   While you were tucked in bed last night?   He couldn't handle mummy taking her life,   But they didn't see you cry,   Instead they come to you in tears,   Cos they got pudgy thighs.      Now you sit on your bed at midnight,   Pouring out your little heart,   But You know there's not enough time,   To clean yourself up,   Before your next act,   Your little sister pokes her head around the door,   She sees your tear stained eyes,   She doesn't have to say a thing,   Cos she's also been through so much,   You can both sit and cry.
20090128173813AAxOoVx	Arts & Humanities;Poetry	Can someone help me make a poem?	1.Name an object using two words   2.Write a modifying phrase about the object   3.Write a simile about the object   4.Write a free association line   5.Name a color using an adjective   6.Name a color using an adjective   7.Name a color using an adjective   8.Name a color using an adjective
20090128173453AAt8Xzv	Arts & Humanities;Dancing	Dance Emergency! DFW (Dallas Fortworth Area)?	Does anybody know any studios where they teach Ballroom and Ballet in the same building for a good price? Please answer quickly, I'm DYING TO DANCE! lol, but seriously. If the place is in Allen or any nearby cities (Plano, McKinney, Garland, Richardson) thats even better!
20090128180718AAAcpVi	Arts & Humanities;Dancing	Good dancing song. I need one any idea's?	N/A
20090128174935AAuApGi	Arts & Humanities;Dancing	Doing the splits...help?	i am doing a dance class the prob. requires the splits. i really want to and im pretty flexible. any suggestions?
20090128175835AAuS73Q	Arts & Humanities;Philosophy	If the reason to live is because it's better than the alternative, is it okay to kill yourself if it's not?	So say you decide that the only reason you are still alive is because it's better than the alternative.  Because you're afraid to die.  Now as your fear of death wanes, and your life gets progressively worse, some day life isn't going to be better than the alternative.  Is it then okay to kill yourself?
20090128174923AAgqH2S	Arts & Humanities;Theater & Acting	Do i have a good singing voice?	 http://www.youtube.com/watch?v=dXFWpFDjW...       be COMPLETLY honest. thanks!
20090128175637AArKx9p	Arts & Humanities;Books & Authors	Can someone give me the chapter where Edward Cullen bites Bella Swan?	I need the chapter in which Edward bites Bella. My library doesn't have the book and I need it for a book talk. Can someone write or find the whole chapter for me. I REALLY need it. Thanks SO much!
20090128173548AAnXEdJ	Arts & Humanities;Other - Arts & Humanities	What is a good place for parties?!?!?!?	i am having a birthday party and two or three of my girlfriends are coming and idk where to go not bowling tho everyone goes bowling and to the moveis i want somewhere dont always go! Thanks So Much!!
20090128180811AACd0zu	Arts & Humanities;Visual Arts;Photography	Can i use my RC Glossy Photo paper for film photos in my printer ro print my digitals?	N/A
20090128173724AA5oVta	Arts & Humanities;Books & Authors	What should I call this Story?	A girl gets adopted when she is just an infant and she is very beautiful. All the boys in her school in Hilton, Nevada go gaga over her. But when she moves to Niles, Ohio she meets a girl who is even more beautiful than her.This girl sends things to eveevery onesnd and get flashbacks to pop in their head and so on. They become Enemy's then Best Friends but there is still a secret about a different realm where they are from. Its under attack and they are summoned back by the Queen of the The Realm and they have to do everything in their power to help.
20090128175900AA0ktL0	Arts & Humanities;Visual Arts;Photography	Anybody Know A Good Photo Shop?	What Is a really good Photo Shop and where can I find it?   I want to be able to do :   Black and white with a selected item in color   Blend Photos together   Add Text   Play with the colors on a selected item      Like some thing a pro would do but under $100 or Free lol      Some Ideas would be great thanks ;)      - Snowflake
20090128174932AACDeGW	Arts & Humanities;Dancing	ALL DANCERS!   ......(:?	i'm trying out for my high school's dance team as a freshman soon... any advice? What did YOU have to do during tryouts? (or if your not on a team, what do you think you'd have to do?) and how do i achieve these? I'm in dance classes, (hip hop/jazz and lyrical)   and good stretches?! thanks (:
20090128172944AAI0RN3	Arts & Humanities;Philosophy	What is hamlets view of man?	what is hamlet's view of man? i need help!!!
20090128173944AAMGzQd	Arts & Humanities;Performing Arts	For the music piece "Satiric Dances" does anyone know how to play the second clarinet part easier?	I can't get the parts when you change chromatic notes quickly, like the part of high c to c sharp to d to c sharp etc.
20090128180541AA4GDtu	Arts & Humanities;Theater & Acting	Does anyone know a good one act play?	good for a high school setting, although risque material is not out of the question.       i would prefer a comedy but i'm all for an awesome drama too.
20090128172456AAExtYy	Arts & Humanities;Theater & Acting	How to get better at improvisation?	i really want to get  better at being able to improvise....i know its usuallly something you just have....but are there any ways to work on it and get better?
20090128173601AAe20O3	Arts & Humanities;Performing Arts	How to get better at improvisation?	i really want to get better at being able to improvise....i know its usuallly something you just have....but are there any ways to work on it and get better?
20090128180245AAv8Iyi	Arts & Humanities;History	What impact did Julius Caesar have on the U.S. today?	please dont give me a link   just explain how his life impacts us today   plz and tnks=]
20090128172550AAJhtLM	Arts & Humanities;Books & Authors	Helpp im doing a lord of the flies essay characteriztion on piggy?	the essay q is explain thoroughly the role of piggy should i put that in the thesis that his role is --- or should i put that in the conclusion paragraph that his role is ---- thanksss and whats his role>
20090128175152AA0uYJ7	Arts & Humanities;Books & Authors	Realistic Vampire-ish prank ideas?	I'm writing a fan fiction called Bella's Revenge and I need realistic prank ideas because Bella is trying to prank Esme. I have 2 but I need to more. I want ot do something involving paint and another involving humiliation or dirt. Can anyone help me?!?!       http://www.fanfiction.net/s/4600672/1/Be... 
20090128180519AA0yaMF	Arts & Humanities;Books & Authors	Help! I want to publish a children's book.?	I am looking for information regarding publishing a children's book.  We are not sure whether to go through a publisher or self-publish.  Any advice on the pros and cons of each?   Also our book will involve electronic buttons throughout the story that when pushed will say things.  Any idea of publishers we can use to get the buttons into the story?   Thank you so much for any information.
20090128173950AAJVfY4	Arts & Humanities;Performing Arts	Classical style on a steel string guitar?	Classical style on a steel string guitar?   1) I'm a clean slate, I have no experience in guitar playing/technique      2) Ignorant to the world of guitars, I mistakenly bought a steel string guitar when I knew that I wanted to play classical music.      3) I cannot afford to buy another guitar at the time.      4) I still want to play in the classical style.      Is it acceptable for me to treat my steel-string as if it was a classical guitar? I want to learn how to play classical music, and I know that I would most likely be recommended to get a classical guitar, but I cannot afford a new guitar right now and I do not intend to trade my steel string away.      What are some limitations of the steel guitar when used to play classical music? Would having a dreadnought steel string be a problem in playing in the classical position?      If the number of problems vs. benefits of playing classical music on a steel guitar is too great, would I get better results from replacing the steel strings with nylon?      Sorry for all the questions, thank you very much!
20090128180245AAgsG1i	Arts & Humanities;History	Difference between Korean war and Vietnam War?	I know that one of these was where vietnam was divided into north (communist) and south non communist and they gfought and in the end they they joined together. Which is which? Also i need a brief explanation on what happend in each! Thanks alot
20090128173737AALVQLp	Arts & Humanities;Dancing	Dance team in highschool?!!?	okay well im 14, so i have a year till highschool, and what do you have to do to be able to make the dance team? i know every school is different, but just a general description.?      *ive been dancing for 12 years. ( i started when i was 2)
20090128181711AAIXDPI	Arts & Humanities;Poetry	What do you think this poem means?	A Clear Midnight               THIS is thy hour O Soul, thy free flight into the wordless,   Away from books, away from art, the day erased, the lesson done,   Thee fully forth emerging, silent, gazing, pondering the themes thou   lovest best.   Night, sleep, and the stars.       Walt Whitman            I think it means the day is done, you don;t have to think about anything except going to sleep and dreaming.   but im not really sure   please help me
20090128175346AAg9YEx	Arts & Humanities;Dancing	PLEASE HELP! I NEED SONG SUGGESTIONS FOR TAP DANCE?	Any Suggestions Would Be Great! Id Rather The Songs Be More Upbeat Though. But I Will Take Anything.
20090128175706AAJoBfp	Arts & Humanities;Visual Arts;Photography	Will Swapping the Lens or removing it while film is loaded ruin the film?	This may seem like the dumbest question but I want to know if you want to swap lenses while your film is loaded in a SLR camera if it will expose or ruin the film.
20090128174236AAGPM1T	Arts & Humanities;Visual Arts;Photography	How do make a picture thats in color have a grayscale background and make you lyk in color?	N/A
20090128172306AA3Xdro	Arts & Humanities;Philosophy	What it be easier to live life with 2 right hands or one left and 1 right?	2 left, 2right or 1 of each??
20090128172348AAcMXxd	Arts & Humanities;Poetry	Anybody a member of poemhunter?	Just posted a new poem, check it out. I would sure like to receive comments/feedback/criticism. Just trying to improve.       http://www.poemhunter.com/poem/locura-ni... 
20090128172348AAFgNHx	Arts & Humanities;History	Was Bendetict Our Mostt recent pope?	?
20090128172533AAkrkR8	Arts & Humanities;Books & Authors	Are there anymore book like the twilight books?	i've read twilight i was wondering if stephine meyer has any other books like twilight series or if there is another vampire or like action love story like that by another author.
20090128174119AA71jS5	Arts & Humanities;Visual Arts;Other - Visual Arts	The Art Institute of Vancouver?	Does anyone have any good comments to say about the (AI) and how you liekd it, and how it was/is over all.
20090128172725AAwQMGf	Arts & Humanities;Poetry	Love & Death Poetry. Suggestions?	I need poetry with the theme of love and death. More specifically, death of the one person you love.   examples: Annabel Lee by Edgar Allan Poe   Please, if possible, let it be a WELL-KNOWN poet.
20090128172922AAwrmGd	Arts & Humanities;Books & Authors	Can anyone recommend me a book like The Vampire Lestat or any other good Anne Rice work?	I absolutely ADORE Anne Rices style from what I've read. I want a recommendation from anybody about any other great books with her sort of enchanting,hypnotic,Gothic writing style?It doesn't have to be a vampire sort,though I do like paranormal sort literature.My friends recommended me Twilight already,which I've already read and strongly disliked.I want a psychological horror sort,a Gothic fantasy.Any recommendations?
20090128173051AAO4TP8	Arts & Humanities;Genealogy	Why do women always get the mans last name?	when getting married.
20090128173648AA2Q7dR	Arts & Humanities;Books & Authors	Books Like City of Bones?	Ok so i love city of bones and city of ashes i no aobout city of glass i'm waiting on that so can any1 tell me some great books like it ith the romance and everything i just dont want twilight and vampire stuff i read it all already so just city of bones and tell me any other mythology books but best answer mainly goes to city of bones laikes
20090128174041AAOKkQ8	Arts & Humanities;History	Which was a result of the reign of Philip II?	A. France became a unified country.       B. England became Protestant.       C. The Dutch were wiped out.       D. Spain was weakened.
20090128174117AAedZEt	Arts & Humanities;Books & Authors	Why the police don't like greasers?	why the police don't like greasors???        thx
20090128174302AA64kBa	Arts & Humanities;History	What are some of the impacts of the Code of Hammurabi?	Impacts like "women were .... blahblahblah"  and "lead to.... blahblahblah"    Also provide the source of where you got your information from. I prefer from the internet ;D
20090128174550AAqXkBg	Arts & Humanities;History	What were Britain response to foreign affairs before ww2?	N/A
20090128174615AAYkRL2	Arts & Humanities;Books & Authors	Literary element discourse on Gabriel Garcia Marquez,strange pilgrims?	N/A
20090128174624AAu8XD8	Arts & Humanities;Genealogy	How to respell this last name? It's hard...?	In my class there is a girl named "Sara tibits". I know I spelled wrong. "Tibits", what's the correct name?
20090128174709AAGCrnU	Arts & Humanities;History	What impact did the Lusitania have on World War I ?	What impacts did it have on the war   What changes did it bring   why was it important to the war?               thank you to any that can be helpful in advance :)
20090128174829AAYGmMN	Arts & Humanities;Performing Arts	How do you know if the action of an acoustic guitar is too high?	I recently purchased a Takamine S34C for $120. I'm not sure if my action is too high or not.
20090128174834AAi9pXC	Arts & Humanities;Visual Arts;Painting	What of you think of my Art?	Here's a link to my gallery--->  http://emochic14.deviantart.com/ 
20090128175048AAKJFtK	Arts & Humanities;Books & Authors	Im writing a book and i have a lot of good girl names but i need a good old time boy name for a vampire?	and i don't want to use edward or some thing like that because it looks like im trying to copy from another book -if you think of any really pretty girl names please let me know my friends are trying to write a book to-
20090128175226AAbTEAp	Arts & Humanities;History	Atlantic Slave trade was in Brazil?	Hello guys, help me to answer this question below. First come first served. I will give 10 points for any one who try. please say anything and just tell me your opinion.      Identify one structural factor that enabled a revolutionary tradition in slave societies in the Caribbean and Brazil but not in the U.S
20090128175243AAgcWDe	Arts & Humanities;Other - Arts & Humanities	I'm trying to make a necklace out of a guitar pick with the date me and my boyfriend got together on it but...?	i can't figure out how to poke a hole in the top so i can get it on a chain. anyone know how?
20090128175642AAph81x	Arts & Humanities;Visual Arts;Photography	How can i be a photographer at 13?	How can i start a website etc
20090128175732AAfsYkR	Arts & Humanities;Philosophy	"life is money".  but what is money without life?	exactly what it says above.  i mean what is money without life?
20090128175815AALqEFv	Arts & Humanities;History	Hindenburg?????? help?	what type of fabric was the outside of the hindenburg?
20090128175821AAdKz88	Arts & Humanities;Visual Arts;Photography	Where a good place to get digital photos printed.?	(i.e. Calendars & prints)
20090128175829AAGvcF1	Arts & Humanities;Poetry	What kind of poem is On Turning Ten by Bill Collins?	On Turning Ten               The whole idea of it makes me feel   like I'm coming down with something,   something worse than any stomach ache   or the headaches I get from reading in bad light--   a kind of measles of the spirit,   a mumps of the psyche,   a disfiguring chicken pox of the soul.      You tell me it is too early to be looking back,   but that is because you have forgotten   the perfect simplicity of being one   and the beautiful complexity introduced by two.   But I can lie on my bed and remember every digit.   At four I was an Arabian wizard.   I could make myself invisible   by drinking a glass of milk a certain way.   At seven I was a soldier, at nine a prince.      But now I am mostly at the window   watching the late afternoon light.   Back then it never fell so solemnly   against the side of my tree house,   and my bicycle never leaned against the garage   as it does today,   all the dark blue speed drained out of it.      This is the beginning of sadness, I say to myself,   as I walk through the universe in my sneakers.   It is time to say good-bye to my imaginary friends,   time to turn the first big number.      It seems only yesterday I used to believe   there was nothing under my skin but light.   If you cut me I could shine.   But now when I fall upon the sidewalks of life,   I skin my knees. I bleed.       Billy Collins
20090128180138AAObYCd	Arts & Humanities;Philosophy	Do you trust your imagination?	Do you trust your imagination? that means, you think your idea is going to be real one?
20090128180157AA9qM2k	Arts & Humanities;Philosophy	Which of the following philosophers believed the substance from which everything is made is water?	N/A
20090128180210AAnGBN2	Arts & Humanities;History	What caused "Tulip mania" in the 17th century?	Why caused the Dutch "Tulip mania" in the 1600's?      Thank you.
20090128180253AAmBqXz	Arts & Humanities;Theater & Acting	Pursuing an acting career?	Hey everyone,      I'm an 18 year old college student finishing up the second semester of my Freshman year. I've tested the waters for about 6 months now and I'm honestly not sure if this is the path I want to be taking. The only reason why I say that is because I've always known I've wanted to pursue acting since I was younger. Ever since I can remember I've been engulfed in television and movies -- now I think I'm old enough to start making my dream a reality.      I've heard stories of several actors who had left for Los Angeles on their own at age 18 to continue working on acting careers. I'm wondering if I should take the risk myself and see if it'll work for me. College seems more like a chore than a process of gaining my career. I'm not trying to take the easy way out or anything, it's just that I don't see the sense in spending so much money in an education just to get a job that I might not enjoy as much as I would if I were to become an actor.       I've brought the idea up to my family, and as you can understand, they weren't very supportive. People tend to see acting as a hobby and not a real job unfortunately. I'm sure they won't let me fly all the way out to L.A., but then again I know that I should be following what I feel is right.      To keep this somewhat short, I have no idea what to do. Any actors out there who have been through this or even casting directors that can lend some friendly advice? I've been battling with this for a while and could really use some help. Helpful advice only, please.      Thanks.
20090128180618AAQ9jkQ	Arts & Humanities;Philosophy	Please help me!!!! urgent!?	i have a philosophy homework and i have to do interviews so please answer this question and tell me your name, age and nationality (you don't have to do that if you dont want to, or you can use a fake name)      sorry if i write something wrong... my first language is not english...      questions: (all of them are personal)   1. what is philosophy?   2. why is philosophy important?   3. have you read something about philosophy before? what? why?   4. Do you think philosophy can help you do or think something in a future?      thanks!!!!! =D
20090128180643AAoaxyr	Arts & Humanities;History	WW2? Greeks? Please help...?	Hello I read online that Hitler had Greeks next in line after Jews in the concentration camps... Although I am only 13 I have read a lot about the holocaust and I had never heard this before. I am Greek and I am just wondering if this is true... Thnx
20090128180658AAC5lFc	Arts & Humanities;Theater & Acting	Act 4 scene 2 of romeo and juliet. What does Juliet's apology tell you about Lord Capulet? and why?	N/A
20090128180745AAVf7YE	Arts & Humanities;History	How did the role of women and expectations for their behavior change over the course of Roman history?	How did it change from the Republic through Empire??   WHY DID WOMEN GAIN MORE FREEDOM OVER TIME?
20090128181031AAsfmkg	Arts & Humanities;Books & Authors	Which graphic novel should I do a book report on?	just give me ideas
20090128181128AA86WQM	Arts & Humanities;Books & Authors	Why the heck Twilight so popular? It's annoying?	I ask my friends "What's your favorite book?"   All I get is "Twilight." Twilight TWILIGHT.   Is that all the books people read these days? Twilight?   In Language Arts 20 girls are doing a report on Twilight. Wow ...   I hear girls screaming "I love Edward Cullen!"   So I read the book ... again, why the heck is it so popular?
20090128181129AAhsKEE	Arts & Humanities;Performing Arts	Does anyone know how to play high on the trumpet with braces?	N/A
20090128181142AAa4Wub	Arts & Humanities;Performing Arts	Video Production class help?	I need to pick a song to make an original music video for.  What would be a good song to portray a story and would end up good as a music video?      Thanks, any genre is fine
20090128181202AAJwOLI	Arts & Humanities;History	How did joseph mengele get thoes he wonted to study? ?	N/A
20090128181213AAtYDi9	Arts & Humanities;Dancing	Dance Routine For Cheerleading? ?	I go to a small private school and I am on the cheerleading squad. At the moment we are coming up with a dance routine for our home games and pep rallies but the school is very very strict as to what we can do. They don't want us to shake our hips or anything inappropriate. Our dance is to Catchafire by Toby Mac but all the moves we bring to them are considered inappropriate. Anyone have any ideas as to moves we could do?
20090128181407AAXAbbF	Arts & Humanities;Visual Arts;Drawing & Illustration	A band wants use my art for a cd cover how much do I charge?	A Independent band has contacted me and wants to use my  http://alegion.deviantart.com/art/The-Ga...  for their cd cover... how much do artist generaly charge? Also is there something I should do like a contract? I'm new at this and any help would be great.
20090128181704AA5pWDv	Arts & Humanities;Books & Authors	I'm looking for a new book series...?	I absolutely love the Twilight series and the Harry Potter series. I am looking for a new series of books to read or even just single books... any suggestions?
20090128181722AAD5mlM	Arts & Humanities;Poetry	Can anyone suggest a good poem for me to recite in the PoetryOutLoud contest?	I enjoy public speaking but I'm not very well-versed in much poetry, or rather I haven't found any poems that particularly pique my desire to read them aloud.   The organization's website is here www.poetryoutloud.org and I may only recite poems from their list.   Can anyone suggest to me a specific poem or author that would fit the following criteria?   For the contest I'll need something with a bit more length, upwards of twenty-five lines, and something shorter to memorize by next week. Of course, length is much more a preference than a requirement. Something serious and dramatic, not satirical or purely comedic. The kind of poem I'm looking for is what one may listen to at some sort of political conference that commands the attention of all in the vicinity and captures their attention, an oratory of power. In short, a poem that was written to be read to a large audience.   Also, more as a minuscule preference rather than a requirement, I would want it not to have a set rhyme scheme and more free-verse.    While these criteria are probably vague, any suggestions are welcome.
20090128182246AAGNIh9	Arts & Humanities;History	Did former presidents such as Washington, Jefferson, Lincoln, Ted Roosevelt write their own speeches?	If so, when did Presidents stop doing so?  Which is the first president to allow himself to transform himself and the Office of President from leader and executive to Reader of what a cabal of beaknoses wrote for him.
20090128181754AANGsaG	Arts & Humanities;Dancing	Do you think this is Karma?	I have this dance performance next week that I really didn't want to go to. I was really nervous about the routines we were performing, and I remember wishing I would break my leg so I didn't have to go.    Well today I was just sitting in a chair when my feet suddenly went numb and then the worst pain I had ever felt shot through them. I was literally screaming. My feet are now red and swollen, and they hurt so bad I can barely walk on them.    The thing is, I really want to perform now. Do you think I got what I deserved?
20090128181834AA0vrYj	Arts & Humanities;Books & Authors	Who else feels that Twilight is overrated?	All right I'm halfway through. Its good. I saw the movie first. But I'm not obsessed with it. lol. I'm 26, maybe that has something to do with it. Anyway I like it and I'd like to read the sequel but do not get the obsession.
20090128182417AAdoHfO	Arts & Humanities;Visual Arts;Drawing & Illustration	Is this drawing good?	i kno im not the worlds best artist or whatever  but i wanna kno if its any good      im only 13 and i dont got much experience    and ignore the rest of the pics on my profile {2 of them my friend drew and the other 1 really sucks}      sorry the pics real blurry and stuffs, i took the pic of my drawing with my phone since i dont got a scanner or a better camera, plus the pencil was real light so it was hard to get a good picture of      id love to hear what u guys think about it =]
20090128182850AAKohd5	Arts & Humanities;Dancing	Dancing with the stars- lance and lacy?	on season 7 or 8 i cnt remenber it was the last one, anyway on week nine when lance and lacy danced the mambo with those ribbons attached to lacys butt, what was the name of the song? it had a bunch of numbers and after each one it had sumthing like kiss, lips, touch and so on
20090128182145AAzCraT	Arts & Humanities;Philosophy	Do you think everything happens for a reason?	I don't think it does. Stuff just happens just because.
20090128182009AAtpVBc	Arts & Humanities;Visual Arts;Drawing & Illustration	Do you like my pictures?	can you tell me why you like them, or why not   and I'm all ears to hear how I could improve :]      heres my gallery:    http://flickr.com/photos/7620040@N08/ 
20090128182312AAYD94I	Arts & Humanities;Poetry	What do you think of my short story?	She sits on a solitary chair, in a dark room. No windows, no doors, just a gun in her hand and one bullet. She angels the gun against her head, finger on the trigger. She things back to what she's been through. A single tear falls form the troubled girl's eye as she wishes somebody would help her. Help her escape from the horror movie she's in. But no,k no one's there. Numbness overflowing her, she pulles the trigger, and for a split second, sees the red of her own blood.      give me some comentary please.   :))
20090128181933AAgt8Vh	Arts & Humanities;Poetry	What do you think of my poem/short story?	As the sweet rays of the bloody death strangled my senbses away the flowing light of a gorey absense takes over.
