20090225101213AAS8M2R	Computers & Internet;Hardware;Monitors	Cylindrical box around the monitor cable?	Hej!         Whats the cylindrical boxes on both sides of the monitor data cable ends?
20090227165927AAtcoTP	Computers & Internet;Hardware;Laptops & Notebooks	Omfg some one pease help me with my laptop?	my mic on my lap top like is being mad gay every time i try to video chat the person doesnt here anything and a lil thing pops up and says mic not detected do u kno how to like turn it on its built in
20090227170002AAXgY3k	Computers & Internet;Programming & Design	Copying my dvd to computer file?	My friend made me a dvd of all my highlights of my wrestling matches how can i put that on a file or on youtube..??   and can i edit it..????
20090227170125AAVjwaq	Computers & Internet;Security	Are there any safe free music download sites?	N/A
20090227170157AATSv19	Computers & Internet;Internet;Other - Internet	Does anybody have a spare Demonoid.com invitation code that I could use?	Sorry to have to ask complete strangers for this. I would really appreciate it, though. Thanks in advance!
20090227171914AArnAB4	Computers & Internet;Hardware;Laptops & Notebooks	I got a new mac.  How do I play that video that plays when you first boot.?	I just got a new mac book pro.  How do I re-play that video that plays the first time you boot the computer?  That artsy one that plays.  Looks like you are in space with cool text.  That one.
20090227172026AAWkN6X	Computers & Internet;Hardware;Desktops	How do I watch a saved dvd on my mac?	I saved a dvd on my mac and now I want to watch it.  What should I do??
20090227172818AAyAZFG	Computers & Internet;Internet;Google	Why cant i load google chrome on computer?	N/A
20090227173614AAzjPWX	Computers & Internet;Hardware;Scanners	How do i install dawn of war on my windowsxp?	ive installed dawn of war winter, and the menu screen appears,but when i click start game an error message interupts which says spooge driver not detected,make sure directx is installed properly.what can i do,im so bored with this now and i love war-hammer games,please help.
20090227173704AAsMYCN	Computers & Internet;Software	How do u make a slideshow?	Like you know them things you see on youtube that just have things your suppposed to read? How do you make them things? :] please and thanks!! <3
20090227173819AASZWUb	Computers & Internet;Hardware;Printers	What dot matrix printers are capable for vista?	Also I have heard a lot of them are not so how would I down grade to an XP?
20090227174029AAUse0l	Computers & Internet;Hardware;Add-ons	Once you buy an IPOD Nano, can you put more GB of memory on it?	Its the newer Nano, not the older kind.
20090227175108AAO6G89	Computers & Internet;Hardware;Add-ons	If you want more memory on your Ipod Nano, can you upgrade?	The newer kind of Ipod Nano...if that helps, i'm not sure if there's a difference...
20090429191610AAS9IUT	Computers & Internet;Security	Kaspersky is poor in detecting spyware?	N/A
20060614160717AAPLlol	Computers & Internet;Programming & Design	Could someone assist me with VB6 keypress code..?	If the left arrow on the keyboard is pressed, a certain command button (cmdLeft) to be automatically clicked ....what is the exact code for this??? i've tried everything but im doing sumthing wrong and i dont know wat.
20060624151014AAzUnJe	Computers & Internet;Internet	How can i post my real pix instaed of my avatar?	N/A
20060705160333AAt4YA1	Computers & Internet;Software	Is the gane Dragon shard woth 20 dollars?	N/A
20060707153005AAceOjL	Computers & Internet;Security	What does antivirus tampering mean?	N/A
20061104015316AAoqrkd	Computers & Internet;Software	How can i change a song?	how can i change an mp3 song to wav with windows media player programm?
20061109033756AADMGAW	Computers & Internet;Software	Any good programm to chance videos to avi?	any good programm to chance videos to avi?
20070209040710AA6PgRv	Computers & Internet;Software	Do you pay when you use icq?	do you pay when you use icq?
20070117103110AAVHVZo	Computers & Internet;Hardware;Laptops & Notebooks	Is MacBook good?	Is MacBook good?
20070117120706AA1iiFf	Computers & Internet;Hardware;Laptops & Notebooks	Can i put windows in a macbook?	can i put windows in a macbook?
20060715161638AARb2lI	Computers & Internet;Internet	How can i post video songs into blog in yahoo!360.?	i wanna up some video clip into my blog in yahoo!360.
20061231181651AAhqmog	Computers & Internet;Software	What software used to connect 2 mp4 video together?	N/A
20060716173120AAHwZaC	Computers & Internet;Other - Computers	Virtual Pets?	what's a good website to get an online pet from???
20060811045720AAjr5Oo	Computers & Internet;Internet	How to get yahoo/answers back up top of my tool bar?	i friend just set up my new dell for me. I used to be able to just clicl on to answers. but since Isinged up fpr Yahoo music Jukebox everything relating to Yahoo,which was on top has disappeared. How do I get it back?
20060821095417AAAMmFc	Computers & Internet;Other - Computers	How does tv tuners and windows media center work with directv or my cable top box?	N/A
20060907141331AAToZiM	Computers & Internet;Other - Computers	Is it possible to delete completely files, photos and other private documents from ur compurter?	somtimes u delete and it stays on ur harddrive...............
20070211074608AAMBKKq	Computers & Internet;Programming & Design	Is there any way in java to printf something like... (see detail)?	like when you have 1.2 it will print 1.2   1.0 will print just 1   1.23 will print 1.23   1.3333 will round to 2 decimals --> 1.33   basically if it has less than 2 decimal it will not add zero, but when it has more than 2 decimals it will round to two decimal      if yes, please specify   thanks
20060917153902AAsob9M	Computers & Internet;Hardware;Other - Hardware	Will ddr2 work in a ddr board?	N/A
20060918192203AATzH0n	Computers & Internet;Internet	Do you know someone with a website?	If so.. I can help them promote it. Please let them know about my site at  http://www.OfficeGuyGoesWild.com  and they can get more traffic to their site, and also learn about my crazy quest to take on the toughest mountain biking race in the southern hemisphere, even though I push small plastic squares for a living..  :0
20060922001415AA0YJPf	Computers & Internet;Internet	Windows keep connecting me to someone else's wireless network even when I try to connect to my own! WHY?	It usually connects me to my own automatically but today it is acting up. There are a few open networks in my area and I don't have WEP on my own either... but everytime I choose mine from the list, it keeps connecting me to another (slower) one.. it is extremly frustrating.
20060925000536AAuF13r	Computers & Internet;Internet	How do i can get traffic to my web site/blog?	wats the method to do this traffic? any usefull web site to learn?   any different ideas?
20060927124148AAMaI1w	Computers & Internet;Hardware;Laptops & Notebooks	Has anyone received the battery replacement from Dell yet?	How long did it take??
20061004141107AAnMluK	Computers & Internet;Other - Computers	Does anyone know where i can  get free lyrics?	without downloding them
20061008084321AAna97Y	Computers & Internet;Internet	How do I unsuscribe yahoo answers?	my yahoo mail account is my real name.If somebody googles my name, he gets the yahoo ans nick name I am using and can read all my questions and ans.     I dont want the people who know me to read what kind of questions and ans I have in my yahoo ans.specially my wife.I dont know if she has googled my name yet or not.    Pl help guys before I am caught.........
20061014084333AAnH2wn	Computers & Internet;Internet	We have the yahoo messenger with video to talk to our son in England, everytime we try to connect with him we?	get an error that yahoo cannot complete this call at this time ?
20061021105940AAIhsrg	Computers & Internet;Internet	Cannot use voice chat in yahoo messenger[Beta] 7.0.0.247?	I am using yahoo messenger [beta]7.0.0.247 and i am having my headphone with mike. I use call button at the top left corner but then it ends after some time even though my friend is in online.Plz help me
20070210114122AAVnyuq	Computers & Internet;Programming & Design	Ending a program in python?	I have two questions about specific commands in python.      When I run my programs in DOS, right after the program is finished, DOS closes- how do I avoid that? is there a command that will keep the window open? a pause of sorts?      The second question is about while loops. I have a while loop imbedded within another while loop. When the inside while loop becomes false, it displays a message- but then continues with the outside loop- what can I do if I just want the program to end when the inside loop is false?
20061120041027AAYG4k2	Computers & Internet;Software	Does any one have a full version advance keylogger?	N/A
20061121075726AAP3oBr	Computers & Internet;Other - Computers	When did ADSL first start???	N/A
20070224170524AAxGPXn	Computers & Internet;Internet	Where can u upload an image and do what ever you want to it...website?	i want to write on top of the image and add more features
20061203085010AAsVkT2	Computers & Internet;Hardware;Desktops	Marketing plan of mac mini?	N/A
20070109052339AAi1Kv2	Computers & Internet;Hardware;Other - Hardware	How to record streaming audio on  Hard disk?	N/A
20061227024609AA4Q26p	Computers & Internet;Internet	On my list of 'trusted sited'  on my internet options....?	is addresses starting with the usual http/www but one site is just the number 1 and when I try to remove it it doesnt allow me. Anyone know what this site is? A virus?
20061227025808AAR0hpC	Computers & Internet;Programming & Design	How many characters are the in 65 mega bytes........?	i want to knw how many charactes are there in 65 mega bytes... and how they are find out
20061227024759AApfmfT	Computers & Internet;Hardware;Other - Hardware	Labtec keyboard,"is where the@ should be?	2 weeks ago my keyboard stated playing up by swapping " for@ and vice-versa i know on american keyboards thet they are reversed in this order but i have checked in settings and it is set to english,uk i have ran lots of spyware programs cleaned up everything but still got the problem i know it is not major but it is very annoying ,anybody help?
20070101152937AA5BOsw	Computers & Internet;Software	Can i use a burnt windows 2000 disk to upgrade my 98 se system?	I am currently running windows 98 se....i bought the computer three years ago and actually asked for 98 se just because that is what i was familar with.   I need to upgrade as all the gadgets the kids got for christmas 98 is too old...   a friend has offered to burn his windows 2000 cd for me but i dont know if it would work or not.   HELP
20070114032822AAyF6nd	Computers & Internet;Internet	How do I close my AOL email account?	I do not have AIM, I just have the free email account. I no longer want it and I am having a hard time trying to delete it. What do I do?
20070117164633AA0uIL6	Computers & Internet;Software	I received a note from my music juke  when I tried to turn it on It said re-install the ATT yahoo musicjukebox	When I try to turn on my yahoo music I get a note "The ATT Yahoo   music Jukebox could not start because the database could not be    found please re-install the ATT yahoo music Juke box. I do not know how Please help Brian
20070121092754AAxXgoW	Computers & Internet;Internet	Can someone tell me some real good websites I can go to other than myspace & xanga please?	N/A
20070131112349AAgvChD	Computers & Internet;Internet	Can anybody tell me if they have used the new sky download to watch all the channels and what is it like?	N/A
20070201194746AAYdPxH	Computers & Internet;Software	Do anyone know why windows vista takes 100% of the CPU.?	Why is the CPU maxing out to 100%. Windows vista Business edition.
20070201195359AA9oM9N	Computers & Internet;Other - Computers	I can't set an image as my background?	It's been like this for awhile and i have tried almost everything i can think of. I downloaded a regstry cleaner that didnt work. when i set something as a wallpaper from an image it does it but still all i see is the solid color except for when im shutting it down then i see the image for a brief second, How do i fix this?
20070202155504AArdJyG	Computers & Internet;Internet	I can't get on to Myspace. Is anyone else having this problem?	N/A
20070308194047AAkWOMl	Computers & Internet;Internet	Internet hacked?	ther eis a program that tells u what comptuers on are your network and there is somone hacking my internet i need a progrma liek that
20070314164556AAOVXYM	Computers & Internet;Security	How can i put a password on myspace account that the owner of the computer cant detect?	N/A
20070214171818AAmJwDZ	Computers & Internet;Hardware;Desktops	Why does my computer re-boot itself?	N/A
20070216124120AAT7fCv	Computers & Internet;Hardware;Laptops & Notebooks	Which is better: Centrino Duo or Core Duo 2 Processor?	N/A
20070220213730AATLs4Y	Computers & Internet;Software	Digital Printing Software.?	Does anybody know of a printing program that can print different layout combinations such as (1) 5x7 and (2) 3.5 x 5 for digital prints.  Kind like the layout combinations you find at a professional photography studio.  I know the software that came with my printer is handy but it cant let me do neat combinations like that.
20070302063241AAhJWgh	Computers & Internet;Internet	There is a small box in the upper corner with a red "x" on a lot of pages. what does it mean? i want it gone.	N/A
20070308192955AAbNFVv	Computers & Internet;Internet	Where can i download flash player, and where can i dwnld java?	I need these so i can play yahoo games.
20070314202832AAYaKbL	Computers & Internet;Hardware;Add-ons	I'm trying to put jpg of the bob seger concert on a floppy but it won't let them go. it keeps saying.?	can't copy: the drive. cannot find the sector requested. what do i do to get them to go on so i can take them to be printed? its all windows xp and windows picture.
20070314203922AA0v5R2	Computers & Internet;Other - Computers	What type of file uses .sit extension?	N/A
20070318181917AA6IdcJ	Computers & Internet;Software	I have litescribe burner and someone said it'll be built into the driver, but how do I find that ?	My program disc that it came with is packed away in my storage room for now-------------HELP.
20070318182349AAuv4NI	Computers & Internet;Software	I have litescribe burner and someone said the program would be built into the driver, but how do I find that ?	My program disc that it came with is packed away in my storage room for now-------------HELP.
20070319001047AA7lJE4	Computers & Internet;Programming & Design	XML : steps i should follow in converting a DTD to a Schema and vice versa?	N/A
20070323235335AATGqI0	Computers & Internet;Internet	Como puedo reenviar mensajes,pero al mismo tiempo conservalos en mi correo?	tengo unos mensajes de correo de una persona,quiero mandarselos,pero al mismo tiempo quiero conservarlos,como le hago?,pero sin que se de cuenta la otra persona que yo los conservo aun? ya intente mandarlos a borradores,pero fui pasando de carpeta en carpeta y no pude dejar copia para mi en mi correo
20070327180511AAdDS4x	Computers & Internet;Hardware;Other - Hardware	Computer running loudly?	My computer has recently been running quite loudly, most of the noise is comming from the fan. Before this happened my computer ran very quiet. This started happening once i installed a new motherboard onto my PC.      Im just wondering is there any thing I can do to allow my PC fan to run slower, creating less noise.
20070327215512AAkAKYd	Computers & Internet;Security	Alguien puede robarme mis contactos hotmail sin yo saberlo?	Estoy muy sorprendida,recibi un correo electronico -muy normal sobre informacion académica, que corroboré como cierta- pero que fue enviada a múltiples destinatarios, entre ellos una cuenta de correo mía alternativa. Pues resulta que TODOS esos contactos de mail son mios!!! alguien copió (o se robó) exactamente mi lista de contactos y les envio ese mail publicitando un evento!    Alguien sabe como es posible que hayan podido acceder a mi lista de contactos? Casi nunca mando FW y cuando mando alguna información a varios destinatarios utilizo BCC no me gusta spammear a mis contactos, asi que no hay forma que YO voluntariamente haya proporcionado esa información privada y absolutamente personal.      Saben si es un delito?? O como pudieron conseguir mi lista de contactos??      GRACIAS
20070327232311AAqjffF	Computers & Internet;Security	?Alguien sabe por qué desde mi compu?	Ya no puedo descargar nada. El otro día quise bajar un antivirus (AVG free) y cuando le di en ejecutar se reinició solita. Lo volví a hacer dándole click en guardar y se se volvió a apagar y reiniciar sola.    Además cuando deseo descargar algo con click derecho + "guardar destino como..." esa opción ya siempre está inhabilitada. ?Alguien sabe por qué puede ser esto?
20070405103935AAjH0am	Computers & Internet;Internet	How can i type in japanese on myspace?	Does anyone know any codes to enter text of other languages like japanese
20070413093906AA8WNxD	Computers & Internet;Programming & Design	How do i turn javascript off?	N/A
20070420091906AAe33wb	Computers & Internet;Programming & Design	Standards for user interface?	N/A
20090225103725AAxjgRH	Computers & Internet;Security	I need Proxy or source for one. Help please?	I need a proxy yet again, and I have got the answer of people saying why am I not looking on google for proxy, well ummmm I would, but they blocked that search request. So if you would please help me out it would be highly helpful and make life soooo much easier. So please just list them or something. Thank you, and have  nice day.
20090225102509AAUQ1mF	Computers & Internet;Hardware;Desktops	Biostar TF570 sli 5.x motherboard overclocking probolem?	It won't let me adjust the cpu vcore voltage, in the manual it says it's an option, but it's not. I updated the bios and still nothing happens.
20090225102636AAgeKGm	Computers & Internet;Other - Computers	Is Strong DC illegal?	N/A
20090225103202AAl0nkC	Computers & Internet;Internet;MySpace	In myspacee..  ? how do you?	in mypsace i want to put all right reserved transparent, but i can. you know the thing in the bottom of the profile. Can you pleaase tell me.    ?
20070430201903AAQhC6B	Computers & Internet;Software	Excell: Sheets within Sheets?	Hey,      I have been asked to make an Excell spreadsheet for a guy at work. He wants multiple sheets on the first page. Like a workbook within a workbook. So you can use tabs (perferably on the side) to jump between the sheets for each day of the week.      At the bottom, where the standard tabs are - he wants to be able to change between the weekly sheets, and some other sheets he has in mind.      He described it as a 3D spreadsheet, with sheets within sheets.      Any ideas how to do it or where to find out how?      Cheers,      JP
20070430210654AAAjtR9	Computers & Internet;Software	Hide individual tabs in Excell?	I am using Microsoft Excell.      I want to be able to jump to other sheets using Hyperlinks (I can do this fine)      But what I want is for those sheets not to appear as tabs in the bottom of the page.      I found some code to turn off tabs completely - but I still want SOME sheets to have tabs, but not others.      Is this possible?      Cheers,      JP
20070516210624AAqlPgQ	Computers & Internet;Programming & Design	SQL question - select most recent records for each computer?	I have a Postgres database that gets a new record every time someone logs in to a computer on our network.      Each computer (hostname) has multiple entries.       But what I often want is to only work with the most recent entry for each computer.      Say I want to select all the distinct homepages from the most recent entries for each computer. How can I do this in just sql?      The part I have trouble with is how to select the most recent entries for each hostname.      Anyone able to help?      Cheers.         Example Table 'logs'      ID | HostName | time | username | homepage            Select only the latest record ids for each HostName         Example Data:   1 | PC001 | 6:30 | dofus | www.telstra.com   2 | PC002 | 5:50 | Yankyman | www.foolsrus.com   3 | PC001 | 5:40 | dofus | www.telstra.com   4 | PC003 | 5:34 | jerry | www.eatmyshorts.com   5 | PC001 | 5:31 | clinton | www.yahoo.com   6 | PC004 | 5:23 | bossman | www.bofh.com         What I want is records 1, 2, 4, and 6.
20070531182727AArICtC	Computers & Internet;Programming & Design	Postgres - any way to prevent it from needing a specific host to connect?	Ok - I am builing a webserver. Fedora Core 9 running a LAPPstack setup.      I have it running - but all the old scripts (written by other people) connect to the database using pg_connect("dbname=???_logs port=5432 user=???")   But they dont specify a host=localhost.      If I add the localhost to the string, it works - but I dont want to have to do that for all the scripst (as there are hundreds of them) - so my question is how to set up PHP/Postgres so it defaults to localhost, as the old server obviously did.      Cheers,
20070521045342AAQvyNC	Computers & Internet;Security	I need a good proxy pleez?	i really need 1 for a good cause
20070919082400AADPr8C	Computers & Internet;Software	Is there a free ISO extractor out there that is any good?	I want a FREE ISO extractor. I want something that can extract ISO and BIN files! I don't want to pay for it (it's not that I don't have any money or anything, it's just that I don't want to pay money if I don't have to. After all, why pay for something you can get for free?) If not, tell me about the best one for money!
20070627125412AATlYJu	Computers & Internet;Software	How can I import a song from iTunes or a CD to Windows Movie Maker?	I have had people send me itunes songs over MSN Messenger, and out of about the 10 that have been sent to me about 4 of them are in My Documents and are easily able to be imported right into Movie Maker.  Also, is there a way i can put a CD track in it? I have already tried putting them in Windows Media Player, which has some old songs that are all able to work in it.  any advice is greatly appreciated. thank you all : )
20090225103058AAGZgNq	Computers & Internet;Internet;MySpace	Myspace help me please?	I've tried to upload my pictures to my myspace but every time i go to it says 'internet cannot open this site.....operation aborted' can you help me fix it? also can you tell me how I remove the 'advanced' uploader and add the basic uploader
20090225102706AAnvwoI	Computers & Internet;Internet;Google	How do you get your page link on GOOGLE to show up on the first page or two of a popular search?	or even a not so popular search..    My fathers acupuncture home page shows up on like the 6th page of google search, that is if you type in his name also..'   People rarely look at these links. Is there anyway to put him on the 1st or 2nd page and if so how is this done??
20070509213526AAdvLpj	Computers & Internet;Security	Need Help With Windows Updates?	I Have A Problem With My Windows Update. I Am Using Windows 2000. It Is Set To install Automantically But For Some Reason It Keeps Coming Back Telling Me That The Updates Are Ready To Be Installed. So When I Click On The Icon It Tells Me That The Updates Are Installing & Then It Will Tell Me That The Update Had Been Installed Successfully. But The Problem Is The Icon Keeps Coming Back Again & Again Telling Me That The Updates Are Ready To Be Installed. So My Question Is Why Is This Happening & How Can I Fix It? Help!
20070618054039AAA6pp6	Computers & Internet;Internet;Other - Internet	Ho bisogno un aiuto!!!?	quando si ha una casella di posta elettronica in yahoo si ha pure un album vero??e come faccio a trovare l'album??
20070523113022AAdNRZe	Computers & Internet;Hardware;Laptops & Notebooks	What is the best microprocessor for a notebook pc?	there are a lot out there and i don't know which to pick...although they say that intel core 2 duo is the best
20070501192120AAFYj9C	Computers & Internet;Internet	Is there a website where I can watch music videos in high def for free?	N/A
20070523110218AAhzY3G	Computers & Internet;Software	Does anyone know a program for Mac OS X that will decompress UIF files?	Cant find one anywhere for Mac os x 10.4
20070709155943AAXUAUT	Computers & Internet;Other - Computers	Is there any way to transfer all my music files from the desktop to the lap top?	I want to moves all my songs from the iTunes on my desktop to iTunes on a lap top.   thanks
20090225102114AAkfRH2	Computers & Internet;Internet;MySpace	Myspace Music Chart Question?	So ihave a question why am i not on the myspace music chart i have 2100+ freneds and 100,000+ views so why am i not shown on the charts?   www.myspace.com/lilskeelo if you dont believe me but why am i not up there?
20070803145557AA89MPl	Computers & Internet;Security	New Scam on Ebay?	I just received an email today from someone posing to be apart of Ebay with this site:        http://userconfirmationform-id40238043.e...       Do not fall for it! It's a definite "NO NO!" Just thought I should let everyone know.
20090225102117AAqLzCK	Computers & Internet;Hardware;Desktops	Lost Icons by Start Button Windows XP?	I turned on  my computer today and there are no icons by the start button.  I rebooted...nothing...tried system restore...no success.      What's the problem? More importantly, what's the solution?
20090225102034AAL3Dd4	Computers & Internet;Software	Can any one help me with this software ive got................?	ive downloaded "dvd fab 5" its software that can convert your DVDs to mp4 so you can watch them on your desktop or put them on your ipod e.t.c ,ive tried doing a film and the video worked but there is no sound?   is there no sound because it is only a trial version or am i donig something wrong?      DOES ANYONE KNOW OF ANY OTHER FREE SOFTWARE THAT CAN DO THIS PROPERLY???
20090225103259AAsLouv	Computers & Internet;Software	Can you recommend me some free dvd decrypting/burning software?	i want to be able to copy my DVDs to my desktop so i can stream them on jtv can you recommend some free software that lets me do this.?            ive googled it and i can only find trial versions were you dont get any sound its really annoying because it dosent tell you there's no sound ?and it takes about 6 hours too rip a dvd ?
20090225103525AA1D7oH	Computers & Internet;Other - Computers	Computer related prank.  Please help?	I heard you can set an icon on the desktop so that if someone clicks on it, it will shut the computer off.  Can someone please explain?  Gotta get someone back!
20090225101841AAvwHIz	Computers & Internet;Programming & Design	C# what is the point of using an interface?	What is the point of creating and using an interface in C# ?
20070608144050AAY6l1A	Computers & Internet;Software	Another command prompt question?	windows xp pro......can you get to programs in control panel from command prompt ? control panel from the start menu    won`t work . but the command prompt seems to work fine.   if there is a way  to get to the programs in control panel from command prompt  please tell me how?.......
20090225103122AAYphfr	Computers & Internet;Internet;MSN	How to get cool msn letters without copying and pasting?	кαтяιηα - example
20070505163905AABCF6w	Computers & Internet;Hardware;Laptops & Notebooks	Computer help?	i was playing a game on my labtop and it just shut off.  now it wo't turn on.  i try to turn it on and a light just blinks red.  do you know what to do or what is wrong
20070904115945AAcgxNT	Computers & Internet;Other - Computers	AOL 9.0 help?	I see my screen name, and then i type in my password. (its correct i'm sure.) It takes the regular steps: 1, searching for connectivity...2, connecting, 3, checking password.. and then it takes me back to the sign in screen and says 'goodbye.' How can i fix this? I'm on internet explorer right now but its really slow. Thanks.
20090225103134AAt5YW9	Computers & Internet;Computer Networking	What is the difference between Wi-Fi and Wireless Internet?	N/A
20090225102647AAMqkQu	Computers & Internet;Other - Computers	GB problem help ?what happen to it ?	OK first i went a to a movie site my GB was 183 left while im watching the movie i went to check again it was 183 what happen ? will it return soon as im done watching the movie ?
20090225103306AAw7oVO	Computers & Internet;Internet;Facebook	What's this new fad on facebook?Please help.?	Can't find it anywhere,I don't even know what its called?      I've been tagged to a couple of them by friends and seems like they have a custom made cartoon collage.Becuase every collage is different from the other.      Saw it in many other profiles too.      Please check out the link and let me know where can I find my own cartoon collage.       http://s231.photobucket.com/albums/ee256...       Thanks in advance.
20070915171248AAQQdE7	Computers & Internet;Security	C'est quoi un win32 j'en ai + ou - 12?	nod32 affiche tout les fichiers en defilement j'ai vu une dizaine de win32 c'est quoi et un ami usa :sur le net a vu une deuxieme fleche (pointeur) qui a ete sur demarrage et en faim de compte sur:a sorti win32/proxy/altervista c'est quoi encore les win32 il y a surement un craqueyur qui a ete chez lui
20070423052459AAhU0ZC	Computers & Internet;Hardware;Other - Hardware	How do I change my keyboards country.?	How do I change the country on my keyboard, because €I have a German keyboard, but it is typing like if it is an American keyboard
20070722011447AAuKz61	Computers & Internet;Software	Esiste un programma che trasforma le immagini in cartoni animati?	non mi serve l'animazione ma l'immagine statica tipo fumetto che poi animerò io...dove lo posso trovare?
20090225102817AAnJzDs	Computers & Internet;Programming & Design	Photoshop question???editing?	is it possible to add a picture of someone in a picture with others?  Meaning...if my friends are in a picture, and I want to add a pic of my other friend...is it possible using photoshop?  It needs to look professional-like...the person was orginally in the picture to begin with.  If photoshop cannot do this...what program can?  If photoshop can do this...which program of photoshop should I get? thanks.
20090225102854AAHmR84	Computers & Internet;Software	How do you convert a avi. file downloaded form a torrent to be played on a dvd player?	I want to watch Boondock Saints, which i just downloaded, on my tv rather on the computer.
20090225102730AASfVHD	Computers & Internet;Other - Computers	How do you mount an iso image file to the cdrom in linux?	I need to install software on a few servers in a linux vps hosting environment and i have the image file and need to mount it remotely. Does anyone know how to do this?
20090225102407AAFC5mT	Computers & Internet;Internet;Other - Internet	How do you setup rewrite rules for apache v2.22?	I need to redirect traffic between a few servers on a linux vps hosting cluster using rewrite rules -- does anyone know the easiest method to utilize rewrite in apache v2.22?
20090225101721AAI0Cta	Computers & Internet;Other - Computers	How do you setup dual monitors with KDE and FreeBSD?	I need to be able to monitor my linux vps hosting servers with dual monitors in order to be as productive as possible -- does anyone know the best way to setup dual monitors on FreeBSD and KDE3?
20090225101929AAcqjwd	Computers & Internet;Security	How do you setup OpenVPN  with FreeBSD + PF and Windows?	I need to setup an OpenVPN server to provide access to my linux vps hosting cluster , giving windows clients access to the internal network. Does anyone know how to do this?
20090225102957AAHBxaJ	Computers & Internet;Hardware;Desktops	Advice on buying new computer?	I need a new computer for home use.  Mainly for paying bills on line & accessing the web.  I have a teenager who also uses it for homework.   Is a name brand like "Dell" any more reliable than a no name custom made by a hometown computer store.  What specifics do I need to get.  Any advice would be appreciated!     a hometown computer store.
20070915021950AAODI1I	Computers & Internet;Programming & Design	Please help me with friendster...?	i want to add the song "ALONES" by Aqua timez in my profile. how can i do it???? where can i find an mp3 code and how can i put it in my profile as background song/music?
20090225101830AALzkN7	Computers & Internet;Internet;MySpace	If you have profile 1.0 on myspace how do you get the old background off, if you changed it before 2.0?	i changed my profile with the myspace profile editor before they had profile 2.0, and now i can't get my page back to normal
20090225103448AAN3TQB	Computers & Internet;Hardware;Monitors	I keep getting the blue screen of death. System restore?	Will doing a system restore fix my problem with getting the blue screen of death at least 4 x's/week?
20090225102228AASyQL6	Computers & Internet;Internet;YouTube	How do you make a youtube banner?	ive seen some real cool youtube banners   was wondering how you make them?   if you could help be a big favour cheers :)
20090225101952AAsmRN8	Computers & Internet;Hardware;Desktops	Will you be replaced with a new graphic card if your graphic card breaks down in just a month's time?	The warranty card given is from the supplier not Nvidia.
20070711212144AAmp2Zm	Computers & Internet;Hardware;Desktops	Question about intel in a mac mini?	i dont' know where i heard it but since a mac mini and all the other new mac's have intel in them, can't they also have window's on them? so it makes it accessable to mac OS X and vista.  I have a zune and I want a new computer, but i don't want anything but a mac because they're better (my dad says). if i get a mac mini, i don't want my zune to go to waste. I might have gone to far in this and I could be completely wrong. help please
20070930104506AADhTfu	Computers & Internet;Software	Downloading music policies?	If i download music, what are he possible risks that i have in getting in trouble. What does the governemnt look for when they find people downloading, because after all im not uploading music from cds. im just downloading and sharing with other people.
20070602103430AAOm1Ae	Computers & Internet;Other - Computers	Something is wrong with my internet. How do I fix it?	My little brother started banging on the keyboard of my laptop and now it's messed up. The bar at the bottom  with the times only show up when the internet is minimized and the one at the top only works when I hold the mouse over it.How do I get it back to normal?
20070924135301AAn6MTg	Computers & Internet;Other - Computers	Turkish hackers?	Who are the turkish hackers? Does anybody know why they do it and why is it when you go on websites they have hacked the put big turkish flags all over the place?
20070812092551AAYbpED	Computers & Internet;Software	Does any one know where i can get full software programs that makes beats? for rapping?	i am a rapper and i need a beat maker progam (any besides acoustica beatcraft and FL studio) if u dont know please just dont reply.
20070622104711AAVrkS9	Computers & Internet;Computer Networking	Which wireless usb adapter is better to use ?	hello, i have 2 wireless usb adapter's. they are a belkin and a linksys.  i have a linksys wireless router, but im not sure which one of the two adapters i should use, im not sure if there would be any difference at all or if they both would work the same. any advice is appreciated :)
20090225102428AAeLnRu	Computers & Internet;Internet;MySpace	Proxys for myspace that are not blocked because the stupid school blocked them all?	the school blocked them and i cant get on myspace plez help
20090225102554AA5GUNo	Computers & Internet;Hardware;Monitors	How do i use the speakers that in the screen?	i mean i used to have speakers but they broke and theres some speakers in the screen but i dont know how to set them up. its soo annoying, i have to use headphones to hear anything
20090225103112AA2zstG	Computers & Internet;Other - Computers	Computer stand-by help?	How can you personalise the amount of minutes it takes for your computer to go on stand-by?   Or how can i disbale stand-by?
20090225102436AAU8YjB	Computers & Internet;Internet;MySpace	I need $5 is there...help?	im like obsessed with dog world and i want more rubies, beside buying them is there another way?            or does anyone have $5 left on a gift card they dont want?   haha just kidding
20070812094604AALO6zJ	Computers & Internet;Software	How can i download a free version of word for my mac?	help?
20070505082315AAlGmLc	Computers & Internet;Programming & Design	SAX Programming in C#/VB?	I am a newbee of .net. I am trying to learn XML from the book    "BeginningXML3rdEdition" WROX, The chapter on SAX in the book has been explained with Java as the programming language. I dont want to indulge in Java as well as C#/VB. Can someone learn SAX without Java or rather, with C#or VB, if the ans. is yes could somebody tell me the name of a book/resource which explains SAX in C#/VB   Thanx guys
20070706073621AA0pzRj	Computers & Internet;Software	Free questions?	Is there a site where I could lay my hands on free questions for microsoft  MCTS exams
20070724210105AAvwFqk	Computers & Internet;Hardware;Laptops & Notebooks	Any price list for acer notebook/laptop in sg?	N/A
