20090129083424AA1TAYF	Health;Other - Health	How can we control or get rid of Sweat?	I am kinda person who sweats a lot.under arms.too irritating,pls help me
20090128121205AAirXn8	Health;Dental	To everyone who has or had braces- please hel/p?	I'm getting braces soon, and I have a few questions-      1. Does it hurt getting them on?   2. Does it hurt getting them off?   3. How long afterwards can you eat solid food?   4. Can you still chew gum?   5. What candy should you avoid while wearing the,?
20090128095741AAv8ZuZ	Health;Other - Health	Do you have a third nipple?	Don't be embarrassed..
20090128121215AA8enWf	Health;Women's Health	Women: Please help - I am scared this might affect my marriage?	Talking about this stuff embarreses me, so I don't really want to talk to a doctor so I was wondering if someone on here could give me advice.  Please don't be mean       This is my problem:  I hate sex.  Seriously I do, I always have.  It just doesn't feel good for me.  I always 'act' like I like it and we have sex like 2 or 3 times a week but I have never gotten 'off' I guess you could say.  I only do it for my husband and I surely don't want to talk to him about it.  I find myself thinking the entire time that I hope he hurries and I just fake all the rest.   I don't know what to do.  It's not my husband at all, he's very well "endowed"  I was the same way with my ex husband.  I have slept with 6 men in my life and everysingle one is the same.   Like I said Please give some advice I desperatly love my husband and I don't want this to affect my marriage.  I do find him very attractive but I find myself avoiding it alot.
20090128120915AA2Ca1X	Health;Women's Health	Having too much discharge ?	Well I started my first period Dec.20 ,  and haven't have one since..   Now, I have A LOT of discharge. Should I get it now?
20090128113725AARCZ4k	Health;Diet & Fitness	Is true that I can eat the broken Doritos because once they break, they lose all their calories?	N/A
20090128115024AAKoF0p	Health;Men's Health	What is a good "chaser" for those thick not so tasty protien drinks?	you know, the powder that you mix with milk?
20090128110056AAz07sM	Health;Other - Health	Is there any calorie buring difference in standing up and riding a bike apposed to sitting down?	i know it sounds a little silly but when standing you have got all your weight behind you aposed to when sitting does it make a difference??
20090128115211AAAe4jS	Health;Women's Health	Does anyone else have three nipples?	N/A
20090128101227AAKIiB6	Health;Other - Health	Why is urine supposed to be yellow?	When urine is yellow, what is that an indication of? I think it's a sigh that your body is able to break down minerals from food, correct?
20090128115452AAv5lCv	Health;Women's Health	Positional comfort for a virgin?	Is there a 1st time sexual position that eases the pain and is most satisfying for both partners when the girl is a virgin?
20090128121536AAKv4aG	Health;Diet & Fitness	I am looking to loose weight for summer?	I am 16 years old, 5'61/2, and I weigh 150 pounds   I am thinking about loosing anywhere from 10-15 pounds, but it is way hard for me.       I already take kick boxing, and I am starting to eat well.      What are some good exercises for me, and some good eating tips?
20090128120732AAGQ4Xz	Health;Optical	PLEASE HELP ME! NO ONE WILL ANSWER!!?	want a new frame for my glasses.  i want one of the big 'old lady' like glasses.  if i buy frames, like if i go to a store,  and buy fake glasses,  with clear lens, could  they replace them with  my prescription lens's?  it's hasnt been 2 years, or else i would  just go and buy a pair at my eye doctor.  soo, could they?  if so, how much?
20090128101719AAiZhMJ	Health;Other - Health	Physicals REQUIRED for school?	I'm in High School and I'm supposed to have my physical tomorrow, which I really don't want. Anyway, do you NEED to have a physical every year to be able to go to School (high school)?? Cuz I think I'm just going to refuse to go, lol. :)         And what do they do, i mean, the last time she didnt check anything down there or w.e but I'm almost 15 so does she have to.    Haha, I HATE doctors so yeah, they suck.
20090128115029AAGvbYE	Health;Women's Health	Why does my gf gag during oral?  Should I try putting something on?	And its not just with oral. Whenever she's eating something and it tastes bad, she starts gagging. She hates ketchup, so just the sight of it makes her start gagging and once, she threw up. But when were doing oral, she was BURPING, GAGGING, and DROOLING a little even before we began but she said that she could do it and she tried to focus and breath through her nose. I tried talking to her while she was doing it, but then, it happened: she threw up. Now, she's all embarrassed and everything. To help with the taste, I've been told to dip it into whipped cream or chocolate and have her lick it off and maybe do like a little ritual with the dipping. Would that work?      (Please don't answer: Don't do oral or don't gag her with your penis. I've addressed both of these issues.)
20090128114717AA0Rg34	Health;Diet & Fitness	What are some tips on keeping yourself full, or fighting hunger?	N/A
20090128104318AAXkQpa	Health;Women's Health	14 day period, heavyy?	my friend has been having her peroid for 14 days, and it's heavy and really painful. i've had this once and my doctor said it may have been the birthcontrol, but she takes hers better than i did at that time. what else could it be?
20090128102912AAXjOPK	Health;Women's Health	Never had an orgasm...?	I'm 17 and I've been with two different guys and had sex with both them plenty of times, but I've never had an orgasm.      Could there be something wrong with me, or what?
20090128110420AAXVXwZ	Health;Mental Health	What to expect in the first therapy session?	I'm a 16 year old girl. I've been feeling depressed for 3 weeks now and cutting for over 2 months. My parents don't know the extent of my self-harm but I asked to see a therapist and today is the first session- in about 2 hours, actually.      And now I'm sort of freaking out. Because I asked to see her, do I have to know what I want to talk about?    If not, where will she start?   I don't want to talk about cutting because my parents can't find out.    I'm very nervous, can anyone tell me what to expect?
20090128101912AATB8Z1	Health;Mental Health	Mom is miserable how to help?	My father died a little over a year ago. They were living in a not so nice neighborhood and it is just getting worse.My Mom is afraid to stay by herself at night so she built a small apartment which is attached to my house. While it was being built she was all good she had something to do.       Now that it is complete she is miserable. She sits in her apartment all depressed all the time. She tells me she is just waiting to die. She is in good health still drives herself she just refuses all suggestions.       She told me she is very tempted to go back to her house in the not so nice neighborhood. She feels like she can go outside at her own home and piddle. We have 2 acres here plenty for her to piddle on but she refuses. She acts like she is afraid to touch anything like we will get mad no we won't. We are not that picky.       I have wrecked my brain tiring to help her. I make time to spend with her so she will have some companionship I invite her to dinner she says we eat to late. I have invited her to watch TV with us she likes having control over the TV so she refuses.       I am think she is in love with the idea of living in her old home. I think she is struggling with the idea she has to let go of the  past and move forward. She is 77 years old. I am a only child so I do not have any brothers or sisters to help us. Any suggestions? PS nope she refuses to do any volunteer work or get a part time job. And I can tell you now she will not consider any medication for depression.
20090128120149AA8IGj6	Health;Women's Health	Is my clitoris damaged?	I was playing paintball over the weekend with my boyfriend and his buddies.  My stupid boyfriend thought it would be funny to shoot me point blank in the crotch.  So, he did it and the paintball ended up nailing me right on the clitoris.  I fell down in pain and all he did was laugh and say how he didn't know it would hurt a girl (yes, I am thinking of breaking up with him...)      Anyway, my clitoris swelled up a ton and I had problems walking on Sunday and Monday.  While the swelling is now going down I still feel a little numb down there and I think I have lost some feeling.  Is my clitoris damaged?  Should I see a doctor?      Thanks everyone!
20090128114936AATAdDE	Health;Women's Health	Birth Control Question?	This is my first time on BC and i have no idea how it works. Ive been taking for 2 weeks now but im wondering how long do i have to take it before its working or does it start right away?    I know i could just use a condom but being allergic to latex kinda makes it uncomfortable and allergic reaction like which isnt so much fun and 20 bucks for 4 of the hypo-allergenic ones is insane...      So how long does it take for my Birth Control to start working or in other words protect me?
20090128121354AATfKze	Health;Men's Health	Does losing lots of weight give the penis extra skin or less skin?	By that I mean, does it provide more skin to be used on the penis, or does it stretch it tighter?
20090128095925AAlC1mP	Health;Mental Health	Am a cutter... Yeah call me emo when i'm not - heard it all before. Need help covering?	Am slowling improving my cutting, and am going on holiday in a couple of weeks skiing, wondering if anyone knew how i could manage to keep all my cuts and scars covered, as i say, i'm getting better, and i've heard all the rubbish and abuse before so theres no point you even saying it to me. Thanks alot.
20090128114355AAb0wdr	Health;Women's Health	Does it hurt having sex for the first time?	I've heard it's painful for the first few times... why?   and also if your feeling uncomfortable what should you do to end it, cause I wouldn't want to affend him but i also rather have pleasuring sex then torture...
20090128094938AANIJC8	Health;Women's Health	Question About Hormones?	I am only 15 years old and i found out yesterday, from a blood test i got done, that I have a hormone imbalance. Apparently I am producing too much progesterone or something. I have bad acne, a heavy/irregular period, and very small breasts. Could this hormone imbalance affect all those things? And if not, what does it affect? Also, if i take a pill to balance it out, will my face get better, my period regulate, and my breasts fill out?
20090128100122AAgOKIR	Health;Diseases & Conditions;Infectious Diseases	How do you get germs and diseases off of metal?	ok so i am making fake liprings and on accident i dropped the fake liprings on the floor of my bathroom and like i dont want to get a disease or anything and i was wondering how do you get germs off of metal?
20090128095113AApXnRd	Health;General Health Care;Pain & Pain Management	Finding the right pain killer?	I have a slipped disc and it's VERY painful, I have tried percocet, vicodin, and now am on Tramadol and none of them give me any relief. I am doing pt as well and everything the doctors say to do to help it. I'm going to my pain dr tomorrow and I'm hoping he has something that will work. What ha worked for you?
20090128101129AA38pHh	Health;Men's Health	Does masturbation harm?	I heard from many people that masturbation harms our body in many ways, it weakens the limbs, causes impotency, one drop of semen causes loss of 100 drops of blood etc. etc. is it true?    Does masturbation cause harm to human body in this way or other?
20090128115057AAK7XUN	Health;Women's Health	How long should I wait to call the doctor about a... ?	potential kidney infection?  My lower right side of my back has been hurting all day, tylenol didnt work, I've had bad diarrhea all week.  What's going on?
20090128115210AAXde4W	Health;Women's Health	Is this normal, please help! ?	Hey!      I'm 13 years old, and I've had my period for about 8 months. The first time I tried to put in a Tampon, my flow was really light and it was a Super Tampon and it burned like crazy, so I took it out really fast.      Then, like 2 weeks ago, my flow was much heavier and I tried to put in a Regular Tampon and I got it in farther but still not all the way before it started hurting really bad again.       Is this normal? Should I get smaller tampons?       Thanks!!!!! :) :)       K      BTW, I'm a competitive swimmer, so I can't use pads all the time!
20090128103714AAmgCdL	Health;Women's Health	2 week late heavy period?whats going on?	Right so my period came today after being 2 and a half weeks late! I took a pregnancy tet  last week and it was negative then last thursday   i though i got my period but it wasn't was only very slight spotting .... i also had like a small bit of brown discharge during the week. Now i've a verrrry heavy flow!
20090128095515AAeom98	Health;General Health Care;Other - General Health Care	Is it safe to cough after having a umbilical hernia surgery?	i just had surgery yesterday and i have cough really bad but when i did once it hurt really bad and now i have to cough again but im worried that it can take out my stiches
20090128115610AAzOK6V	Health;Other - Health	Do you think having a therapist is bad?	N/A
20090128101305AAAvpVy	Health;Other - Health	Do pharmacist have to memorize most of the medications and their side effects?	N/A
20090128095736AAf8IDy	Health;Women's Health	What blood tests are needed to check levels of hormones in women? ?	I watched Oprah's show about hormones and symptoms if a persons is low, I have those symptoms and more. I am bitchy, having migraines monthly,tired,mean,moody,can't get to sleep,no sex drive,heavy periods,cramps,PMS BIG TIME,not caring how I look.       On the show the Dr. had a  patient with pretty much all of the same symptoms that I have and so they checked certain hormone levels with a simple blood test and hers was low so they put her on hormone therapy.       I emailed my Dr. at Kaiser and she said to me lets just put you on Prozac or Zoloft. Unreal! She is and has been aware of my issues for a long time now and so she sent me to the Kaiser OB/GYN and he put me on birth control pills, first off this pissed my husband off cause he had a vasectomy and second I have been on them months and there is NO CHANGE, except weigh gain and I am risking getting breast cancer and other diseases linked to birth control pills. Instead testing me for what the problem is she they just put me on the cheapest treatment and wants it to say that way even though it doesn't help. I need help to find out what tests that the Dr. on Oprah's show said we needed to be tested for, please help and thank you!
20090128115453AAAwZi9	Health;Diseases & Conditions;Other - Diseases	Does any body have or know someone who has sjoergen's syndrome? I would really appreciate any GOOD feed back.?	My son was diagnosed with it, but it is supposed to be rare, and if more so in males. Please be nice.
20090128114945AAFQ74z	Health;Diet & Fitness	Bender ball as seen on tv?	what is the difficulty level of the bender ball?   Does it provide a good ab workout?
20090128120551AA04tM7	Health;General Health Care;Pain & Pain Management	Quickest way to stop my left temple from throbbing?	So I'm going to a concert tonight, and I have a migraine in my left temple.  It was also in my neck earlier, but my boyfriend got that to go away with rubbing.   The temple is still throbbing badly, though.  Since I've woke up I've tried both tylenol and Advil cold and Sinus (not at same time of course) and also hot showers and sleep (the headache appeared around 5 AM and woke me up.  It's 2PM now).   Advice? I'm looking to nail this bugger quickly, since the tickets are already bought and a friend was who bought them... would feel bad for not going.
20090128100640AAWgvqK	Health;Men's Health	Why does my urine have the consistency of toothpaste?	The only way to successfully urinate is to squeeze it all out like a tube of toothpaste from bottom to top. Obviously this isn't healthy but I can't find any information on WebMD or Google.  Please help me!
20090128114350AAaii62	Health;Women's Health	How Can I Make My Breasts Bigger Fast?	Hi my name is Becky   I have 32A size breasts and I'm not satisfied with them i would like 34C-36C I am not going to get plastic surgery either.  I would like results fast also.  If you have any tips or tricks on how to make them bigger without making the rest of my body fat or surgery please tell me.  Thank You So Much
20090128115939AAHvO4F	Health;Diet & Fitness	Im getting fat. What am I going to do about it?	Seriously, I'm turning into a right tubby monkey.
20090128115201AAd01Se	Health;Women's Health	Best Breast Augmentation-Arizona Doctors?	Can anyone help me in rite direction for best AZ doctor to go to ? Im in the Valley Phx area. Also any extra tipps i need to know. Im not doing this to show them off, im doing it to be content and confident with myself.
20090128121248AAUurIi	Health;Diet & Fitness	Serious question. I need to lose weight terribly fast. ?	I'm 135 around and 5'3 i think. Some parts are too big and abnormal for my body. Like my butt, theighs. I know thats good but I'm sick of the sexual attention, and the extra weight I'm carrying around. I can feel the fat pulling me down.       For the longest time I didn't care about my weight because when I looked in the mirror I thought I was fine. That's not reality though. I'm just sick of it and I've tried and tried the heathy way and its not working out because that fats not going anywere.      Please help me out. Whats the best way to starve yourself, fast (fastings actually heathy) just anything other than these 2 things    1 excersize   2 eat heathy and good porpotions      I've been doing these for about 2 months. I've lost some weight here and there but these theighs and my *** stick out even more because everything else got skinny. yes I have been doing the proper excersizes to target these areas.       I'm willing to do anytihng so I don't feel so uncomfortable anymore.      if you are against unheathy eating habbits I don't want to hear you ramble on.
20090128100745AAERNoP	Health;Diseases & Conditions;Infectious Diseases	Can you get sick from not showering for a week ?	can you get sick from not showering for a week ?... like cold or flu
20090128121236AAOKlSO	Health;Diet & Fitness	Shoulder pain while bench pressing?	there has been pain in my right shoulder the past month when i bench press... i take a weight before every time i bench to stretch it out and get it ready before i do chest, but the pain is still there just not as bad if i didnt stretch it. I am not sure if i just pulled something in my rotator cuff or slightly tore something to make it inflamed. When i do fly's it does not hurt, only benching or using the chest press. Does anyone know what this is or what to do about this? thank you
20090128115307AAXgucU	Health;Diet & Fitness	Losing weight (not eating)?	Ok im 14 and ive tried losing weight so many times, ive tried eating 800 calories a day and running every night and nothing seems to be working, im getting fed up now and i just need to know how i can lose weight?
20090128104454AAmFta2	Health;Women's Health	32B bra size but boobs have grown. what size am i now? I think a C cup might be too big but the B too small!?	Right now i am waering a 32B bra size. My boobs have grown alot and they are spilling everywhere. I am unsure about buying a 32C becaue i dont think they are big enought for a C cup. Something like a 36B would be not good becasue the band would be too big. How big is a C cup? What size should i get and do you think i could fit a C?
20090128115621AAopChM	Health;Diet & Fitness	Pull up exercise plan?	Im a begginer at pull ups/chin ups I can probually max out 10-15. I ordered a bar online and my goal is to get to 20-25   What should my exercise plan be like to achieve this?
20090128120505AAZ0L51	Health;Women's Health	Bleed a little after sex?	I seem to bleed a little after sex.  And sometimes have a little pain.  I think maybe I get nervous that I don't get wet enough-and this makes me tense up and then...not get wet.  I am on anti depressants which i heard can affect this.  What can I do to make this better?
20090128115236AAwAb3z	Health;Women's Health	Really scared???????????????	Hi. I went to the doctors for a physical exam on monday and everything was going pretty well. But then the doctor was feeling my throat and she told me to swallow and she said that it felt a little bigger than it should be. I cant really remember what she said felt bigger than it should but I i think it was my gland? And then she asked me if i knew if anyone in my family has ever had a disease that i cant remember the name of. I asked my dad about this but he doesn't know. And my doctor gave me a lab slip so i can go have blood drawn tomorrow.  I a kinda scared about getting blood drawn, but I am even more scared about this disease thing or whatever it is. I am only 13. And the only thing that my dad knows about the "disease" is that when someone has it it means that they have trouble swallowing. Please tell me any information about this. Thanks a ton!
20090128114622AA9aLfQ	Health;Diseases & Conditions;Infectious Diseases	A higher body temperature makes it harder for pathogens to reproduce. True or false?	Everyone is born with a natural immunity.  True or false?   Mononucleosis occurs more than any other communicable disease. True or false?    There is no cure for HIV and AIDS. true or false?
20090128110201AArKyqr	Health;Men's Health	What is the masculine menopause?	How does it affect men?
20090128095700AAGuM60	Health;Women's Health	Potential Menstrual Cycle Problem - Help?	Here we go again.      I was due for my period on January 10th, it's been over two weeks and I still haven't gotten it. I have not had sex in over two months, and my period came both those months. The only thing I'm worried about is that I have been engaging in .. other things that isn't actual intercourse. My boobs are sore, I get minor cramps, and I've been gaining (or it seems) weight. I have been overly stressed lately though and beyond paranoid.       Any advice would really help.
20090128114837AA63T8t	Health;Women's Health	Need advice about the birth control pill?	So I went to the skin specialist because i have a lot of different skin problems. I have dry skin/eczema on my legs and fairly bad acne, which are like opposites because acne means very oily skin.  So the doctor said i could possibly try the pill.  Has anyone taken the pill for acne and if so what are the good/bad things about it?
20090128114739AAOogPs	Health;Women's Health	Skipping/changing period on The Pill?	I'm currently on Microgynon 30 birth control (3 weeks on pill, 1 week off) My next week off is due the week I'm meant to be on holiday. Is it safe to change the date of my week break to either the week before I go away or the week after? Will I still have my withdrawal bleed on the week off if it's before the usual date?      Thank you!
20090128120233AAktMHj	Health;Men's Health	Back Problems Again and Again =( ?	Okay for the past i had been in car Acadents pretty baddly.After 2 years of them i started to get back problems.It always come from the right side of my back kinda below the rib cage.It feels like some is pushing down on that spot hover and over.Some times its so bad i cant turn reach for my toes Nor behind over. It happened again today and time to find out something before i got to the doctors. it always goes away after a week or so. And i need some help to calm it away and send me some RELIEVE.
20090128102333AAN0yub	Health;Women's Health	What do they do for a pap test?	I am just wonderin, because i am never had a pap test and i am not sexual active either.I just get bad cramps is all, and it feels like i wanna cry or something. I was just wondering does it hurt to.
20090128095631AAByR01	Health;Diseases & Conditions;Infectious Diseases	How can i tell if i have mono if everyone at school is sick?	I came into contact with it 4 weeks ago..drank from a glass from a person that had mono..i got sick last week with a bad sore throat and everyone at my college is getting sick and fast...i still am and today it seems to be getting worse...should i wait to see the doctor if everyone is sick and wait until i get a fever and bad sore throat?
20090128120238AAXOf7k	Health;Men's Health	My husband (81) has such cold feet. Tried everything. Otherwise in good health ?	N/A
20090128114528AAfqXFt	Health;Mental Health	Could this just be my ocd again?	Could this be colon cancer?  I just took a crap, and my crap kinda on the flat side. Not really like ribbon like crap, but flatter than it should be. I also found random areas with light red.    I'm only 20 years, and I don't have any other symtoms of colon cancer.
20090128120339AAhwZGC	Health;Men's Health	When will it grown back?	I'm 27 and still live with my parents. They recently decided to get me circumsised as they have just become a pair of jews.   I dont like it, when will my foreskin grow back.
20090128101057AAVGsZG	Health;Mental Health	How can I think more clearly?	Now please don't be mean about this.     For the past couple of months it's much more difficult to process things understand things, situations, and talk. In general I've been much more stupid. I'm not or wasn't normally a dimwitted person believe it or not. I'm not sure what could cause this, eating poorly?  malnourishment? Not enough sleep? Stress?  Damage to the brain?          I've been eating better, cut out most of my diet of soda and candy. I've lost weight and in general have been eating better and working out.  Sleep I average 7 hours weekdays.  Weekend 8-12 hours. I'm always stressed so I hope that's not it. I don't smoke, do drugs, drink, the only "bad" thing I do is consume energy drinks and that has dropped dramatically.   How could I improve my thinking capability and go back to thinking quickly clearly and understand thinks easy again?   Also would any of this affect my speaking ability?      Thank you.
20090128115157AABe1iv	Health;Dental	I had my braces fitted today, it hurts really badly and none of the medicines are working?	I've had 2 painkillers (different) but I'm not sure what, as my mum got them from the chemist. The pain is unbearable and I don't know what else I can do to help ease it. Anyone got any ideas? I cant eat as all of my teeth have started hurting. Luckily its not cutting into my gums yet but I have wax just in case.
20090128112359AASSLXE	Health;Dental	What causes anterior teeth to be mottled and pitted without having dental carriers?	N/A
20090128113727AA2YsdI	Health;Diet & Fitness	I'm not sure if I'm healthy or not?	I am 5'9 and I weigh 118lbs??
20090128115641AA0CcHD	Health;Diet & Fitness	Im not fat i weight 112 pounds but i have a problem that i cant ever stop eating?	I am a teenager and weigh 112lbs. I am not fat i am a good size. I am strong cuz i run xc, play basketball, soccer, and track. But it seems that all i ever wanna do is eat. Is that a big deal or normal???
20090128113148AAqoEgp	Health;Men's Health	Attention Men:Answer my question about this guy?	Heres my story:This guy I like had someone call my job andask where my whereabouts and for the address of the location and then ask what time I was off, then never show up,and the person blocked their number out, and this has happended three times, over a two month period, but he never showed up, well I Ieft early ,but when I try to talk to him, he only say one or two words,or sometimes nothing at all, but I hear that he asks about me, indirectly.this guy is 29, and Idon't know if hes playing games,or just weird
20090128104055AARgMYF	Health;Diseases & Conditions;Other - Diseases	Does anyone have scoliosis?	i have it i am only 13 and i don't really have it bad but it is 46 degrees i went to the doctors last year and they said it was nothing to worry about but as i have been going though puberty it has gotten bad my back does not hurt that much only when i lean over the bath to wash my hair and when i sit up Straight i went to the hospital about 5 days ago and he is going to put me in a back brace and going to do some exercises  that will make my back better he said if it goes into 50 to 60  degrees they might have to do surgery to put it right and to put rods in my back to make it go Straight  but i am only 13 and i am worried i don't want to do surgery
20090128114410AAt5WFt	Health;Diseases & Conditions;Skin Conditions	I have oily skin and scalp what can I do to help it?	I have oily skin and scalp what can I do to help it? I use face wash, astringent and a non greasy lotion. Its odd though because after showering my face and scalp are dry but as the day progresses they get extremely oily. Any suggestions
20090128100452AADuqVD	Health;Diseases & Conditions;Skin Conditions	How many fourteen year olds and younger have gotton body peircings?	im 14 and got a cartalige peircing yesturday but want my eyebrow and nose also done
20090128095256AAKhRmn	Health;General Health Care;Other - General Health Care	Can popping your back make scoliosis worse?	I have scoliosis.  every day when I go to school, i lean back in my desk and pop my back.  i would like to know if when i was popping my back, would it make my scoliosis any worse.
20090128100644AAjiHVF	Health;Diseases & Conditions;Skin Conditions	Hyperhidrosis(Excessive Sweating)?	Does anyone have any ideas on how to cure hyperhidrosis or help the amount of sweat decrease? Thanks a billion for all your answers.
20090128095234AAmD63W	Health;Diseases & Conditions;Other - Diseases	I have a thyroid disease{hypo}could i take overthecounter fat burners?	N/A
20090128095413AAviNJ4	Health;Other - Health	If your over the age of of 50 what types of in-home Medical equipment do you own/use? if any.?	Med equipment like blood sugar/cholesterol monitors and or oxygen tanks any thing medical related basically
20090128100100AA47lxe	Health;Women's Health	My Hair is falling out! I'm a female that needs help?	Lately my hair (head) has been falling out a lot. Last year the same thing happened but worse because I couldn't keep food down (not eating disorder, separate issue that wasn't my fault and now fixed).      Info on me:   my diet isn't the best but i'm working at it   I wash my hair every other day   no hair products in my hair
20090128100108AAhvtbC	Health;Women's Health	GIRLS ONLY!! My vagina is sore like i just had sex.?	i don't get my period because im on the birth Control shot so its not from a tampon. It sore to the touch and just an uncomfortable feeling when i walk and sit. I feel like i smell like vomit. whats wrong with me. This just happened this morning when i got to school. i don't have a mirror so cant look. don't know if its swollen.. Oh and i got a pap smear yesterday.. could that have caused it. it never has before. im confused...help
20090128100353AAITwrX	Health;Diseases & Conditions;Infectious Diseases	Is Skippy peanut butter safe to eat considering the recent salmonella outbreak?	N/A
20090128100621AA5VPsW	Health;Other - Health	I just developed PICA? like to smell and eat raw rice, since a week ago. WHy?	N/A
20090128100736AA4TeNV	Health;Men's Health	Are there some serious bodybuilders here?	can you tell me the reason for your success or failure at maximizing muscle mass and minimizing fat stores?? i am writing a article in iceland :) maybe a few words about your training program :) Thank you :)
20090128100801AAvRP2n	Health;Men's Health	How can i make sure im not using teeth when im giving head?	i want to give my boyfriend head but i dont want to hurt him with my teeth. how can i make sure that im not using my teeth?
20090128100848AAIWvba	Health;Other - Health	I'm sick with lot of mucus.?	I am eleven years old.   Right now I am sick but getting better. I have lots of mucus and I hate it. I don't like coughing it up because when it comes up I feel like I'm choking. I am taking Mucinex right now and it has loosened up but I still don't want to cough it up T.T. I hold back my coughs a lot and it makes a weird feeling in the back of my throat when I try to take deep breathes and I try not to laugh or sneeze either. Will I still feel like I'm choking when I try to cough it up after taking Mucinex i take about 3 doses a day every 4-5 hours.
20090128100904AAve1WP	Health;Men's Health	How tall will I be when Im fully grown?	i'm currently 17 years old and around 5' 11?.. my father is around 6'2 and my mother 5'6- 5'7. i currently eat a lot of food because I'm hungry every 1?- 2 hours or so, mostly in the evening.
20090128101005AASMaxT	Health;Men's Health	When will my body catch up with my hands and feet?	I'm 13 years old, 5'9 and 136 pounds. I wear a size 13 in mens and my hands are pretty big. I'm like a clown. I hate it. Will I get taller? My dad is 5'8 and my mom is 5'6. More than one word answers would be highly appreciated, thanks.
20090128101126AAVsL1w	Health;General Health Care;Pain & Pain Management	Ok, a while back i whacked my elbow pretty hard, now my hand frequently has a loss of circulation, what gives?	my hand is now swollen also there is a tingly sensation at times.
20090128101348AAp0BZ1	Health;Other - Health	How long does it take to get marijuana out of your system if you smoke 1-2 times a week?	N/A
20090128101648AAkCN1U	Health;Other - Health	Why am I out of breath so much?	Hello everyone,  I am 21 years old and have been smoking since i was roughly 15.  I have been drinking pretty hard since I was around 17.  I have gained probably 60 pounds in the last year (beer gut mostly)  I am not currently physically active (I am a scheduler at a shipyard so I sit down all day).  I am just curious as to what is hurthing my health more the drinking, weight or smoking.  When i walk up the stairs everyday I am just so out of breath it is pathetic.  I need some advice.  I am currently not drinking anymore to try and lose some weight.  I stopped drinking soda as well.  I can't for the life of me quit smoking I have tired 5 times now in the past 2 years.  I have tried zybane, chantix, patches, gum etc.  I need some advice as to try to get some health back.  Is it hypicritical to try and gain health and continue to smoke?
20090128103337AA4YDvb	Health;Women's Health	What do i do about pubic hair?	do i shave it off, leave it there, what... because to me it doesnt seem very attractive AT ALL and sex just wouldnt seem the same... NOTE im still a virgin
20090128110413AA0ca2z	Health;Men's Health	Another Penis Question!?	I know iknow... Heres another penis question regarding a kid who is insucure about his penis! W/E. I know you might tell me to go out and play some soccer or something but this is a question that every boy wants to know.So if ur gunna tell me to not worrie about it then u probably shouldnt answer.      I was wondering if my penis size is an ok one for my age. U know that mines not the biggest but i know its not the smallest out there. Im 14 years old ( male obviously) and i am only about 5'3-5'4 and my penis is only at 5.7 inches and im wodmering if thats bad orgood. And if its bad i was wondering wether theres hope for me ? :P i know that its not all about the length but the width also but i still want to know. Thank You. I was also wondering wether penis size can be affected by ur parents or ur race? TY
20090128110843AANSTfL	Health;Men's Health	I am a 16 year old guy and have never masturbated. Is this bad?	I used to get wet dreams regularly after looking at porn, but i have never masturbated. I just think it is gross to touch my package. I know i don't have a low sex drive too because all i can think about when i see girls is going down on them, and i even get a ***** when i hold my girlfriends hand.      Is there something majorly wrong with me? Is there any way to change my views so I learn to touch myself without it being extremely weird?
20090128111746AAJYzuY	Health;Diseases & Conditions;Skin Conditions	Palmer hyperhidrosis is destroying my education! what would you reccomend as the 1st step to get rid of it?	its starting too ruin my education. whenever we have too do group work i always run out of lesson or bunk and then i fail my assignments!! none of my friends have noticed this just yet because when they ask me too shake hands i usually say something like just 1 minute I'm going the toilet or i say no im just finishing my work. the winter hasn't been that bad really coz ive been wearing my gloves in class and my excuse is that the weather is cold, so I'm keeping my gloves on. ive already tried using sure roll on, but that didn't work too well! i've heard that talc or powder is ment too work well but im scared incase that doesn't work either.
20090128112246AAAJ0hA	Health;Diseases & Conditions;Other - Diseases	How do i tell my mom im a canabal and i that i ate my arm?	N/A
20090128112347AAq7UCt	Health;Mental Health	Why does my girl friend get mad about this?	she's mad at me cause when ever we have sex i tell all my friends about it and people at work. isnt that dumb to get mad about that?
20090128112613AA0tmDy	Health;Women's Health	At what stage should a pregnant woman be worried if they stop feeling their baby move?	My other-half is 24 weeks pregnant and the baby has now started moving vigorously. Is their a rule of thumb when we should be worried if the baby stops moving? By what guidelines should a pregnant woman go by with regard to the sudden cessation of movement from their fetus? What is regarded normal, and what is regarded as a symptom of a possible problem? Please could only a medical professional respond (i.e Doctor, Previous medical experience, Nurse, etc.) Thanking you in advance.
20090128112749AAyCM4k	Health;Diseases & Conditions;Skin Conditions	I have itching under my arms whats a great deodrant to use as roll on just make it worse?	N/A
20090128113219AA4jV85	Health;Men's Health	How do you know the difference between dried urine and dried semen on your black underwear ?	the thing is sometimes i fined dried TRANSPARENT substance or discharge i don't know what to call it really, and there hasn't been any sexual stimulation of any kind. so its not pre-*** and its not std what is it, does anyone have a similar case, is it a disorder or just urine.
20090128113537AAlv8lW	Health;Diet & Fitness	Where can I find a good website with exercises for resistance bands?	N/A
20090128113625AAUcDEf	Health;Women's Health	My sisters nipples go in why is that?	Okay i have a 10yr. old sister and she weighs 125....And her nipples go in is that okay will they stay like that forever? jw
