20090307160135AA84YER	Society & Culture;Mythology & Folklore	Do you Yahoo,, Or have you been Yahoood, or Do you Google or Have you been googled?	Who is watching you
20090307161823AAW2Bd3	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Funny Jokes on the Ku Klux Klan!?	Help! I'm going to do a presentation on the Ku Klux Klan. Part of my requirements are to make my classmates laugh. Any funny jokes I can say about them or any witty sarcastic remarks. Thank you!
20090307160511AAsq2hQ	Society & Culture;Mythology & Folklore	Hero and monster short story help?	I need to type a 2 page short story that descrbies the relationship between a monster and a hero/ine. And I need to think of a significant political evil to represent the creature. Anybody have an idea as to what the creature should look like/who it is in real life?
20090307171038AAJYlef	Society & Culture;Religion & Spirituality	Why do religious people always say "find god or jesus" like its wheres waldo or taking tylenol?	im not bad mouthing anyone but i have read so many Y answers that just say read the bible or pray.  that is the worst sales pitch ever!    A follow up question would be what do you say to people who left the church or became atheists or nihilist.   i just feel like its a token effort with out any real substance.
20090307161942AA8lWf7	Society & Culture;Etiquette	Should people with ugly toes be allowed to wear sandals?	I'm not the fashion police but I've seen smaller toenails on velociraptors.
20090307162358AAL1qrX	Society & Culture;Religion & Spirituality	Christians ,,do you believe there were ever any major wrong choices and mistakes made through your religious?	belief s or in the way you expressed or them or forced them on others unwilling in the past or present
20090307172002AAKUNJ4	Society & Culture;Religion & Spirituality	Would anyone care to look at my CV to see how it can be improved?	i have spent a few months applying for jobs in science and not even getting interviews.   i have improved my CV now, and would like to get some comments before i send it off.      danke
20090307170631AAC6Zzx	Society & Culture;Other - Society & Culture	Throwing boyfriend James Bond themed 18th birthday surprise party. Help?	I'm throwing my boyfriend a James Bond themed 18th birthday surprise party (he LOVES James Bond!)! I need help coming up with ideas of decorations, food and activities, etc.      I already know, obviously the general color scheme should be black, white and red. I'll also have sparkling cider in little buckets of ice with champaign glasses to drink from (plastic ones, if I can find some).      Any suggestions?
20090307171426AAgqpWy	Society & Culture;Other - Society & Culture	Is being stubborn so bad?	Whenever I hear people refer to others as being "stubborn", it always implies that its a completely terrible thing to be. But, why exactly? What's wrong with being persistent and inflexible? I mean, if anything, stubborness shows independence, right? Not being easily swayed by others. I hate it how people think its some character flaw. When it really isnt.
20090307165805AAWidYJ	Society & Culture;Religion & Spirituality	What type of Christian is a Christian / LDS Christian.?	N/A
20090307162716AAHzS93	Society & Culture;Holidays;Other - Holidays	What are your plans for Saturday night?	N/A
20090307172540AAmwN8C	Society & Culture;Religion & Spirituality	Why did i choose the name gabriel?	i chose archangel gabriel for  my confirmation name. and  im not really sure why. i think  i just liked the name but when i go up to get my confirmation i cannot tell the bishop that. can anyone give me a logical reason why. & don't be rude please
20090307171749AA0hQsd	Society & Culture;Other - Society & Culture	What are you doing .....?	tonite.........? big plans anyone?
20090307165951AAF98KR	Society & Culture;Other - Society & Culture	Why do people think Massachusetts is the rudest place in America?	 http://answers.yahoo.com/question/index;...       read the answers.      i mean why? i live here and the people are nice. nd ya know what?      i think New York City is the rudest place on earth.      my aunt had a lot problem s over there for at least 4 hours. people walking through her camera angle and people not saying excuse me to pass her.      Just asking your opinions...
20090307172031AATD97V	Society & Culture;Community Service	Which organizations can sponsor me for my high school leadership program?	I have been nominated to attend LeadAmerica Medicine and Health Care conferences which in total cost about $2,700. The deadline to turn in the money is April 6th 2009. I need to know if there are any organizations or people that can sponsor me because my mom can only contribute about $1,000.
20090307163917AA1Tsrm	Society & Culture;Other - Society & Culture	Do Delaware ids have holograms?	I have a delaware fake id, but it has no holograms...I'm not sure if it will work at a club or bar...what do you think?   everything else looks fine and it is scannable
20090307165727AATZaGd	Society & Culture;Etiquette	What should I do??????	Last year, I was working in the summer time at a grocery store and was taking some classes as well. Well I had gotten no training when I first started. I did not know what I was doing for a while. I got trained 15 minutes at the cash register the first day and was on my own the rest of the time.I did not know what we sold or how much it costed or anything. I wasnt exactly concentrated becuase I sold ciggerettes to a minor and did not even know that was illegal. I got in trobule and thank god becuase I was 17 it did not go in my criminal record. Now im 18 and im a senior in high school and its close to summer and I really need money and a job. I am not sure if I should do it becuase I dont want anything like that happening again. I want to put full concentration to my job. At school I take all electives so it wouldnt matter If i ended up failing them, I will still graduate.I had the option of not coming to school this year becuase I completed all graduation requirments but I decided to come anyways to make sure I get the entire high school experience. I really need money and want to start college next fall successfully and will not be working while im in college.I think i should find a job now becuase once the summer starts No one is hiring anymore, and it's already so hard to find a job, but I dont know if I can take that much stress. Should I go back to work? Or just finish up with High schol?
20090307172339AAOlVPr	Society & Culture;Other - Society & Culture	My friends and I would like to start a "Paranormal Investigation" Group.?	1) Where would we find the things we would need? We don't want to spend a TON of money, but we do want tools that will last a while and aren't crappy.   2) How exactly would we start out doing what we do? We know that we need to be cautious so we don't intrude on others' property, yadda yadda, but we really don't have that many haunted/active places where we are. We really only have a cemetery that people have investigated (It's on YouTube :D ) and some occupied houses that we won't be able to check out. How would we find more places to check out?      These are questions we should probably know, but we wanted an outside beings' opinion.      Thanks! :)
20090307161220AAIQBaM	Society & Culture;Etiquette	I need to know how to ask someone if i can hang out with them!?	ok. so we're both 13 and its the end of the grade 7 year, and i'm hanging out with these weird people that have nothing in common with me. the reason i was hanging out with them was because my best friend moved to a private school and i needed to hang out with someone until the end of elementary. when my best friend moved schools, i hung out with this really unpopular girl for about a week when my ex--friends (they are popular) asked me to be apart of their clique. i said "no" back then, because i was OK with this other girl. now i'm stuck with these really immature, hyper, weird girls and i'm nothing like them. the other girl "gang" has recently been really nice to me, and i'm thinking of becoming friends with them again. they are in different classes, so i can only be with them after school and at free time. the problem is, i really don't want to screw this up. i'm not going to use them like i did the other "friends", because i have lots in common with them. i just don't want to sound totally desperate when asking. what do i say to ask?   ps. i'm sorry...its kinda long!
20090307165841AAMJ4Uf	Society & Culture;Holidays;Halloween	Know any good scary stories?	N/A
20090307172012AAskV8u	Society & Culture;Religion & Spirituality	What ideas do you think Jesus has given to the world?	N/A
20090307163223AArL2uK	Society & Culture;Other - Society & Culture	How far will changing attitudes towards nudity go?	Once upon a time men could be fined for not having a shirt on.  Now with low riding jeans showing but cracks, tongs that don't really cover the but (now not just women) and women pushing for "topfreedom", will one day wevseeing people walking in the garden or sitting in the park on a hot day with nothing on?
20090307171040AAsr3Ft	Society & Culture;Religion & Spirituality	They say if you don't believe in Jesus you go to hell.?	I'm an Atheist, but I'm wondering from your points of view, do you think every single living person who doesn't believe in Jesus goes to hell? What if there are tribes out in Africa or something who don't believe in a deity and just hunt and gather. Do they go to hell? What about Jewish people and Muslims? Do they go to hell? What about the skeptics of Jesus's time, are they going to hell? What about people born before Jesus? Do they go to hell?
20090307165608AAQ7pVA	Society & Culture;Other - Society & Culture	What do you think of this.....?	 http://farm4.static.flickr.com/3642/3336... 
20090307171720AAEO9H0	Society & Culture;Languages	What are the top 5 languages most useful in life?	And for careers
20090307162901AAAc4jF	Society & Culture;Religion & Spirituality	Christianity: Is God testing us?	Ok I get tempted like everyday and it's not even funny. (I'm bipolar as well) and stuff always happens to me. Today I was walking around Target and I almost bumped into this lady she had a cast around her ankle and when we past each other she's like woah sh*t and I looked back and she rolled her eyes at me and sighed. My feelings got hurt a bit there. And then later I was sitting outside of the store I had my back against the wall, I was waiting for my friends and I can hear these 2 black guys coming out of the store and once they come out they were laughing at me because the fact that I'm ugly?? And they walk away and they're like... "That girl's nasty dawg!"      I got home and I cried and cried I didn't know what to do and I got soo mad I got and I am just making sure that is got testing us? Is God doing all this is this supposed to happen for a reason?
20090307162924AAZUxer	Society & Culture;Cultures & Groups;Other - Cultures & Groups	How to get involved in social causes?	Ok,so I woke up this morning,not sure of what to do with my life and realized what I want to do. I want to be an activist,make a difference,let people understand that the world is not just black and white (no pun intended lol).   Well my question is,where are the groups that do marches and protests at?? I have been scouring the internet and its almost IMPOSSIBLE to find an active group,especially since im 14 and can't travel to one.
20090307163651AAlReYE	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Is it true that on average, Americans have a lower IQ than every other nation on earth?	N/A
20090307163403AA3TPMU	Society & Culture;Religion & Spirituality	If God didn't want me eating dolphin, why did he make it so tasty?	Pan fried. A little garlic, a little salt.  Yummy.
20090307170158AATMJkG	Society & Culture;Etiquette	How often should I change my underwear?	Should I change based on days or when there's stains?
20090307160821AAjM7EN	Society & Culture;Other - Society & Culture	Is anything wrong with me?	Do you feel sympathy for murder victims ?I do ,but if the person was a mean person such as  a mean boss,politician etc if you know what I mean.Since lam a Christian I should n`t be like this
20090307162438AAd4a1T	Society & Culture;Religion & Spirituality	Why do religious organisations try to run our lives ?	N/A
20090307161407AAzcNoG	Society & Culture;Religion & Spirituality	Can we all agree that?	pretty much every religion has a history of violence and hatred towards other religions. People seem to forget that Christianity has a much longer history of violence than Islam. Cant we agree that every religion is corrupt and has strayed from the foundations that they were started on. I meant he only religion that can be spared on this is Judaism because they always seem to be the ones persecuted.
20090307162746AA9KmTR	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Re: What do u think about being gay/lesbien/bisexual Just let it all out here.?	I know i dont care at all, im gay. And im not afraid to admit it, its just who i am. And i know my parents will care, my dad talks about how gay people are messed up, my mom does sometimes too. Thats why i really cant say anything, i know their so wrong, im only 13, nobody knows, none of my friends or anything. I want you to post your feelings and here really explain yourself and your sexual orientation.   And again, Tell me what you think. I know i want to spend my life with a guy and i know that for sure, im not a sexual beast or anything i just want somebody who can make me happy, but i know most immature people in my age level will think gay people are horrible and disgusting, I think i really am the only mature person in my class, or in all of my grade level. Just tell me what you think, be honest.   If you want my msn to talk, just tell me and ill message you.   Thanks, post your thoughts. Dont be homophobic here you'll just be flamed and ignored, :S.
20090307163635AAomTPr	Society & Culture;Other - Society & Culture	Im really bored wat should i do?	wat websites should i go on nuthin nasty plz im just 12 ive been on myspace and youtube already wat else is there????
20090307163104AAMnRQ7	Society & Culture;Religion & Spirituality	If Jesus was so good at miracles why did he need water to make wine from couldn't he just make wine from air?	N/A
20090307171638AAcIhyW	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Butch lesbians are a lost cause but do men still have a chance with a lipstick lesbian?	N/A
20090307163338AAj8tiU	Society & Culture;Religion & Spirituality	To all catholics, what is a powerful proverb?	Please answer appropriately.
20090307170107AA0EuJz	Society & Culture;Mythology & Folklore	Why is the sky blue? in your opinion?	Make a story why its blue or just make up some sentence why it is.
20090307160636AAu9l1u	Society & Culture;Other - Society & Culture	Good audition topics for 5 minutes - please help!!!?	I need to audition for 5 minutes in order to be selected for a tutoring position and the topic must be non-academic. I can't seem to come up with a good audition topic - I need some suggestions. any constructive input would be very helpful - please help. Thnx a lot!
20090307161215AA93Vvg	Society & Culture;Languages	What language is this?	This was in a rubric for my online course. I was wondering if this an actual language, or just internet gibberish:   "Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam erat volutpat. Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper suscipit lobortis nisl ut aliquip ex ea commodo consequat."      Thanks!
20090307162140AAVSAYG	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Can gay people really know if someone else is gay? "gaydar"?	i need to know
20090307161656AAXWtPH	Society & Culture;Languages	Could I have some help translating these to Japanese?	Hey, would anyone very skilled in the language (i.e. a fluent speaker, not a googler) be able to give me the kanji and romaji for, "Bare your teeth," "Jade tiger," and "Patient jade tiger."      I know, random requests, but they'd help me out a lot.      Thanks in advance for the help. Cheers~
20090307161703AAaqEF8	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Isit wrong that i have a foot fetish who wants to be a slave for a women at the age of 15 please help!?	hi ive got a problem im only 15 and i like the idea of being a slave for a woman and i have a foot fetish aswell i like seeing videos of women dominating men treating them like slaves and making them lick their feet i get turned on by it i still like normal things apart from the vagina it dont really turn me on but i like breast and bum but for some reason i get more turned on by feet and the feeling of a woman being in control of me i first found this out at the age of 14 while i was on youtube searching for a certain video and i saw a foot fetish video with a slave and it just really turned me on i dunno if im wierd or what i know their are other fetishes ive been doing research so i know there are alot of people who have fetishes but i dno what to do and i dno if i wanna get rid of it i havent told no one in real life or anything id prob get humiliated and laughed at by everyone but it is so hard please help me
20090307162304AA3iN6m	Society & Culture;Other - Society & Culture	Is this commercial racist?	I was bored and I found this commercial on Youtube. Do you think it is racist or no big deal?       http://www.youtube.com/watch?v=tRboyW0Br... 
20090307161954AAqa2R7	Society & Culture;Languages	Is there anyone who can teach me how to comunicate with the dead ? for free !!?	Hi Everyone,    I want to know if there is anyone who can teach me how to comunicate with the dead - I believe I have the gift - and I'm asking for someone to help me with it, and teach me how to bring spirits through clearer.       This is a genuine question, so please I would ask no one to make any judgements on this kind of stuff.       Thank you for your help.    All the best,    Will
20090307162104AA5DtuL	Society & Culture;Other - Society & Culture	Helpppp !!!!!!!!!!!!?	Hi, im 15, the other week i was drunk and went to this event and was dancing with this girl, hugging her and kissing her on the cheek. I have been friends with her for a while, and she has a boyfriend, whos my age and who i know.      Her boyfriend got pissed off cos of this, nd when he was me, he acted fyn. Then he took a cheap shot nd punched me in the face from nowhere, my nose was bleeding everywhere nd i think its broke, he had 2 other boys with him so i didnt fight back.   Do u think i shud let it go , or go and batter him ?    P.s. Plz dnt leave answers saying i shouldnt be drunk at this age or anything as im aware of it.   Thanks, answers appreciated.
20090307163032AAM5Fvc	Society & Culture;Languages	Okay.... so My name says taylor and I don't know how to change it please tell me how?	My name say's taylor On my profile heading thing I guess you would call it that and I have NO CLUE how to change it can someone please help me//// LOL I mean type me on how to change it??
20090307163523AA0zda0	Society & Culture;Other - Society & Culture	Would society have been this harsh on Rhiana if she beaten up Chris?	I dont support domestic violence.  However it seems its only a big issue when a manis suspected to do it to a woman. Whenever a celebrity woman does it to a man its only spoked about the time of incident, at the moment or result of criminal or civil trial and never spoked about afterwards.
20090307162743AAALz0O	Society & Culture;Languages	Yes! l do know that encefalo is part of the brain..but ..how do you say it in english?	N/A
20090307162811AATf66m	Society & Culture;Languages	I need help interpreting the Italian variasion of Cinderella.?	In the Italian variation of Cinderella, called Centratolla the heroine's name is Zezolla. However like many other Cinderella stories the wicked step mother gives the heroine a demeaning nickname. In Zelzolla's case she becomes Centratolla. Why is this? What makes Centratolla a more demeaning name than Zezolla?   Here is an exerpt from the story:   "For five or six days the new stepmother overwhelmed Zezolla with caresses, seating her at the best place at table, giving her the choicest morsels to eat, and clothing her in the richest apparel. But ere long) forgetting entirely the good service she had received, (woe to him who has a bad master!) she began to bring forward six daughters of her own, whom she had until then kept concealed; and she praised them so much, and talked her husband over in such a manner, that at last the stepdaughters engrossed all his favor, and the thought of his own child went entirely from his heart: in short, it fared so ill with the poor girl, bad today and worse tomorrow, that she was at last brought down from the royal chamber to the kitchen, from the canopy of state to the hearth, from splendid apparel of silks and gold to dishclouts, from the scepter to the spit. And not only was her condition changed, but even her name; for instead of Zezolla, she was now called Cenerentola."
20090307163010AAeJ2uL	Society & Culture;Languages	Did we create language or did language create us?	Think about it, where would we be without it?
20090307163422AATQqIF	Society & Culture;Languages	What language is time to say goodbye?	is time to say goodbye by Andrea Bocelli in?
20090307163600AAjvdJm	Society & Culture;Religion & Spirituality	Catholics: Can a child deny their confirmation?	We have a family friend (a girl, 14) who has been expressing concern to us over her Confirmation.  Her family is Catholic, but she does not consider herself Catholic and is extremely uncomfortable with this being forced on her.  For the weeks leading up to today's Confirmation, she kept telling us she didn't want to do it, but was afraid to tell her parents for fear of punishment.  Her Confirmation was today and she was crying the entire time before the ceremony, felt scared by the priest and her family and went through with it even though she keeps saying she didn't want to.  I am not familiar with the Catholic faith (was raised Southern Baptist) so I wanted to know if this girl could have denied her confirmation, and what the consequences would have been?  She feels horrible now and does not want to live with this decision - she didn't want to do it.
20090307163600AAWwxdJ	Society & Culture;Other - Society & Culture	What is "la calle olivera"?	When you search on google all you get is calle Olvera, but nothing on olivera.  If you know anything about this street please tell me.  All answers are appreciated. :D
20090307170907AA60whp	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Would you respect a same sex relationship of 20 years less so than you would a new hetereosexual relationship?	I've found, over the years, that alot of people don't ackwonledge same sex relationships. Not even those that are longterm and commited. Where do you stand?
20090307163920AAnjeK0	Society & Culture;Religion & Spirituality	What is the Old Testament Pestilence?  Please include links to full articles.?	I am doing a mini research project in english and this was my assigned topic.  I need to do a page and have one source card.  A link to a full article on all the information would be helpful, because i already know what it is.  Thank you so much, please answer by Sunday, but any late answers are welcome.
20090307164033AAyePWH	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	How can I make the foreplay better for my gf?	we fool around and both like foreplay but i never seem to help her as much as she helps me so how do i make it better for her?
20090307164051AAP3Fwq	Society & Culture;Religion & Spirituality	Does Jesus really say that he is Lucifer/Satan?!!?	Please do not ignore this because I am searching for a logical, studied answer, and I cannot get this from any forum, etc.   The least that you could do is to kindly point me in the right direction for my search.      I hope to understand why exactly Jesus is referring to Himself as Satan…  Well, I have my theories, i.e. the Christian trinity and the Hindu Brahman trinity are symmetrical, and if so, that would mean most religions are peers.    First,  Revelation 22:16 (KJV) I Jesus have sent mine angel to testify unto you these things in the churches. I am the root and the offspring of David, and the bright and morning star.    Now, looking back at:    Isaiah 14:12 (KJV) How art thou fallen from heaven, O Lucifer, son of the morning! how art thou cut down to the ground, which didst weaken the nations!    Which Jesus is the only one in the whole Bible to equate to Satan in:    Luke 10:18 (KJV) And he said unto them, I beheld Satan as lightning fall from heaven.     Now, if you are to actually look at what Lucifer means: it is a translation of the Hebrew Heylel:    H-1966. heylel,   hay-lale';     from H-1984 (in the sense of brightness); the morning-star:--lucifer.       .... H-1984. halal,   haw-lal';     a prim. root; to be clear (orig. of sound, but usually of color); to shine; hence to make a show, to boast; and thus to be (clamorously) foolish; to rave; causat. to celebrate; also to stultify:--(make) boast (self), celebrate, commend, (deal, make), fool (-ish, -ly), glory, give [light], be (make, feign self) mad (against), give in marriage, [sing, be worthy of] praise, rage, renowned, shine      Now, I wish to listen to your opinion of why this is.  So far I have only heard “No, it cannot be.  Those are two different writers, etc. etc.”  In a book inspired by God when the writer of Revelation clearly states in two different and differing terms the exact meaning of Heylel, i.e. bright AND morning star, or the literal meaning of Lucifer/Heylel.   I have really only studied the King James version of the Bible because it was the only thing around for over 200 years, neh?  Nowadays, versions are springing up like morning flowers.  But the question of the matter is not the Bible, it is the wording…  The Hebrew word is still the same, and so is the Greek translation of it, and if you cannot equate the meaning of a word with the word in the other language.  How can you translate?   P(ost)S(oulsearch):  I am not trying to sway anybody, or anything of the sort.  I am merely trying to understand why I see what I see.  Please actually consider what I am saying.  So far, everyone refuses to.  It is common sense, and so it must have been elaborated on before.  Yet, I am not that read in theological works.  Could you please point me in the right direction because this is big, and yet no one has yet to even get close to explaining it.  I mean, when you trasnslate a word, but you do not want to use the exact translation word, i.e. King James translators did not wish to state that Jesus is saying that He, Himself is Lucifer, and so they just put in the exact meaning of Lucifer/Heylel, i.e. the bright and morning star, see Strong's Concordance Hebrew 1966.
20090307164116AAv55h9	Society & Culture;Religion & Spirituality	Why did the angels have so many shortcomings?	Were they created by God?Why were they not pure,now that they were created by the pure God?Did God make a mistake?
20090307164135AAHAfUV	Society & Culture;Cultures & Groups;Other - Cultures & Groups	What is the total population of Filipinos and Filipino-Americans in the US?	N/A
20090307165616AABcK1R	Society & Culture;Languages	How can an ethnic word  be formally accepted in the English language dictionary?	Language evolves. And there are loads of other words from other countries that have no clear English counterparts or there are words which are coined, developed and gained a sense of meaning from a group of people or nation. So how can it be formally accepted by the lords of the English dictionary? What are the guidelines and the criteria?
20090307164138AAvqWIR	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	LSBN!!! Do you let your gf talk to there X's?	Do you think it is right for your gf to talk to there x's
20090307164353AAxiOJz	Society & Culture;Mythology & Folklore	What is an old myth about lying to much?	i need a myth for a story i am wright i need any types of myths i was kinnda thinking of somehting a bit scary but the book is for children aged 6-10.any myths would be great!
20090307170603AA9L4fO	Society & Culture;Mythology & Folklore	Myth about lying to much?	I need a myth about lying too much, for a story. It can be one you have heard or an idea for a new myth!   It would be great if it was a bit scary.
20090307164448AAVUcOV	Society & Culture;Other - Society & Culture	How have you been lately????	I haven't been on here in 2 years so I just wanted to know.
20090307164534AAq2jkO	Society & Culture;Religion & Spirituality	Muslim Women out there.?	Hello I recently became a Muslim, I just recently moved into a small town with my dad and there is no mosques or other Muslims, i feel alone and i have nobody to talk with or ask questions, I am just starting out and I read a lot on the internet but i feel its differentt then talking to a person im not being desperate i just feel alone.     I was just wondering if there is a place where i can talk and meet other Muslim sisters   Thank you for reading, Take Care
20090307164803AAUeh3z	Society & Culture;Cultures & Groups;Other - Cultures & Groups	FOR ASIANS ONLY! please give me your opinion?	do you think most Americans are gun-lovers? If so why?       is there any other stereotypes that you can think of to better depict americans?      ----americans in here means USA citizen
20090307164907AAStWHu	Society & Culture;Other - Society & Culture	Famous People of 1920's For Research Paper?	Can someone give me either an extensive list of important people in the 1920's, or just name a few that you think of that has enough info to write a paper about.      Thanks!
20090307165217AA2xumz	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Is my friend gay? he has a strange behavior?	i have a really big problem, a good friend o mine has a gay behavior . everyone who knows him seen that.   but he is also very religious and he never had a grilfrend ( 28 years old). i think he is trying to deny the truth by becoming religious fanatic. every time i try to find out why he is alone and no girlfriend he has a psihotic episode. he becomes easy violent and really bad language and lot of other unusual stuff.    i don't have nothing against gay people(and i'm not ) and  he fights against them), and i would prefer him to accept that then to live his whole life with frustration and denying.   but if he is gay and he reconise his whole world is going to colapse( due to his main activities - he is a lawyer and he is involved in lot , and i mean a lot of religious activities.) now i don't know what to belive .   ps : sorry for my bad english, i hope you understand
20090307165510AAycOWy	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Why do black girls have big butts?	Not that I don't like big butts (it's the only kind I like), but I've just been wondering why.
20090307165741AAYI7a3	Society & Culture;Mythology & Folklore	What was the time period of Greek mythology?	I've tried searching this on Google, but I can't find an answer. I'm supposed to write a Greek myth in my English class and the instructions ask the time/place, but I don't really know when mythology took place.
20090307165931AAIAd31	Society & Culture;Religion & Spirituality	How do you view life?	What is life to you, in your eyes, how do you see life as?
20090307170558AAb3k8c	Society & Culture;Cultures & Groups;Other - Cultures & Groups	What did the first people feel? did they wonder why they are here?	N/A
20090307172121AACgfLY	Society & Culture;Mythology & Folklore	I am a mermaid and i want to tell my friends but i cant. and i cant just show them my tail.?	what should i do.
20090307171047AAXlEcl	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Isn't that black comedian GodFrey who was in Black to the Future on VH1 aint he sexy?	you know that black man who is a comedian who was on Black to the Future on VH1 aint he sexy as hell?
20090307171246AAGBqWw	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Who is sexier Corde Snoop Dogg's oldest son or P Diddy's son Justin?	Corde is 14 born May 20,1994 P Diddys son Justin is 15 born December 23,1993
20090307171452AAYCsbV	Society & Culture;Other - Society & Culture	Is it possible to make people  sign papers that void parts of  the constitution?	k, so heres the story      i went to a private school, they made my family sign papers we couldn't talk anything bad about them. legal or illegal?      I THINK...   that's a vialation of the first ammendent (freedom of speech)      any pro opinions?
20090307171702AAdLJwh	Society & Culture;Religion & Spirituality	Who is to blame?!?!?!?!?!?!?!?!?	So a lil while ago,my little sister was beating me up(I'm required to take it.not allowed to fight back)   And I snapped   I blacked out and slapped her   She then ran to my moths and started crying telling my mother I'd beaten her up!   So appearrently she can beat the crap out of me but as soon as I lay a finger on the little 'angel' it's bad.   Wow,that makes a lot of sense.   So my mother send me to bed early without dinner as punishment   I hate it here!   So who's to blame?!
20090307172030AAe9VQR	Society & Culture;Religion & Spirituality	Can you eat church hosts anytime if they havn't been blessed?	N/A
20090307171951AAHAfYG	Society & Culture;Religion & Spirituality	Sabbath? help with the process?	I was wondering what is the exact process of the sabbath?   I know about the lighting of the candles, the blessing, and the kiddush-grape juice thing. anything major/imporant im missing?
20090307172234AAiC4Hx	Society & Culture;Etiquette	Why is someone most likely to jump when hearing a loud noise?	I'm doing an experiment for phychology and i thought that this might be interesting to do some research on buy i haven't really found much so if anyone knows anything about this, it would help me out alot thanks.
20090307172533AAhQsLE	Society & Culture;Other - Society & Culture	Has anyone heard of a smokeless cigarette?	Someone I work with has a friend who smokes these fake looking    plastic "cigarettes". He said it's like a vaporizer filled with liquid nicotine.      Does anyone know what they are or where to get them?   It sounds like they'd be safer than regular cigarettes.    Do you think?
20090307133915AACQLGS	Society & Culture;Holidays;Thanksgiving	If there was only one kind of pie for Thanksgiving what would it be ?	N/A
20090307173536AAU8ajh	Society & Culture;Religion & Spirituality	Can you compare Jehovah witness and Muslim are they the same? do they worship one god,which is more religion?	N/A
20090307174042AAJVCDm	Society & Culture;Religion & Spirituality	"Vatican backs excommunication of Brazilian MDs over child's abortion"...Opinions?	A 9 year old girl who became pregnant with twins as a result of being raped by her step-father received an abortion...and she, her mother and the doctors who performed the procedure (because of worries that childbirth could be fatal for her small frame) were all excommunicated...the step-father who did the rape was not.      I find this to be extremely hypocritical and well...repulsive.   But I'm curious of the opinions of others...so you're opinion?          http://www.cbc.ca/world/story/2009/03/07... 
20090307172802AAteNkT	Society & Culture;Other - Society & Culture	What do you say to a teacher that says the internet is a fad?	doesn't that seem just a bit ignorant?
20090307173112AAsjFCq	Society & Culture;Mythology & Folklore	Have you seen pimpthisbum.com?	Tim is a bum and needs a hand up.  He has the makings of a superstar.  Do you think he is an actor?  Check this site out.
20090307173434AAdrjhA	Society & Culture;Other - Society & Culture	Why dont you think you are better than other people?	a follow on question to my last question (do you think you are better than other people)  http://answers.yahoo.com/question/index;...       its all hypothetical ofcourse, but....      if people dont feel as though they are better than other people, then are they not in some ways, are they not lieing? Are they not saying that they dont think much of what they have achieved with their life.      My rational is that we build a life that we think is good. We work hard at it because things that are easy to get are rarely worth having. It takes time, blood, sweat, tears and a healthy dollop of luck. Thus i find it hard to accept that people dont think better of themselves when they compare themselves to a drifter who chanced their way through life, sponging off the system, uneducated, poor, lazy, bad attitude or is violent.....whatever bad virtues you can have (yes poor and uneducated is one of them, thats lazyness to an extent, and i dont mean megabucks, i mean 'not in poverty'...."being born poor isnt your fault, but dieing poor is" - Bill Gates)
20090307173207AAzwO70	Society & Culture;Other - Society & Culture	Any way to convince someone to stop using drugs?	If someone doesn't want to quit, is there any steps you can take to plant a seed of realization in their heads that using drugs isn't the smartest thing in the world?
20090307163706AAViWXE	Society & Culture;Holidays;Ramadan	Muslim girls: what would your answer be if you were asked for why you observe hijab under any curcumstances?	....not for you do it for your religion's sake and to obey your Creater but what is the reason Our Creater has kept behind doing so.
20090307173550AAAK0TQ	Society & Culture;Religion & Spirituality	How do you define and clarify "the universe looks designed"?	Most creationists claim that the universe has a very visible "design" however my question is how do you define a "design" in nature? How do you clarify the difference between human designed objects such as watches and other inanimate objects, and something natural?   Just a question that I've always wondered about and would like to hear some opinions on.
