20080308021313AA2Q39G	Education & Reference;Homework Help	Do you have an outline of an A* monologue for fiction and non fiction, its for my coursework :)?	Non fiction out line of what to include, and fiction and non fiction.Thank you
20090205180433AAPoSOq	Education & Reference;Words & Wordplay	Correct this sentence??	We went to the beach. We drank pepsi. We ate twinkies. We built sand castles. We stayed all day. It got cold. We went home. We were tied. I slept like a rock.      Fix this sentence please, like make it more mature sounding and smart sounding.
20090205180442AAGDvY1	Education & Reference;Higher Education (University +)	What are my chances of getting in.?	I would like to be accepted to the University of Miami or University of Florida. I have a 4.4 weighted gpa. It would be higher, but i take mostly regular classes in my freshman and sophmore year. I am in my junior year and i am taking all honors and DE. I have all A's in high school, which includes my regular classes, but i got one B+ in psych H. During my senior year next year i plan to take calculus b/c and physics ap and also some other ap classes.I took the sat for the first time in junior year i got 680-M 560-CR and 530-writing. I plan to take it again and also take the act. I will probably have 250 service hours and i am in a few clubs. I plan to major in computer engineering. So what do you think are my chances of getting in?
20090205180559AAwc5x9	Education & Reference;Higher Education (University +)	Art schools and universities Paris?	Hi i need a list with all the art schools and universities ubicated in Paris      Thanks.
20090205180812AAQDjNd	Education & Reference;Words & Wordplay	I NEED HELP NOW!!!!!!!!?	Im 13 and I had a boyfriend but I broke up with him because I didnt like him anymore. I cant seem to find someone thats right for me. Sme of my friends in my grade are girls but about half or 3/4 of them are guys. Lots of people like me.  I have a nice round butt and dark curly hair but I wear it staight becuase I have a scar on the back of my neck. I want to have a relationship but I think its my glasses.HELP!!!!!!!
20090205180845AA334li	Education & Reference;Other - Education	Need help with gap in resume?	I have been home with my son since 2006 when I gave birth. I am ready to get back to work now but I dont know how the two year gap will look on my resume. I have been a powerseller on ebay and thats how Ive made my income while staying home. Can I put that on my resume or just leave that out? If I put it on my resume what should I put it as? Thanks for anyone who answers
20090205180918AAsqykr	Education & Reference;Homework Help	QUESTION ABOUT CANADA PLEASE ANSWER!?	What is the large area of poor soil and rock that is extremely rich in minerals including, copper ,gold, iron, lead, nickel, platinum, silver, uranium, and zinc
20090205181148AAopufq	Education & Reference;Trivia	Who is the tallest man that EVER lived?	N/A
20090205181201AAZBhLI	Education & Reference;Homework Help	Have you read Joseph Conrad's Nostromo?	I have an essay test on Nostromo, Karain, and Heart of Darkness, and I'm struggling to come up with evidence of parallels. Any ideas? Besides imperialism, maybe something to do with truth and fidelity?
20090205181203AAsup1g	Education & Reference;Homework Help	Help me please........?	i have a science project to do and i need reasearch so im using this..      can you tell what sex someone is by looking at there hands?   pls answer as fast as you can its due tomorrow
20090205184509AAnmSAq	Education & Reference;Higher Education (University +)	University and/or college question?	ok so i am very interested in learning french, italian, portuguese, spanish, and german & i want to get master degrees in all of them      but i am wondering if i can actually do this as in time wise([years] since most universities are usually 4 yrs. and it takes about six years to get a masters degree)and if so how?      do i need to major in something related with these topics to get these degrees      i want to major in either art or music.      So can i still get my masters degree in all of those languages even though i want to be an artist or a musician(as a career choice)?      if i can do what i want to do. Will the master degrees in all the languages be considered as my minors?       i am planning to go to UCLA and im 16
20090205181549AArJzVJ	Education & Reference;Words & Wordplay	What are some synonyms for the word reconcile?	ok i need help. im trying to finish my project that's due tomorrow(yeah yeah yeah i know i shouldn't procrastinate)so i need a synonym the word reconcile. please and thank you
20090205181825AAr5yg4	Education & Reference;Other - Education	What is considered a good GPA?	What is the lowest GPA that is still considered good?
20090205181849AAe4LHj	Education & Reference;Standards & Testing	Are these good grades?	Drivers ed: B   Spanish: A   art foundations II: A   computer tech: A-   chemistry honors: A   language arts honors: A   AP World history: A   Geometry: A-      Are these good grades? does anyone know my GPA?
20090205181933AAZwxX0	Education & Reference;Primary & Secondary Education	High School interview?	What to do to prepare? What to expect? What questions should I ask? What will they ask? Anything helps!!!!
20090205182106AAwdHTO	Education & Reference;Words & Wordplay	How many pounds is 30 stone?	N/A
20090205182129AAnBdXI	Education & Reference;Primary & Secondary Education	Is there anything really we can do to this teacher?	I'm in high school, and in my higher placement algebra 2 class our teacher does not teach us anything. We never get anything done in class and then it reflects on our tests and quizzes and while she's grading them she tells us out loud how bad we are and how "shameful" it is. It's not our fault that we can't do good becuase every here tries to learn it on their own but she just can't teach it to us. She has a lot of other classes and we're her only higher placement class so she dosen't have a lot of expirience on how to teach higher classes. She also treats us like preschoolers by reapeating everything and showing us prealgebra things when she should be sticking to our curriculum. But the worst part is how she calls us all dumb or stupid, or by telling the whole class out loud what we did wrong indivudually on our quizzes or tests. In my friend's class, she is in normal algebra, she told out loud to the class everybody their grades (most of them were F's) and called them all stupid too. There's one other teacher of this course and when this teacher was sick she came in to teach and we really saw the difference. She was able to teach, check anwers, and give us time for hw all in one class peropd when this would have taken our other teacher 3 days to do.     Is there really anything we can do? Filing a compaint probably won't do much. And it's not like she broke a big rule but we're not getting ready for any higher level math and want to do better which we really can't do with this teacher.
20090205185330AAk8L1j	Education & Reference;Homework Help	What does this phrase mean in French?	It's from the play Au Revoir les Enfants:      "On n'a rien à bouffer, on crève de froid, mais il faut être à jeun pour communier."      I specifically need to know what "bouffer", "crever" and "etre a jeun" mean.
20090205182145AAVhQYJ	Education & Reference;Words & Wordplay	Doesn't really answer the question?	N/A
20090205182311AA8qajh	Education & Reference;Homework Help	How do you solve this equation?	-2(u - 5) - (u + 1) = -18      All help honest-to-goodness appreciated!
20090205184015AAWIjcZ	Education & Reference;Homework Help	How do you simplify this equation?	-(-4r)       I may sound really stupid by asking this but I just missed school for a week because I was in Mexico. I am falling behind and I need your help please!!
20090205182316AAz5nRu	Education & Reference;Homework Help	What is the GNP and GDP of the U.S.?	Also, can anyone tell me the allies and enemies of the U.S.? Thanks in advance. :]
20090205182321AAESeLK	Education & Reference;Words & Wordplay	Describe these 2 words in your OWN words..?	1. unity   2. respect      i just want to see what everyone else thinks they are, if i have a weird perspective on what they mean...
20090205183329AABA6lE	Education & Reference;Words & Wordplay	Alliteration? Use words CURSE or SWEAR?	I need a sentence using the word CURSE or SWEAR as an alliteration.
20090205185207AAJXzK6	Education & Reference;Other - Education	How much homework do you get a night?	How many hours?   When do you go to bed?   What grade are you in?   How many hours of sleep do you get?      Not including weekends.
20090205182424AAaVwOK	Education & Reference;Homework Help	History homework help!!!?	Does anyone know who taught Charlemagne's sons and daughters?!?!   please help me i am desperate I cant find the answer ANYWHERE!!
20090205182434AAMamQN	Education & Reference;Primary & Secondary Education	Is college workload harder than that of high school's?	I'm currently taking 5 AP classes right now.  Do you think I would have a tougher workload next year when I go to college or if my workload is more stressful this year?      And I'm guessing the average number of classes in college would be like 4-5 classes a day, yes?      Thanks =)
20090205182742AAZyjgL	Education & Reference;Trivia	2/5/09 trivia for 99.5?	what is the slueth trivia for 2/509, or the mike scott's i-pod shuffle, or edward & lee's i-pod shuffle?
20090203061903AATuYZx	Education & Reference;Quotations	Does anyone know any qoutes from Farenheit 451 concerning technology?	As in how the advancement could lead to the destruction of society or whatever..?
20090203062109AAjCvIE	Education & Reference;Other - Education	What qualifications do I need to get to become a pediatrician?	I'm choosing my GCSE options now. I would like to know from GCSE what subjects and grades I need to get to become a pediatrician. Please I would really like it if someone gave me the answer to it by stating all the GCSE, A-Level, University qualifications etc. that I need! Thank You!
20090203062111AAvIzta	Education & Reference;Quotations	Who said "with friends like these who needs enemies?	N/A
20090203064454AAiqcWW	Education & Reference;Words & Wordplay	What is the coolest picture tht u can make with punctuation?	i only got <(*,*<)   kirby
20090203062508AAFge5W	Education & Reference;Special Education	When will come tamilnadu bsnl tta 2008 results?	N/A
20090203063143AAtN2kQ	Education & Reference;Home Schooling	Homeschooling? I'm a freshmen who figure skates and has trouble finding time for practice during the day.?	I'm a freshmen in high school. I'm also a figure skater and its hard for me to find time to practice time when I have to go around my parents schedules. On top of that I work at a recreational ice rink after school 3 days a week. I feel like I'm falling behind in my skating so my dad suggested homeschooling through K12 an online school so I could go up to the rink during the day to skate. The thing is I have a lot of friends at school and am getting straight A's. I'm worried that if I switch I will miss out on a lot. Plus I'm just now starting to work on my doubles for skating is now the time to even get that serious about homeschooling?
20090203063336AAiBblB	Education & Reference;Trivia	How many freshes in doublemint gum?	seriously, how many freshes in Doublemint Gum?
20090203063252AAWysd6	Education & Reference;Homework Help	Anyone wanna help me? I need an answer: what was the name of shakespeare's only son? thanks a bunch! :)?	need some help. can't seem to find it anywhere
20090203063657AAMaWxT	Education & Reference;Words & Wordplay	What is a 'temporal verb'?	I was reading this article and in the first paragraph it used the term 'temporal verb', which I wasn't familiar with.    http://archive.sensesofcinema.com/conten... 
20090203063843AAN56zu	Education & Reference;Homework Help	History question I really can't interpret.?	This is the only information given:Three days after the sinking of the Lusitania on May 7, 1915, Wilson gave a speech in Philadelphia in which he said: "There is such a thing as a man being too proud to fight. There is such a thing as a nation being so right that it does not need to convince others by force that it is right."         These are the questions:         33.How did Wilson's statement reflect the position of the United States Government at the outbreak of World War I in Europe?       34. Political opponents of President Wilson used the above statement against him. What feelings existed in the United States at the time that would have worked to the advantage of Wilson's opponents?           I think these questions are ******* ridiculous becuase It doesn't state how his statement reflects the position of US goverment at ALL in the entire lesson, And I wouldn't know how I'm supposed to analyze the US goverments position if I don't understand his statement either.
20090203064914AA7KVt6	Education & Reference;Higher Education (University +)	Do you know this?!?!?!??!!?!??!?	What are the BOND(S) involved in stabilizing each level of protein structure? ?
20090203064344AA6IFhd	Education & Reference;Other - Education	Do quotes count in your word count?	Just wondered, doing a piece of coursework and it has to be between 1200-1500 words. But do quotes from the play i'm studying count in the word count, or is it just your own words.      e.g. 'to be or not to be' shows that....        would this be 2 words, or 8. thnx :)
20090203064514AApUPvL	Education & Reference;Higher Education (University +)	What school should I look into when moving to New York?	I am planning on moving to New York by the end of this year (not certain yet) but if I do go, I would like to attend a college there. I do have a high school diploma and some credit at a community college. I would prefer not to attend another community college but just get into a university. I am pretty sure we will be staying somewhere in White Plains, NY. So please any advice on colleges and information regarding them    Thanks
20090203064519AADPnkD	Education & Reference;Higher Education (University +)	Is ADD legitimate reason for low ugrad GPA on law school app?	is being diagnosed with Attention Defecit Disorder during undergrad a good enough explanation for a low gpa when applying to law school?
20090203064728AAGiOaT	Education & Reference;Higher Education (University +)	I want to become CPA. Let me know the Process?	I have a B.tech degree. started working as Bookkeeper and now working as Sr accountant . I want to go for CPA.   Am I qualified for the exam?. If so how can i go for it? advice anybody?
20090203064941AAXGPrI	Education & Reference;Higher Education (University +)	Which Private Universities in S'pore offer Psychology degree for A Level students?	I know of University at Buffalo in SIM.
20090203065031AAsOaEU	Education & Reference;Words & Wordplay	Can you refer to the food served in a hospital as...?	the hospital food    or/and    the hospital's food?    What would a native say?     Thanks
20090203065107AAGFwd1	Education & Reference;Homework Help	Can Someone please help me with a world isssue that occured in 1992?	Hi    I have to do an assignment. I need to find AN WORLD ISSUE THAT HAS A CAUSE AND EFFECT, AN INTERNATIONAL OR SOCIAL, OR POLITICAL ISSUE, OR ECONOMICAL AND GLOBAL ISSUE. IN THE YEAR OF 1992. PLEASE HELP ME FIND websites that have a allot of description of that event. PLEASE HELP ME I NEED 3 WEBSITE THAT HAS AN INFO AND DATE OF THAT MAJOR EVENT THAT HAPPEND ON 1992. PLEASE HELP ME I NEED 3 WEBSITE. PLEASE
20090203065113AAPu2mx	Education & Reference;Homework Help	The success of what revolution fueled the desire for change in the french revolution?	history take home quize need help
20090203065222AAulmTx	Education & Reference;Other - Education	Do you know a place close to L.A were you can get driving classes?	will ima start driving soon and i want to look for a place to teach how to drive because my dad is a bad teacher ...he panicks alot.
20090203065228AAFggMY	Education & Reference;Words & Wordplay	What is E****** Future?	He was born Aug.92.1992
20090203065332AAanDgc	Education & Reference;Special Education	NATIONAL INFORMATIC CENTER EXAM PAPERS?	hi every one can any one plzzz send me the link for the exam in nic in feb 2009.ii want exact link for the previous papers....plzzz  lplzzz very urgent
20090205183221AAnEvpV	Education & Reference;Higher Education (University +)	Can somebody tell me that which college accept TOEFL score?	As the title,I am Junior right now but I just come to America 7 months so I can not do very well in my SAT test,but I am worried about that the most of college only accept SAT score.So who can tell me or give me a list please! By the way I am not ESL student so it's very hard to let the the regular college accept my score.
20090205183235AAIW0eg	Education & Reference;Primary & Secondary Education	Guys, I work full time and go to school full time. After I get home I feel so sleepy and tired.?	If I sleep early it will be hard for me to get up. I have to work too.I wish I could get something to wake me brain up so I finish my readings during the evening. Of course coffee does not help that much.
20090205184043AA9qcFC	Education & Reference;Words & Wordplay	What is the word I'm thinking of?	OK, I'm trying to explain this dance thats really embarrassing that I did when I was little. And I've always called it ho-dancing but apparently that word doesn't even exist. But the dancing is like.. really really southern dancing? like a ho down? right? or am I getting confused.. I have no idea. I know someone knows what I'm talking about. Help me!
20090205183336AArhSK3	Education & Reference;Homework Help	Acrostic poem for force?	N/A
20090205183538AAxrVW8	Education & Reference;Higher Education (University +)	Does anyone know how to tie a major of Psychology with Law?	please help asap! i have my advising appointment tomorrow!!
20090205183643AAFTMVH	Education & Reference;Quotations	What sort of imagery does this quote inspire?	"If you do what you always did, then you'll get what you always got"      So, what sort of images do you think you could use to represent this saying visually?
20090205183713AAt5WT8	Education & Reference;Quotations	I need some quotes please?	Love quotes, Quotes that express that you are heartbroken,   quotes that express that you're still not over the guy.      Thanks so much, ten points!
20090205184136AAyB9cz	Education & Reference;Words & Wordplay	Does this make sense to you? ?	Does this sentence make sense to you? I am writing a story and I thought it sounded a bit weird....      "Lauren is ever so slowly deteriorating into a state of nothingness"     How can I make that sentence sound cooler? thanks
20090205184012AAWBSO4	Education & Reference;Homework Help	How do i graph the inverse?	of f(x)=x^3-2
20090205184312AArUvuk	Education & Reference;Primary & Secondary Education	Should I take AP Physics C next year?	I'm currently a junior in high school. This year I am taking Honors Physics and Honors Algebra II and Trigonometry.      I wouldn't normally be able to take AP Physics C next year because I have not taken any AP Calculus classes, but I plan on taking a 6 week summer Pre-Calculus course and then taking AP Calculus AB next year.       Will a 6 week Pre-Calculus course and a full year, concurrent AP Calculus AB course be sufficient?      ...or will I be overwhelmed?!  D:      I don't know if the 6 week Pre-Calc. course will give me a solid enough foundation to compete with those who have had a full year Pre-Calc. course...      I can always choose to take Physics B, which is algebra based, but I'm afraid it will consist of too much repetition.
20090205184411AA3i9cY	Education & Reference;Homework Help	What was Martin Luther King Jr's grandma's name?	Wanting to know for a paper I'm doing on him.
20090205184702AAjQ2TE	Education & Reference;Primary & Secondary Education	Should I take AP Psychology along with AP Calc AB, AP English Lang and Comp, and AP US History?	N/A
20090205184712AAMKlD7	Education & Reference;Other - Education	How do I get this teacher to leave me alone?	This teacher at my school keeps coming up to me and saying these dumb things about hacking computers and stuff just because I was one of the people going around the school filter. So now, he bugs me about how I must be a computer genius, and some of my friends, though less, bring it up sometimes and bug my about it. How do I get them all to forget about it. It was so dumb, and I only know as much as the next guy about computers...
20090205184825AArRLpI	Education & Reference;Words & Wordplay	What is self-undoing mean? sorry having a blonde moment!?	N/A
20090205184916AApxtqH	Education & Reference;Homework Help	Sentence Errors Please!?	Please help me fix these quotations. Errors can be anywhere from gramatical, to punctuation, to spelling.  I'm not being lazy, I just can't see anything wrong with them! :) Thanks in advance      "We have less postings than last year"   "Working the piano peddles"   "It looks like they tried to hide the increase"   "Children wearing cycling helmets while peddling along the street"   "Hespeler plan raises queeries"
20090205184939AAKHijJ	Education & Reference;Words & Wordplay	Can anyone help me with this wuzzle?	A     B       S         O        R      B
20090205185007AAXF0dn	Education & Reference;Higher Education (University +)	Know any good film production colleges?	I am interested in becoming a producer, and/or just studying film, production...basically movie making in general.  I really want to go to school someplace in Southern California, but I am having a lot of trouble finding a good school that won't cost an arm and a leg.  Any suggestions of places to go?  I am looking for a smaller school, but not a "community college"
20090205185207AAGfQLG	Education & Reference;Teaching	I'm wanting to finish my teaching degree which I started working for 11 years ago, but had to quit due to cost?	I live in Texas which is where I began my college career, but recently was convicted of DWI.  So I was just wondering if I would be allowed to teach public school.
20090205185219AAedkWe	Education & Reference;Words & Wordplay	Would saying "your so contradicting" make me sound stupid? or is it correct grammar?	N/A
20090205185312AAc30eP	Education & Reference;Homework Help	I need help on my homework, pleas help mee!! im desperate.?	discuss the various activities that occur within the cell and the methods that cells use to separate the act, from one another.
20090205185312AAJ5PA7	Education & Reference;Homework Help	What is the historical significance of land grants in America?	N/A
20090205185722AAAcHDu	Education & Reference;Higher Education (University +)	Can someone edit my essay because I think it lacks an introduction and clarity?	Diversity is about learning from others who are not the same, about dignity and respect for all, and about being open to learning about our differences. I know that for myself that I treat everyone that I serve with dignity and respect, regardless of our differences. For example, I am biracial: my mother is Mexican and my father is Black. I was raised in a community where most of the population was Latino.I grew up in the Latino community for over twenty five years so eventually I learned how to speak Spanish fluently. This community is part of my heritage  that is important to me as a Black woman. Because I want to do research in the area of Latino community, I want to be able to help improve the lives of the Latinos. My cultural background has provided me with the capacity to work effectively with individuals from diverse backgrounds.   When I moved to California, my viewpoints were broadened by other cultures and I was more open to learning from people of other cultures.I started working at a residential treatment facility as a counselor and one of my friends I met while working there was from the Philippines. To me, learning about her culture was interesting because I even though our language spoken was different most of the words in the Philipine language sounded the same in Spanish. I embraced this moment that I got to appreciate and respect our differences. Diversity can make working with people from diverse backgrounds a dynamic environment to be a part of. I learned during working with individuals of different backgrounds that we all just have different ways of looking at things, views, and different ways of solving problems. On the one hand, we need to be open to learning from people of different cultures to understand that diversity can enrich our lives. So, I could never imagine working in a place where everyone did and liked the same things. I believe that diversity opens the doors to learning.    I am culturally competent in my language ability to relate to individuals who speak Spanish. Because I can meet their needs and assist them in however they need help whether it is with helping them overcome ther problems or emotionally. Thus, it is important to have some knowledge and awareness of individuals culture and background to have some positive affect on helping them cope better with their problems.
20090205190126AA9pHBx	Education & Reference;Words & Wordplay	Not a huge question but i need help?	i have 135 dollars and i noticed that there is a iphone at bestbuy for 100 dollars should i buy that or should i buy lots of new clothes or should i give 50 to a charity? (my mom would donate it for me) or buy some clothes and donate them to goodwill? p.s. my phone sucks but i want to get something more important but i cant choose
20090205190955AA8MFwd	Education & Reference;Higher Education (University +)	Yale,Stanford,uc Berkley,uc Davis,UCLA,usc?	i want to be a RN or PA.Do any of the above universities have programs for what i want to be?If not what are the top colleges that do have programs?
20090205190356AAgr3we	Education & Reference;Homework Help	Please explain to me how to do these quadratic equations?	1. (x+1)(2x-1)=1     2. (x-3)/2x^2+1 = -1    3.(1+x)^2-3=x
20090205190928AA3jcdH	Education & Reference;Trivia	How many times does the minute hand go around the clock when the hour hand has gone around it once?	This is a "reasoning" question on my 7 year old's math homework, PLEASE HELP!!!
20090205191300AAgEcbH	Education & Reference;Standards & Testing	What is a good (average) SAT score?	N/A
20090205190824AAXBqXT	Education & Reference;Homework Help	HELLLP MEEEEEE PLEASE?	Pedro es guapo. No es__________________. (opposite)      Paco es feo. No es__________________. (opposite)         Paco es alto. No es__________________. (opposite)      Pedro es __________. No es moreno.
20090205190859AAaottV	Education & Reference;Teaching	Why are schools making learning easier for a girls way of learning rather than both girls and boys?	N/A
20090205190409AAiybMz	Education & Reference;Words & Wordplay	Whats next???????????????	ok, got a shock from outta the blue last night from my future husband to be-we were at dinner, nd he told me we were going to go to a super store after.. we ended up going to jareds( a very awsome jewelery store)..he bought me an engagement to be engaged ring- for those who dont know what that is, a promise ring- we have been together for a little over 2 years now, and i have never been happier..      we picked out a beautiful ring- yrllow gold, 2 blue topez hearts, and a diamond in between- blue topez is the month we started dating birthstone- again, for those who dont know, thats december-      anyway, i was wondering, how long after i received this precious and meaningful gift, should i wait until i want/ get my engagement ring, making it much more official??? whats the usual plan?? is this done often, and how should i react, i guess..i know im ever so excited, and proud of what could be,. but what now??
20090205185647AA0Hj9q	Education & Reference;Words & Wordplay	Is it called nunchuck or numchuck?	Is it spelled nunchuck or numchuck?
20090205185752AA5H2M8	Education & Reference;Words & Wordplay	What does drive business results mean?	on a performance evaluation
20090205185933AAVDuIH	Education & Reference;Primary & Secondary Education	How long is a day at Brooklyn Tech?	I checked the website, it says 10 periods from 8-3:30.  Is it really that much, or is it like a double schedule school?
20090205185956AAOdIxQ	Education & Reference;Homework Help	What is an example of Human environment interaction in Stockholm, Sweden? HELP!! Project due tomarrow!!!?	any info on stockholm is good!!      thanx
20090205190011AAFcJoB	Education & Reference;Homework Help	How do you make 4/15 into the simplest form for a fraction?	N/A
20090205190023AA841m6	Education & Reference;Standards & Testing	IQ Test ......................?	i wanted to know what kinds of questions do they ask in aan IQ test also how long is it and how can i do an IQ test
20090205190138AA5stmw	Education & Reference;Primary & Secondary Education	Full details of mh-cet forms?	when is it? where are the forms available? what is the last date to submit the form?
20090205190349AADbMwh	Education & Reference;Higher Education (University +)	Chances of getting into University of Delaware?	im a junior in hs and i want to know my chances of getting into syracuse university...i screwed up really badly in the first quarter of junior year...   band-A   APUSH-C-   MATH-B-   SPANISH HONORS-B+   LATIN-A   CHEM-B   AP LANG-C      but second quarter is...   band-A   APUSH-C+   MATH-A-   SPANISH HONORS-B+   LATIN-A   CHEM-A   APLANG-B      so hopefully im bring my gpa up...my psat scores basically suckedd..but i had no preparation and now i have sat tutors and ive been doing better but my psat scores=1590..def will go up..and im taking acts which my totur thinks ill do alot better on      past years gpa prob around 3.6 freshman and 3.4 soph..      past classes- FRESH YEAR-honors spanish and all reg   SOPH YEAR- honors spanish, honors english and ap european and reg   JUNIOR YEAR-ap ush, honors spanish, ap lang and comp      extra curriculars   -field hockey..all league   -band..flute since 4th grade//pep band in 9th and 10th grade   -locks of love   -latin club   -pres of booster club   -varsity cheerleader   -lifeguard(i don't know if that matters but justt adding it)   -peer mentor/spanish club (freshmen year, not this year so idk if it matters)   -blood doner         yeah so help would be nice what you think my chances are..and if i apply early decision do you think ill have better chances...really wanna go there...regret my first quarter as a juniorr..but im trying so hard now!      ALSO CHANCES OF GETTING INTO SYRACUSE   really interested in both schools but do not know how realistic im being any help would be awesome!kthankss!
20090205190434AAxTQ63	Education & Reference;Words & Wordplay	How do right  six fifteenths in simplest form?	N/A
20090205190441AAXDzc3	Education & Reference;Words & Wordplay	Who is the toothfaire?	N/A
20090205190455AAud5iT	Education & Reference;Higher Education (University +)	Is University of Central Florida any Fun?	I go to a little Bumfuck college in south georgia. My mom's gonna regain residency, and I'm looking to have some fun while I'm learning. Can anyone tell me?
20090205190459AAGFk8L	Education & Reference;Homework Help	How do I find the number of solutions to a system without graphing?	"Determine whether each system has one solution, no solution, or infinitely many solutions"      2x+y=5   4x+y=9      How do I do this?
20090205190621AAK0se7	Education & Reference;Standards & Testing	About the asvab..  what is the the highest score you can get?	im asuming its 100. but i have no clue.... and.. what is considered a good score?
20090205190746AAYTuuV	Education & Reference;Higher Education (University +)	Is Hofstra University a GOOD School I've read some reviews on College Opinions and they were kind of mixed?	I have read some reviews and it's very one sided and most of the complaints seem to be about the student body and I was just wanting to get some more oppinions
20090205190755AAQMJ0f	Education & Reference;Homework Help	I need ideas on how to make my personal school report. Can you guys help me please?	Hi, On yearbook, I got an assignment, it is to make your own experiences yearbook. Like your experiences throughout the school year 2008/2009. What I did, and stuff like that.   But I need help on what to write, I started writting about what I learned, and about what my friends mean to me, I thanked my teachers, etc... but it doesn't sound right, it sounds like a thanking card or something.      Well... I just need some ideas on what to write, thanks! :D.   Ohh... and another question also: They said I had to desing it... but how? Im just writing on WORD... do you think I have to make a layout and all that stuff? Well thats it... 2 questions. And ill choose best answer. Thanks guys.!!
20090205191140AAZXygM	Education & Reference;Primary & Secondary Education	Tips on how to be a little more organized with school...?	I have been home-schooled for about two years now, and i'm not exactly organized i would really appreciate some tips...       Im in 11th grade.
