20090129083411AADUFZ2	Science & Mathematics;Geography	Why did this volcano erupt?	Does anyone know why the Llaima volcano erupted?    (The Llaima volcano is in Chile)   Thanks
20090128100528AAg7XQ8	Science & Mathematics;Botany	Organic or artificial fertilizers? free easy 10 points?	please could you tell me a website where i can find graphs of   ? % food poisoning linked to organic/ non-organic foods      ? Pollution linked to fertilisers   thanks      ? Organic or inorganic, which one tastes the best?      ? Profits from organic/ inorganic farmers
20090128110835AA0eLMw	Science & Mathematics;Chemistry	Chemistry help 10 points!!?	An important industrial process is the refining of iron ore in a blast furnace. In the reaction, carbon displaces iron metal from impure iron (III) oxide. The word and skeleton equations for this reaction are        carbon + iron (II) oxide →iron + carbon dioxide           C + Fe2O3 → Fe + CO2      (a) Write a balanced chemical equation for this reaction.      (b) What type of reaction is this ?      (c) What element displaces the iron?      (d) What type of element is carbon?      (e) How is this reaction different from the pattern of reactions that you learned about in this chapter?
20090128105237AAj5qUA	Science & Mathematics;Chemistry	Chemistry help 10 points!?	Write the corresponding word or skeleton equations and balanced chemical questions for each of the following:    (a) BaCl2 and Na2SO4 react to form BaSO4 and NaCl.  (b) When sulphuric acid and sodium hydroxide reacts, the products are sodium sulfate and the most important liquid on earth.  (c) Potassium chlorate produces potassium chloride and a gas that causes a glowing splint to burst into flame.
20090128115912AAjO5m2	Science & Mathematics;Mathematics	What are the chances of a Beauty Pageant winner having short hair?	I've noticed how our new Miss America has long hair. Does anyone have any proven statistics of short hair vs. long hair winning the coveted queen title? I'm just curious. Do you  have any statistics?
20090128102157AA1DtJl	Science & Mathematics;Zoology	What is the deadliest poision (man made or not)?	N/A
20090128114257AAcLyyN	Science & Mathematics;Mathematics	Evaluate integral: 4x^3+6x+5/square root (x^4+3x^2+5x-4)dx?	evaluate integral: 4x^3+6x+5/square root (x^4+3x^2+5x-4)dx
20090128111036AALLi9u	Science & Mathematics;Physics	Angular Acceleration of a phonograph turntable?	A phonograph turntable reaches its speed of 33 rpm after making 1.7 revolutions.  What was its angular acceleration?      I know how to do this problem when a time is given, but not when they provide how many revolutions it took to reach the 33 rpm.
20090128114824AAQeaHA	Science & Mathematics;Biology	Help on Enzyme Substrates?	What is the substrate of protease? and cellulase?
20090128100357AA09IoE	Science & Mathematics;Chemistry	Which type of intermolecular force ("interparticle force") is the most important in propane(l)and pentane(l)?	(l) is liquid
20090128113206AAoFBwN	Science & Mathematics;Physics	An electronic flash attachment for a camera produces a flash by using the energy stored in a 800-F capacitor. ?	An electronic flash attachment for a camera produces a flash by using the energy stored in a 800-F capacitor. Between flashes, the capacitor recharges through a resistor whose resistance is chosen so the capacitor recharges with a time constant of 3.3 s. Determine the value of the resistance.
20090128114813AADaMWC	Science & Mathematics;Astronomy & Space	For all of those people who believe in evolution and the big bang theory, tell me this.?	Cells. We know where they come from, they divide from other cells.   Right? But if the cells we have today divided from other cells, and so on to the beginning, where did the first cells come from? They couldn't have appeared out of nowhere.      And genealogy. evolution says the earth is billions of years old. If you do the math, even with the earths population in the billions, a COUPLE HUNDRED years ago, technology wasn't even close to being advanced. We were just getting started. medicine, health and all.   Wasn't that good. the worlds population was only in the millions. do the math of birthrate, death rate, family tree and all of that, and tell me   if we were here billions of years ago. Oh wait, that's right. We came from the sea. whatever.           adaption can be seen, within a couple generations. Yes, it can be really fast. but this doesn't mean we jumped from species to species.   If we evolved from monkeys, and the weaker, recessive things are supposed to die off, why the h~ll are there still monkeys?    And if we mutated from other species, and those from others, and so on, try this. the ratio of positive mutations to negative mutations is unbelievably low vs. an extremely high side. what are the chances of us evolving from blobs, fish, monkeys, and everything else into what we are today? and millions of other species evolving into more dominant things. I'm talking about the positive-negative ratio.    According to science, not just us, but EVERYTHING in the world that lives today came from one creature. put this ratio and your math to work, and see if its possible for millions of creatures, or even billions, to have received all these positive mutations and to have become so unique, starting from one creature that was smaller then the tip of a pin. I didn't think so.      Don't forget the big bang. Yes, I believe somewhere in the universe, stars explode and everything else. But someone show me a site of the odds of earth forming with just the right materials to support life, and earth getting within just the right distance from the sun as of not to be scorched or frozen. Don't forget the conditions for everything to   come out of nowhere and make life, sustain it, and interact with everything else for a balance.      Think that's to much? The big bang wasn't only about the universe crunching into a giant mass, and exploding. When you think about it,    either the universe exploded and formed the specific conditions to support life, and sustain it, this segment is only a little piece of it.      this is my question. what evidence do you have to go against this?
20090128112428AAdrZFv	Science & Mathematics;Mathematics	Find a zero-divisor and a unit in the ring Z5[i]={a+bi: a, b are elements of Z5}?	N/A
20090128113721AArEFpI	Science & Mathematics;Mathematics	Differential equations with seperation of variables! help!?	Get the non equilibrium solutions for the differential equation:   y'(prime) = 2y-y^2      i keep getting (2=2+/-sqrt(4-4c^2e^(2t)))/2 but it seems to be wrong...Anyone know how to do this?
20090128104139AAabzwH	Science & Mathematics;Earth Sciences & Geology	Even with the earth's unperfection is it still a place originally?	in the form of a place made for human occupancy and development?
20090128095927AAnT9aF	Science & Mathematics;Engineering	Radiation is the only type of heat transfer that can occur?	A.from cold to warm   B.through a vacuum   C.through atoms   D.through mass
20090128100426AA8wJ1h	Science & Mathematics;Zoology	Do you think naked mole rats are cute or ugly? ?	I personally think that they are cute, but most people seem to think they are hideous.
20090128095434AACuMIG	Science & Mathematics;Chemistry	Can you explain the titration curves graph?	Hi!   I wonder why this line looks like an "S"..   I'm talking about the neutralization between acid-basis...   Thank you.
20090128114535AADvqFw	Science & Mathematics;Mathematics	Does anyone know where i can download a torrent or pdf of Calculus: Early Transcendentals Anton 8th Edition?	N/A
20090128095702AAVsrX3	Science & Mathematics;Biology	Microscopes?????????????????	What are the magnification errors that could happen when setting up or using a microscope?? PLease help me!!
20090128113428AAYv701	Science & Mathematics;Mathematics	Gr. 8 Math question..... Easy 10 point?	An item is regulary priced at $40 and is on sale for $25. What is the rate of discount.       Can you please explain how you got this, in a simple explanation.    Thank you!
20090128113611AAZkg8l	Science & Mathematics;Mathematics	How do I find the solution to (ln(y))^3 dy /dx= (x^3)*y?	The initial condition is y(1)=e^2   When I work it out I get y=e^x + c   c=4.67
20090128101453AAiOVEB	Science & Mathematics;Earth Sciences & Geology	Ozone Layer? 5 Questions please help :)?	Which gases cause a hole to develop in the ozone layers?   Where do these gases come from?   What is the ozone layer made from (the symbol formula)?   Where does the hole in the ozone layer appear each year?   What illness will increase if the ozone layer disappears?
20090128115742AA8lWxc	Science & Mathematics;Physics	Physics helppp? presssure stufff?	The human lungs can function satisfactorily up to a limit where the pressure difference between the outside and inside of the lungs is one-twentieth of an atmosphere. If a diver uses a snorkel for breathing, how far below the water can she swim? Assume the diver is in salt water whose density is 1049 kg/m3.   _____ m
20090128115252AAK0Trs	Science & Mathematics;Mathematics	Need help on this extra credit work!! (answer choices are given)?	Let f be the function given by f(x)=3e^2x and let g be the function given by g(x)=6x^3. At what value of x do the graph of f and g have parallel tangent lines?      a) -0.701   b) -0.567   c) -0.391   d) -0.302   e) -0.258   how will i do this??
20090128115749AApa4kS	Science & Mathematics;Zoology	Pediatrician or marine biologist?	which one should i be?            PEDIATRICIAN      pros- kids, don't have to move, lots of job opportunities, $$$!      cons- i hate body sciences. it's like my worst subject, body stuff, years and price of school.            MARINE BIOLOGIST-      pros- i would enjoy this more, i've always enjoyed watching underwater documentaries, i would just have more fun doing this.      cons- heard they don't make much, heard it's hard to get a job, i'd have to move.         i live in north texas and i'm in 9th grade.      about how much does each job make?   how many years of school would each one require?   which one should i do?
20090128105538AAsAnmg	Science & Mathematics;Zoology	Eggs. If the yolk is yellow, What is the Proper name for the white around the yolk. Please.?	N/A
20090128103825AAwdIkR	Science & Mathematics;Weather	Is there any truth to the saying "It's too cold to snow"?	I swear I've even heard the meteorologist of the local news say that it would have to warm up to snow.  Is this true?  Can it really be too cold to snow?  What about in the arctic then?
20090128115303AAzicY0	Science & Mathematics;Mathematics	I am trying to find angles and all it says is 6x+4?	another problem is the same expect 2x-16
20090128115315AAE7bHE	Science & Mathematics;Astronomy & Space	I need a zany and fun title for my article on observing saturn?	i came up with some but i want it to be fun .   so i'd try ask the audience for ideas      it does have a part on how this is the best time to observe the moons.
20090128111036AAmR87U	Science & Mathematics;Astronomy & Space	Where can i find pics of saturn and especially it's moons that was taken thru a backyard telescope?	N/A
20090128110900AAf2McG	Science & Mathematics;Chemistry	What is the name of KCIO?	KCIO   Name each of the following ionic compounds containing a polyatomic ion.
20090128110830AACtbWv	Science & Mathematics;Chemistry	In need of a chemists help !! AS Work :O ... Just need advice !! ?	1) If it takes 50 Ml of 0.5 M KOH Solution to completely neutralise 125mL of Sulfuric acid solution (h2SO4), what is the concentration of the H2SO4 ?      I Don't want to know the answer... I just need a little help on what I have to do to find the answer.      Thanks in advance;...
20090128094847AAkCsHx	Science & Mathematics;Astronomy & Space	Acceleration of the Moon due to Earth's gravitational pull....?	If the distance between the Earth and the Moon suddenly was multiplied by 1.6, by what multiplicative factor would the acceleration of the Moon due to the Earth's gravitational pull be changed? Use Newton's 2nd law and his law of gravity.
20090128094835AArHIm5	Science & Mathematics;Chemistry	Which of the following ionic compounds contains at least ten total atoms in its chemical formula? ?	Which of the following ionic compounds contains at least ten total atoms in its chemical formula?      1.barium phosphate   2.magnesium carbonate   3.ammonium nitrite   4.calcium hypochlorite
20090128100821AAx2v6n	Science & Mathematics;Chemistry	Which of the following pairs of polyatomic anions both have the same number of atoms in their formulas?	Which of the following pairs of polyatomic anions both have the same number of atoms in their formulas?      1.phosphate ion and cyanide ion   2.perchlorate ion and bisulfate ion   3.carbonate ion and sulfite ion   4.sulfate ion and nitrate ion
20090128095937AAebkm9	Science & Mathematics;Chemistry	Which of the following does NOT correctly list the most likely charge for an ion formed from the element? ?	Which of the following does NOT correctly list the most likely charge for an ion formed from the element?      rubidium : 1+   phosphorus : 3-   silicon : 6+   calcium : 2+
20090128102046AAe6rUB	Science & Mathematics;Chemistry	Chemistry help.. someone plz?	One isotope of a metallic element has mass number 9 and 5 neutrons in the nucleus. The cation derived from the isotope has 2 electrons. Write the symbol for this cation. (Type your answer using the format [Cu]+ for Cu+ and [Cu]2+ for Cu2+.)
20090128095458AA8aEAS	Science & Mathematics;Engineering	What is stress and stain? what produces deformation in shape?	What produces deformation in shape?   Forces that act on materials caused by the material changing shape? or    Forces that act together to keep a material in the same place?   or   Forces which cause a body to be stretched, compressed, twisted or sheared?   or   Forces which cause a body to change temperature?
20090128095537AATLM2R	Science & Mathematics;Physics	The index of refraction for water is 1.33 and that of glass is 1.50?	The index of refraction for water is 1.33 and that of glass is 1.50.   a. What is the critical angle for a glass-water interface?    I think the answer to a. is 62.46 degrees, but I am not sure.    b. In which medium is the light ray incident for total internal reflection?    I think the answer is glass, simply because it is going to be moving from a less dense area to a more dense area.
20090128095917AAxdKxe	Science & Mathematics;Physics	The index of refraction for radio waves traveling through ice is 1.30. ?	The index of refraction for radio waves traveling through ice is 1.30. If radio waves enter a sheet of ice in Antarctica that is 2000 meters thick, how long will it take the radio waves to travel to the bottom of the ice and back again?      I know that the speed of light in air is close to 3.00 x 10^8 m/s and that I somehow have to take into account the 2000 meter thick ice, but I end up with frequency even though I know 2000 meters is not the wavelength. I found that 2.31 x 10^8 m/s is the speed of light through ice.
20090128095752AAzNOJn	Science & Mathematics;Biology	Why are humans and animals look alike?	N/A
20090128095907AAdLRCt	Science & Mathematics;Chemistry	I need help balancing an equation please?	Potassium Oxalate + Tin (IV) phosphate ------> Potassium phosphate + Tin (IV) oxalate.
20090128100056AAblfMW	Science & Mathematics;Chemistry	Identification of atomic solids?	Identify all substances that can be classified as an atomic solid.        HCl          Rb2Se          Si          Ar          LiF          H2O2          None
20090128100207AAf6mnN	Science & Mathematics;Chemistry	Which substances have a molecular dipole?	Select all cases where the substance shown has a molecular dipole.      P4  tetraphosphorus      H2CCHCH3  propene      CCl2CCl2  tetrachloroethylene      PCl5  phosphorus pentachloride      (CH3)3N  trimethylamine      CH3OH  methanol      None
20090128100106AAtnpCh	Science & Mathematics;Biology	How was it proved that cells come from pre existing ones and who proved it?	N/A
20090128100116AA5wcph	Science & Mathematics;Biology	Which base pair bond is stronger in DNA, C-G or T-A?	Which base pair bond is stronger in DNA, C-G or T-A?      C-G because there are 3 hydrogen bonds?
20090128100309AAX4USb	Science & Mathematics;Chemistry	Can someone help me with this chemistry question!! PLEASE?	The solubility of an ionic compound M2X3 (molar mass = 200. g) is 3.0  10-17 g/L. What is Ksp for the compound?
20090128101127AAVDBb1	Science & Mathematics;Chemistry	Can someone help me pleaseee its CHEMISTRY?	Calculate the solubility of mercury(II) sulfide (HgS) in g/L.         and..How many grams of CaCO3 will dissolve in 3.0  102 mL of 0.050 M Ca(NO3)2?
20090128103230AAkiB7a	Science & Mathematics;Chemistry	HELP ME... please..its chemistry?	For which of the following reaction(s) is the equilibrium constant called a solubility product? (Select all that apply.)  1)  1PbI2(s)  Pb2+(aq) + 2 I -(aq)  2)  Zn(OH)2(s) + 2 OH -(aq)  Zn(OH)42-(aq)  3)  CaCO3(s) + 2 H+(aq)  Ca2+(aq) + H2O(l) + CO2(g)  4)  3 Ca2+(aq) + 2 PO43-(aq)  Ca3(PO4)2(s)
20090128100448AAJjtaL	Science & Mathematics;Chemistry	Is Cocaine soluble in acetone?	i have a book stating it is soluble in acetone but ive been told its not soluble
20090128100530AA6MjxL	Science & Mathematics;Chemistry	How to find an unknown solute from a sample?	So, I added 5 cc of my sample to a small crucible, and i burnt it all off, leaving me with the sample's  solute. But, i have no idea how to find out what it is!! Anybody know how to find what it is? what tests to do??!! please answer!
20090128100628AAMZTv4	Science & Mathematics;Botany	What is the difference between cell specialisation in plants and animals?	As much detail as possible please =D
20090128101024AAy6axy	Science & Mathematics;Physics	Physics egg drop project help?	can use string, wood, straws, tape, rubber bands, glue, staples.  can use paper/cardboard and plastic, but it may not be used for padding. no size or weight restrictions! thanks!
20090128101129AAXVBP3	Science & Mathematics;Earth Sciences & Geology	What is the true purpose of chemtrails?	N/A
20090128101411AAKWE7N	Science & Mathematics;Geography	How does physical geography affect human geography?	N/A
20090128101452AAkMYYE	Science & Mathematics;Botany	Why does fruit rot? Please help me!?	Please explain the gases that are released if you know. Thanks
20090128101646AAVyr3k	Science & Mathematics;Physics	What is the area, and its approximate uncertainty, of a circle of radius 1.1 multiplied by 104 cm? (Hint: Assu?	I got the first value of 3.8e8 and it was correct but i keep getting 6.9e7 as the uncertainty and it says its wrong does anyone know the uncertainty of this problem?
20090128101650AAGdcZC	Science & Mathematics;Physics	Calculate the force acting on a falling 1kg mass?	plz give the answer with the formula and the endin answer im failin this class but acin everything else!!!
20090128112227AANnTdh	Science & Mathematics;Botany	What is a biosphere,community,autotroph, and chemsynthesis/?	N/A
20090128101812AAmwrsW	Science & Mathematics;Chemistry	Chemistry SI system units ?	What are the basic units of length, mass, volume, and temperature in the SI system?
20090128102730AAZWx72	Science & Mathematics;Chemistry	Chemistry length of a crystal copper ?	what is the length of a crystal of copper sulfate in centimeters that is 0.125 inches long?
20090128103350AAx6phQ	Science & Mathematics;Chemistry	Chemistry volume liters ?	a liquid has a volume of 3.70 liters. what is its volume in mL? in cm^3?
20090128102655AALEFuQ	Science & Mathematics;Chemistry	Chemistry hellllppppp!!!!!!!?	One method of estimating the temperature of the center of the sun is based on the assumption that the center consists of gases that have an average molar mass of 2.00g/mol. If the density if the center of the sun is 1.40g/cm^3 at a pressure of 1.30*10^9 atm, calculate the temperature in degrees Celsius.      Okay so, in class I learned about the ideal gas law:PV=nRT.   Then from here I have to form an equation involving density which is:       MM(molar mass)=(d(density)R(ideal gas law constant)T(temperature))/(P(pressure))      (P.S: R= (L*atm)/(mol*k))*    OKay so when I plug in all the values i can't cancel out the the litersw and cm^3. So what should I do because I'm only supposed to end up with Kelvin (K).   PLease help!!!!      Thank you!
20090128103345AA0CEsN	Science & Mathematics;Earth Sciences & Geology	Find out global warming is already affecting polar bears?	N/A
20090128105153AAusmTf	Science & Mathematics;Zoology	Do penguins really give stones to find mate?	N/A
20090128105447AAPZEjJ	Science & Mathematics;Chemistry	What is the formula of calcium hydrogen carbonate?	Is it Ca (HCO3)2   or    Ca (H2CO3)2?      If it is the first one, could you please explain why it is HCO3, when the charge on a hydrogen ion is H+ and the charge on a carbonate ion is CO3 (2-)?      Thank youuu    10 points for the best answer :)
20090128114926AAvPR9q	Science & Mathematics;Astronomy & Space	In the life cycle of stars destined to become black holes, how long do they spend in the main sequence stage?	Apparently bigger stars burn through their energy faster than normal ones- in millions of years rather than billions.    So, how long would it take for a very high mass star (high enough of a mass to one day become a black hole) to get through its main sequence stage?
20090128112549AAv5pda	Science & Mathematics;Mathematics	Ok consider the set A= {1, 2, 3}?	Ok so question what is the cross product set AxA
20090128112607AAlSrcF	Science & Mathematics;Biology	Can you take someones DNA and put in your body?	N/A
20090128112913AAX1IhA	Science & Mathematics;Mathematics	Derivative question?	Differentiate f(x) = ln ( ( 2x - 5 )(x^3 + 5) )      I've been trying to solve this problem and I keep getting it wrong..I tried using the log properties and derivative properties but I can't seem to get the right answer =(
20090128113252AAQ8qV0	Science & Mathematics;Chemistry	Help with Chemistry homework! Please help!!! EASY 10 POINTS, Thanks?	NaOH - #of elements and # of atoms   NH4NO3 - #of elements and # of atoms   C2H6O - #of elements and # of atoms   (NH4)3PO4 - #of elements and # of atoms   NaNO3 - #of elements and # of atoms       Express the following numbers in StandardScientificNotation      45000   (5 x 10to the fifth) x (2 x 10to the eighth)   0.00055   (13 x 10to the third) + (3 x 10to the third)      Thanks, for your input guys.
20090128113313AAfMNaD	Science & Mathematics;Mathematics	How to use Riemann sums to calculate volumes of solids?	Consider the region in the plane bounded from above by a mystery function y = f(x) with the following table of values:      x = | 0.0 | 0.5 | 1.0 | 1.5 | 2.0   f(x) | 4.0 | 3.5 | 2.1 | 1.5 | 2.6      and bounded from below by the graph of y = x      Use right Riemann sums based on the above data to estimate the volumes of the following solids:      (a) the solid generated by revolving the above region about the axis y=6   volume = __________      (b) the solid generated by revolving the above region about the axis x=2   volume = __________      (c) the solid whose base is the above region with cross sections perpendicular to the x-axis are semicircles with diameters lying on the base   volume = __________
20090128113542AAIHD8H	Science & Mathematics;Mathematics	What number is used to complete this square?	y^2+16= -y
20090128113604AARvI08	Science & Mathematics;Medicine	Are endorphins and adrenalin related?	endorphins are the body's natural pain killer and since when you have an "adrenalin rush" you tend to feel very little pain.
20090128113926AAHEvL0	Science & Mathematics;Mathematics	I'm having problems with identifying opposite,adjacent,and hypotenuse sides on a triangle can someone help?	N/A
20090128114019AAuYZjA	Science & Mathematics;Astronomy & Space	Artificial gravity through mass?	okay to have gravity you need mass and huge weight. so if a spacecraft has the ground and the floor made out of real heavy metal or something else that is huge on mass and huge on weight than wouldn't you basically have gravity inside the spacecraft.
20090128114041AAzTANl	Science & Mathematics;Mathematics	Quick math question.... Please help me out. Let me know. ?	Micha smith is a opening her own law firm.  She has prepared the following monthly costs estimates.     - Salary of legal secretary       $3000  -Office rent and utilities           $1200  -Other costs                          $1500          Total costs                           $5700                       Micha would like to earn $3300 a month and feels tht shee will be able to bill 150 hours of her time per month to clients.     a. Assuming that Micha is correct in her estimates, what fee per hour should micha charge her clients.     b. At the fee calculated in (a), what would Micha earn ina month in which her time charged to clients was only 100 hours? Asumme that all costs are fixed.
20090128114141AAUgbGx	Science & Mathematics;Mathematics	-27 - 7x = -9 - 4x  can someone help me with is problem?	the answers are :      -9   9   -6   6
20090128120219AAIhOa3	Science & Mathematics;Mathematics	What is this lol, 8(3x+2)+4(x+4)?	I have something i figured out but it just doesnt seen right
20090128114256AAUwd8i	Science & Mathematics;Mathematics	Total area enclosed by graphs (integrate calculus)?	y=(8x^2)-(x^3)+x      y= x^2 + 11x      help please
20090128114354AAZkS8W	Science & Mathematics;Physics	A diver running 1.8 m/s dives out horizontally from the edge of a vertical cliff ?	A diver running 1.8 m/s dives out horizontally from the edge of a vertical cliff and 3.0 s later reaches the water below. How high was the cliff, and how far from its base did the diver hit the water?
20090128114507AAHTRN3	Science & Mathematics;Engineering	Has anyone ever invented a desk with a built in computer that rises up from inside the desk ?	N/A
20090128114510AAtdZEe	Science & Mathematics;Mathematics	Prove sin^4x= (3/8)-(1/2cos2x)+(1/8cos4x)?	N/A
20090128114546AAluco2	Science & Mathematics;Mathematics	Simplify the sum (7u^3 + 8u^2 + 8) + (8u^3 - 6u + 5)?	N/A
20090128114744AAWivJo	Science & Mathematics;Mathematics	Solve the following (x+2)^2=16?	N/A
20090128114658AAYGyfq	Science & Mathematics;Mathematics	Simplify the sum (4u^3 + 4u^2 + 2) + (6u^3 - 2u +8)?	N/A
20090128114550AA0cNKy	Science & Mathematics;Physics	How to find the normal force?	A motorcycle has a constant speed of 28.0 m/s as it passes over the top of a hill whose radius of curvature is 129 m. The mass of the motorcycle and driver is 346 kg and the centripetal acceleration is 2102.8N. Find the magnitude of      a. the normal force that acts on the cycle.
20090128114804AAtrWSC	Science & Mathematics;Chemistry	What is HYDROGEN classified as?	what is hydrogen? (nobel gas, nonmetal, metal?)   EXAM TOMORROW!
20090128114806AAeM2UF	Science & Mathematics;Mathematics	Can anyone quickly solve this random (pretty easy) math question?	so here's the question:    :D   if a train leaving grand central station is traveling at 5 km/h and a bus leaving the same station is traveling at 10 km an hour.... which arrives at the same destination first???   (any help would be greatly appreciated!)
20090128115033AASvIZF	Science & Mathematics;Mathematics	Could you solve and show work for: I8x + 7I + I-6I <= 9?	N/A
20090128115250AARLJQB	Science & Mathematics;Astronomy & Space	Looking for information about buildings discovered to be on the dark side of moon?	a news report about buildings found on the dark side of the moon
20090128115106AAESvWl	Science & Mathematics;Chemistry	What is the change in pH when 1cm3 0f 1.0mol/dm3 NaOH is added to 1dm3 of 0.01mol/dm3 of ethanoic acid?	Dissociation constant=0.000017
20090128115239AAMUFvJ	Science & Mathematics;Botany	What is the best liquid for a seed to germinate in ?	we are doing a science fair and we want to know in witch liquid the seed will grow faster in ? HELP ?
20090128115243AAYfMzV	Science & Mathematics;Mathematics	Integral help                                   ?	what is the definite integral of /x-7/  at -1 and -2 (absolute value).  Can someone give me a hint
20090128115355AACZ5TB	Science & Mathematics;Mathematics	Differential Equations, Method of Undetermined Coefficients (with a polynomial)?	The equation is y' + 2y = t-3  and I'm supposed to use the method of undetermined coefficients to in the general solution.        I know that ce^(-at) is the general solution of y' + at=0, but I don't understand at all how to solve this problem.  Or where to even start it...
20090128115411AAblRcm	Science & Mathematics;Mathematics	Numbers 333 666 999 121212 151515.....?	3+3+3=9;  6+6+6=12+6=1+2+6=3+6=9;  9+9+9=18+9=1+8+9=9+9=18=1+8=9...    And so on....    How it call ?!
20090128115511AAkyLCt	Science & Mathematics;Botany	How many alleles determine the traits?	how many alleles determine the traits
20090128115726AAA5QRM	Science & Mathematics;Physics	Which has the greater density---5 kg of lead or 10 kg of aluminum?	science
20090128115729AAaY0ub	Science & Mathematics;Medicine	Why did the BMA reject lethal injection? ?	Did the BMA give any reasons for why they rejected this form of punishment?
20090128115808AASnQTZ	Science & Mathematics;Zoology	WHAT ANIMALS LIVE IN THE TEMPERATE FOREST?	What is the animals in the Temperate Forest
20090128115934AAgJ0O9	Science & Mathematics;Physics	Why does moisture condense on the outside of a cool glass of water in the summertime?	A)Cool air holds less moisture than warm air, so condensation occurs.       B) Warm air holds less moisture than cool air, so evaporation occurs.       C) Warm air holds less moisture than cool air, so sublimation occurs.       D) None of these
20090128120108AAnQBaY	Science & Mathematics;Mathematics	How many cubic feet in a structure that measures 70x36x30 inches?	N/A
20090128120132AAolRQ2	Science & Mathematics;Mathematics	Does anyone know a site with daily math problems?	colstate has problem of the week but I've done it all
20090128120247AA47kh8	Science & Mathematics;Mathematics	Solving a horizontal tangent line problem?	Okay, I have solved the problem Y= sqrt3x + 2cos x,    0<=x<2pi all the way to the end where I plug in pi/3 and 2pi/3 for x. Resulting in:      Y= sqrt3 (2 pi/3) + 2 cos (2 pi/3)      Y= sqrt3 (pi/3) + 2 cos (pi/3)    ...but I can’t remember how to solve. I know I have to find the common denominator and that the result will have pi and a radical in it. But otherwise I’m drawing a blank. D: Anyone please help?
20090128120327AAfkl9q	Science & Mathematics;Earth Sciences & Geology	What material has more porosity gravel,metal shot,rocks,round marbles, or flat marbles?	Im not sure what has more porosity its for science class. I think its either gravel or rocks. what do you think?
20090128121023AAoSAqY	Science & Mathematics;Mathematics	What is domain and range and how do I find it?	N/A
20090128121419AAwBd2U	Science & Mathematics;Mathematics	Five positive and negative feedback?	N/A
20090128121546AAv3YR9	Science & Mathematics;Earth Sciences & Geology	Besides using pressured water, is there a treatment available which prevents rock salt damage to a vehicle?	N/A
20090128121900AAycpTj	Science & Mathematics;Mathematics	What is the solution to y= 35+0.15x?When you have to substitute?	N/A
20090128124334AAQM4lt	Science & Mathematics;Mathematics	HELP! I'm stuck, can you please help me?	1. (2x + 6)(x - 2)   (a) 2x^2 - 12x - 12   (b) 2x + 2x^2 + 2   (c) 2x^2 + 2x - 12      2.  (5x - 5)(5x + 5)   (a) 25x^2 - 25   (b) 5x^2 - 25x - 25   (c) 5x^2 - 50x - 25      3. (x^2 + 3x)(x + 1)   (a) x^3 + 3x^2 + 3x   (b) x^3 + 4x^2 + 3x   (c) 3x^2 + 4x + 3      4. 4m^2(-3m + 1)    (a) 4m^2(-3m + 1)   (b) -12m^3 + 4m^2   (c) 1m^3 + 4m^2      5. (1 - 2y)(y^2 + 6y + 3)    (a) -13y^2 + 3   (b) -2y^3 - 11y^2 + 3y   (c) -2y^3 - 11y^2 + 3
20090128122040AAHQtYU	Science & Mathematics;Mathematics	5 problems! 10 points for best answer.?	Directions: Multiply      1. (3x^2 + 2x + 4)(2x + 1)   (a) 3x + 1   (b) 4x^2 + 10 x + 6   (c) 6x^3 + 7x^2 + 10x + 4      2. 4x(2x^2 + x)   (a) 8x^3 + 4x^2   (b) 8x^3 + x   (c) 8x + 4x^2      3. (x + 1)(x + 4)   (a) x^2 + 4   (b) x^2 + 5x + 4   (c) x^2 + 4x + 4      4. (x - 2)(x - 3)   (a) x^2 - 2x - 6   (b) x^2 - 5x + 6   (c) x^2 + 5x + 6      5. (x + 5)(x - 4)   (a) x^2 + x - 20   (b) x^2 + 5x - 20   (c) x^2 - 4x - 20
20090128122046AA6ES7Y	Science & Mathematics;Mathematics	Imaginary numbers. put into standard form?	(6-7i)(2+5i)       Please solve and put into standard form. Thanks,
20090128125811AA1C7qb	Science & Mathematics;Mathematics	Prove that if I is a bounded interval and f:I-->R is uniformly continuous then f is bounded.?	(35)
20090128130615AAA96yU	Science & Mathematics;Mathematics	Let f:[a,b]-->R be a continuous function. Prove that f is uniformly continuous.?	Hint: Suppose that f is not uniformly continuous. Show there are 2 sequences x_n and y_n subsets of [a,b] which converge to the same point p an element of [a,b] such that If(x_n) - f(y_n)I >= epsilon. Hence conclude that f is no continuous at p.
20090128125643AApB1xi	Science & Mathematics;Mathematics	How do I convert a fraction into Time? Ex: How much time is this 1 43/57?	I need it converted into hours and minutes.
20090128124004AALKVPP	Science & Mathematics;Chemistry	How do I use Beer's Law Plot to calculate the exact mass (in grams) and the mass percent of ASA in an unknown?	I need to figure out how much ASA is in my aspirin unknown.   But I don't know how to go about doing that?
20090128125528AAo0OA4	Science & Mathematics;Mathematics	Maths sequences help?	I need to find the nth term of  -10   -8    -6  -4  0.3    0.6    0.9   1.2  6.6    7.4    8.2   9  3/2     6/3    9/4   12/5
20090128124220AAwrL1j	Science & Mathematics;Mathematics	How do you find the Nth term of a sequence?	Like if the sequence was   5, 10, 15, 20   how would you find the nth term   Would it be 5n or n5 ?      Thanks
20090128130514AARcZUA	Science & Mathematics;Mathematics	I need some help with permutations?	what does the n before the P mean? And the r after it mean?
20090128123323AAnGydI	Science & Mathematics;Mathematics	Is a Rhombus a square? and Is a Square a rhombus?	N/A
