20090220032514AALWXDP	Sports;Outdoor Recreation;Hunting	California legal HK416 assault rifle?	is there such a thing and if so were do i find one?
20090220070203AAMTEJk	Sports;Wrestling	What if Vince hires the entire High School Musical cast to perform at ECW? Will more people watch ECW ?	N/A
20090220065637AABbpUc	Sports;Wrestling	Do u think there will be a riot if Cena ends Taker streak next year at WM 26 ?	Cause I heard Cena is supposed to go to SD! this year, so it's a possibility on having Cena vs Taker at WM 26.
20090220071246AAdHiTL	Sports;Martial Arts	Seems like 5 times as many southpaw fighters in mma compared to boxing. Seems like everytime i turn on a?	fight both guys are fighting lefty. I know most of them are not real lefties but comfortable in the stance for one reason or another. Have you noticed this? do you agree?
20090220071308AAEP7mO	Sports;Football (American)	What do you think of the deal that Oakland gave CB Nnamdi Asomugha?	3 years, 45 million for a cornerback??????????????      What do you think?   I think they (Al Davis) is really off his rocker now!
20090220071213AA1CemY	Sports;Baseball	Baseball fans ( or anyone else): What are your thoughts on this real-life scenario?	 http://sports.yahoo.com/mlb/news?slug=ap...       My shorthand thoughts: Some people lying about their age when it comes to dating is bad enough. Also, in the midst of steroids talk, now this on top of it?   I know no one is perfect, and I'm not perfect, but come on, they can keep baseball clean by having random drug tests, and to make sure no one is lying about their identity and age, they can ask for several forms of identification and other measures.   All I have to say enough is enough! All these catastrophes in sports are getting older than my 33 years! ( well, almost 33 years)      Thanks to all who answer and have an awesome Friday night! :)
20090220070527AAkh9ll	Sports;Hockey	I need some cheats for NHL 2K8 can someone tell me any?	N/A
20090220070053AAL2Ef9	Sports;Fantasy Sports	Fair Fantasy Hoops Trades?	Today is my league's trading deadline.  I've been offered Devin Harris for LaMarcus Aldridge.  Do it?      PG - Ramon Sessions   SG - Vince Carter   SF - Jeff Green   PF - Lamar Odom   C - Tim Duncan   G/F - Rip Hamilton   F/C - Nene   Util - LaMarcus Aldridge      Bench      Josh Howard   Ron Artest (who could move up in the lineup depending on who's traded)   Jarret Jack   Ryan Gomes      I lead in blocks, rebounds, FG %.  Fourth in points and turnovers (four best in TO).  Middle of the pack in 3's and assists; third worst in FT%.      I was also offered Jason Richardson (Phoenix) for Rip Hamilton.  With Phoenix's new high-flying offense, do I pull the trigger on that too?  Unfortunately, I have no time to see how J-Rich performs in the new system since the deadline is a few hours away.      Thanks in advance for your input.
20090220071339AAy67Tw	Sports;Other - Sports	I know what long boards are for but what about short boards (Skateboarding)?	just wondering because boards we get today are for tricks long boards are for when the surf is flat, so curve it up on the street but what about short boards?
20090220071221AAwaFhd	Sports;Wrestling	Is Randy Orton the next Stone Cold?	Beating up the McMahon's, Ruck Fules..........You get the idea.
20090220072506AAfmnAg	Sports;Fantasy Sports	Why do most fantasy sports leagues require approval for trades?	N/A
20090220070907AA7J2V8	Sports;Wrestling	If Hulk Hogan is the Babe Ruth of Pro Wrestling, does that make Steve Austin the Hank Aaron?	N/A
20090220070803AAcLzQ7	Sports;Golf	How can you throw a golf ball with all your might..?	and without it hitting a wall or any other obstruction have it come right back at you?
20090220065722AA54w9p	Sports;Wrestling	Since Xylot is now gone for months.... whats the best site i can download WWE/TNA/WCW themes for free?	please give me the link
20090220072258AAmP6M8	Sports;Football (Soccer);Scottish Football (Soccer)	What does this mean ￡970,000?	N/A
20090220072104AAT7JV1	Sports;Football (American)	Which team will sign Derrick Ward?	N/A
20090220071856AAC5oFQ	Sports;Wrestling	Would KIMBO SLICE be better at wrestling or staying in MMA?	N/A
20090220072100AAYGwNJ	Sports;Wrestling	Why are piledrivers banned from wwe?	just wondering
20090220072112AALHy4q	Sports;Football (American)	Guess what my top 5 favorite schools for football?	they are all in different states, totally different in every way      and tell me yours too
20090220072704AA7KHug	Sports;Hockey	Your predictions on whos going to finish 1st in the league? (NHL)?	who do you think is going to be the president's trophy winner this year?
20090220071519AAgoHAs	Sports;Baseball	How can i go to bed later and wake at the same time?	every school night i have to go to bed at 10:00 because if i don't then i cant wake up on time so my question is how can i go to bed later and wake up at the time i normally wake up at.
20090220070222AAZYZgw	Sports;Basketball	My thigh burns when playing basketball defense alot, help!!?	I'm 15, I play ball for 4 hours a day,(about 5~6 5on5 pickup games) But whenever I'm on my 3rd game, when I'm guarding the ball carrier, I have my right foot forward, I'm on the ball of my feet I'm down low and have my arms spread. But I keep getting a cramp-like pain in my quads.      Is this because I'm playing too much? My defense posture is wrong? Or am I just too young? HeeLLPP
20090220072220AAPJSuK	Sports;Football (Soccer);Mexican Football (Soccer)	Whats with Santos Laguna?	Is Christian Benitez still out with an injury or is there some fight going on with the coach? Because Santos has been kinda bad lately and I'm guessing they need all the help they can get.
20090220070728AAAlVRt	Sports;Martial Arts	What can I use to make my face leathery and tough so it won't bleed?	I know that Jack Dempsey used to use the stuff they use for tanning cow hides or something, but I don't have a clue what that is or where yu'de get it.      Im basically just asking if anyone knows about this kind of practice (probably more common amongst old time fighters than modern ones) and if theres a way you know of I can use to toughen the skin on my face to protect from cuts and bleeding.
20090220070736AAdJ1t6	Sports;Wrestling	Why did STONE COLD retire?	N/A
20090220070818AArHwe5	Sports;Cricket	What is Mahendra Singh Dhoni going to do?	Is he really going to jump from some bridge to remove stress?   And do u think Indian cricket team's new jersey is good?
20090220071435AAM4irc	Sports;Baseball	Are my seats obstructed at Wrigley Field in sec 233 last row?	I got tickets this morning (the first/wristbands day 3 hours before the public sale) to see the Cubs here at Wrigley Field in July.   However, they are Terrace Reserved Outfield tickets, and I understand that behind row 5, you may have poles and the upper deck blocking your view.       Mine are section 233, row 23, which is the very last row in the section. Does anyone know how the view is?      I believe it is the section immediately past the worst sections in terms of obstructions, but before the best views in the level, in right field. It is the first outfield terrace reserved section vs. infield. I know the seating chart; I just don't know the view/location of the poles and overhang, so please don't link me to that.      I'd appreciate help/advice/knowledge from anyone who has been in that section or knows Wrigley really well!      I have only been there twice, and had front section/box seats both times, so I am worried. It's a platinum level game, against the Brewers, so it was difficult to get tickets, even the first day.      Thanks!
20090220071717AAStmnA	Sports;Outdoor Recreation;Hunting	I want to buy RWS Magnum 350 Air Rifle and Imported pellets?	But iam not getting the right place to buy these in india.All dealers tell me very high pricings.can u please tell me any shop or dealers in india and it is really better if it is near delhi......
20090220072409AAe50N8	Sports;Outdoor Recreation;Fishing	(( Need Fishing beginner tips HERE ))?	What kind of rod should i get, like how long?    Importantly, what kind of Spinning reel should i get?       I need simple for beginner like me to cast & play around easily..      Please give your best personal experience tips not from ''google-ing''.          THANKS.. i appreciate all your answers.    CHEERS.      =D
20090220072610AAPL1vL	Sports;Basketball	Who is better Allen Iverson or Gilbert Arenas?	i want to kno about now and in their careers
