20090220072842AAGP4V1	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	How can you tell if there faking it ???	you know what i mean.
20060709071047AAXRjsC	Society & Culture;Other - Society & Culture	What are five places to visit in germany with information about the place?	N/A
20060813070645AAKkt0E	Society & Culture;Other - Society & Culture	Ashley tisdale email or MSN address?	Can someone help me out here? Thanks people.
20060822013726AA6HjVl	Society & Culture;Other - Society & Culture	Is there anyone from Romania?	N/A
20060829131255AAvbxiC	Society & Culture;Other - Society & Culture	Thailand crime?	Who else thinks that kid who tagged a car in Thailand should've got his *** beat to hell? I definitely think they couldv'e been alot worse on him and him still not gotten what he deserved.      Thought: If you don't want to follow a country's laws and suffer their punishments then opt not to go to that country. He thought he could handle the crime...so you know the rest.
20060831163334AApAeoH	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Hindu Bhajan Entitled "Prahbu Mere Aawo": Im looking for this song to here it online or on a cd anyone know of	Does anyone know this song and where I can here it online or what cd features it - it is a hindu devotional song
20060905234504AAYlW1Z	Society & Culture;Other - Society & Culture	How to find my need?	I dont have/show big involvement in anything. I really want to find whether i hv any real intrest in anything?
20060906132049AAfeAJ6	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Why is it that LeRoy McFarland is obsessed with black people do I sense a little Jealousy maybe?	N/A
20060918103605AAtK4SJ	Society & Culture;Other - Society & Culture	Do you think I'll find an apartment where I can bring my dog?	I live in New Jersey (Hudson County) and my landlord is selling the house I live in and the new owners will not let me have my dog.  I adopted my dog LuLu 3 years ago after she was abandoned.  She is a pitbull and she is sweet and loving.  I absolutely adore her.  I never imagined myself owning a pitbull but when I saw her at the shelter I knew right away this was the dog I would rescue.  I can not find an apartment that will let me bring her.   Everyone seems to hate pitbulls.  My pitbull is such a sweetheart and I will not abandon her.   People tell me "just bring her back to the shelter".  I can not do that.   Has anyone else experienced this problem???
20061014090754AAjHyM2	Society & Culture;Other - Society & Culture	How to lead on a guy?	N/A
20061018075657AAJWOwl	Society & Culture;Other - Society & Culture	Collections of philippine literature?	N/A
20061019231758AAvyENM	Society & Culture;Other - Society & Culture	Can I still swim?	I haven't been swimming since I was 10 years old, believe it or not! I am 26 now. Obviously my body has changed since I was 10 years old, so I was wondering if I would still remember how to swim.  Is it something that I will need to re-learn?
20061020041550AAiC3Xo	Society & Culture;Mythology & Folklore	Is gemini compatible with libra?	N/A
20061024102714AAhDv37	Society & Culture;Other - Society & Culture	Is anything not lies?	N/A
20061031004728AAkxdY3	Society & Culture;Languages	Which cities in India have the most English speakers? I need a full ranking please?	N/A
20061101204835AAQDePg	Society & Culture;Mythology & Folklore	Is frankenstein right to destroyed the female monster?	N/A
20061104104952AAXTk5Q	Society & Culture;Mythology & Folklore	Is there an anatomical difference in African coccyx, or is this another Urban Myth?	I have heard for years that some Africans have either an "extra" small vertibre in the tailbone, or that it has a different tilt, thus accounting for the large, "pushed up" rear-end of some (beautiful!) African women.  Who knows the truth?  Thank you.
20061107092950AAjgFKK	Society & Culture;Other - Society & Culture	Is it true that United Statesians are so dumb that they believe that hispanic/latino is a race?	Sounds ridiculous
20061111224235AA7kr5P	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Is it bad to be a transexual?	N/A
20061112035456AARDbk3	Society & Culture;Other - Society & Culture	Old people having sex?	What would the percentage of people over 80 having sex be?
20061112170710AA52JpX	Society & Culture;Other - Society & Culture	Where can i find the highlights for the years 1995-2005, covering music, fashion, entertainment and world even	N/A
20061112183942AAr2fAC	Society & Culture;Other - Society & Culture	How can i get my snatch (a.k.a private hole) to smell clean?	N/A
20061222195433AAHD71L	Society & Culture;Languages	Help with translation?	These lyrics are used in the intro to a song by Janes Addiction..can someone translate them into english for me? Thank you!      SENORES Y SENORAS   NOSOTROS TENEMOS MAS INFLUENCIA      CON SUS HIJOS QUE TU TIENE      PERO QUE...QUEREMOS   CREADO Y REGALO (REGADO/REGADOS)   DE LOS ANGELES
20070304142320AAmloBf	Society & Culture;Religion & Spirituality	Why do you think scientific"psychic" testing, never has conclusive results after repeated testing?	Is it due to the variable of human/spiritual "individuality"?      Solomon
20070309114702AAXFt1Z	Society & Culture;Religion & Spirituality	Are you acting in God's will? (not what you think...)?	Jesus says in Matthew 7 (vs 15-22)       "Watch out for false prophets. They come to you in sheep's clothing, but inwardly they are ferocious wolves. By their fruit you will recognize them. Do people pick grapes from thornbushes, or figs from thistles? Likewise every good tree bears good fruit, but a bad tree bears bad fruit. A good tree cannot bear bad fruit, and a bad tree cannot bear good fruit. Every tree that does not bear good fruit is cut down and thrown into the fire. Thus, by their fruit you will recognize them.       "Not everyone who says to me, 'Lord, Lord,' will enter the kingdom of heaven, but only he who does the will of my Father who is in heaven. Many will say to me on that day, 'Lord, Lord, did we not prophesy in your name, and in your name drive out demons and perform many miracles?' Then I will tell them plainly, 'I never knew you. Away from me, you evildoers!'      Matthew 25:31-40 implies there are those who don't realize they follow Jesus, and those who think they are.
20070210201724AA11tgB	Society & Culture;Other - Society & Culture	Why is it that when the parents are obese, so are the children? do not these?	overweight people think about the health of their children? or are they just to lazy to cook healthy food? the reason i ask is i went to the movies and i seen an obese family and the mom was putting tons of butter on the popcorn for her and the family, this is disgusting. why can they not see that they need help and seek it. or at least think about what they are doing to their children? i remember when obese people were uncommon, that was about 20 years ago, what the hell happen to americans?
20070107093510AArdEcN	Society & Culture;Religion & Spirituality	Qué ha hecho la religión por ti?	No me estoy haciendo la graciosa ni con ganas de una controversia, es una duda que me entró ayer, luego que una mujer con micrófono me la hiciera.       Saludos! Luego daré mi punto de vista ^-^ Palabra!
20070115122850AAkX1cs	Society & Culture;Other - Society & Culture	Ke  es mas importante  para ti, el contenido o el continente....???	N/A
20070108101154AAk2nmb	Society & Culture;Etiquette	Por qué si hacenuna pregunta no votan por el ganador?	Y por qué si te las responden no se dan el trabajo de pulguear para arriba o abajo si todos nos damos el tiempo de responder?
20061202125656AABZkHA	Society & Culture;Languages	Should hispanics who come to live in the U.S be forced to learn english or....?	should we continue to cater to them by learning spanish and having translators in the U.S.?
20061213031911AA9uPDs	Society & Culture;Other - Society & Culture	Is there a  nude .. me...???	is there a site where I can legally submit a nude picture of myself for everyone to see on the internet???      maybe I can be internetfamous???         I'm a girl/guy.. ..???
20070123164708AAyywiU	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Con que Golosina te identificas...?	o cual es tu favorita...?
20070109130123AAPbLfB	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Si ves a un pelado parado en la esquina molestando a una chica lo confrontas...?	N/A
20070109130934AA0f4Q0	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Quien de tu familia tiene pajaritos de mascotas...?	en todas las familias existe una tia que los tiene no? heredarias esa tradicion? y si lo haces adoptarias uno que tengo que es bien chillon y ya no se que hacer con el...?
20070109133249AAMnEc9	Society & Culture;Cultures & Groups;Other - Cultures & Groups	En que te gastaste o te piensas gastar tu aguinaldo...?	N/A
20070227193706AApdTWo	Society & Culture;Religion & Spirituality	Que opinas del nuevo Anticristo de Miami?	articulo         http://mx.news.yahoo.com/s/ap/070224/ins... 
20070122214423AADPxxn	Society & Culture;Religion & Spirituality	Solo para quienes han leído la Biblia: Que pensaste cuando la leíste por primera vez?	Se franco/a, explayate a tu gusto, te voy a leer, te lo pregunto porque quiero saber, con seriedad y respeto a todas las ideas. Desde ya, gracias.   P.D.: Quienes NO la han leido, por favor, abstenerse.
20070109130820AAeZfow	Society & Culture;Other - Society & Culture	?Que hacer con la soledad?	Lo que más se teme, a medida que van pasando los a?os, es sin duda la soledad, no siempre se cuenta con los demás.
20070122215141AAUGq7f	Society & Culture;Other - Society & Culture	Haz rechazado a una mujer?	tengo curiosidad segun somos las mujeres las que rechazamos y que dicen los hombres.
20061213175039AAjS1MA	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Lance bass is tooo lucky?	hes hot his bf is hot hes masculine and out of the closet and hes rich i hate him o yeah and do you think his bf is hot   google him hes toooo sexy lol.
20070118221311AAdUm0T	Society & Culture;Religion & Spirituality	FINALLY! All the proof of God in one place! What do atheists have to say to THIS?!?!?	...                                                                                                                                                      *tumble weed rolls by*                                                                                             ...hey, atleast I'm honest. I still believe in a God even though I have no proof. However, I also believe you have the right not to. Do not let anyone distract you from what you believe to be true. Only believe in yourself and what you find on your own. Don't ever let religion get in the way of your dreams. I admire your courage to question everyone when they may gang up against you. Think freely! I wish you the best of luck! Have a great day!
20070307210913AA45EWt	Society & Culture;Holidays;Other - Holidays	?Te felicitaron mujer?	Feliz y combativo 8 de marzo.   Que tu femeinidad te mantenga activa e importante   en nuestra humanidad
20070316063439AAuF048	Society & Culture;Cultures & Groups;Other - Cultures & Groups	?Qué efecto tiene el narcotráfico en tu país?	En México provoca incremento en el índice de violencia, aumento de criminalidad, impunidad, inseguridad.   ?Qué sucede en tu país?
20070122173716AAUSIbF	Society & Culture;Religion & Spirituality	This is a....?	hello from the Polls and Surveys catagory!      How are you?
20061208212531AA4ANMY	Society & Culture;Religion & Spirituality	Should I date the pastor of my church?	He's married and all but he tells me that his wife just won't give him any lovin.  I like the pastor and I think I could rock his world real good.  Should I take him up on his offer.  He said that he'd even give me $500 if I would go with him and do what he said.
20061203123310AAjO16d	Society & Culture;Religion & Spirituality	Did the all-male Disciples ever give Jesus a Christmas goose?	On his birthday.
20070125183944AAjwBdX	Society & Culture;Religion & Spirituality	Ense?o Jesucristo a rezar el rosario? Esta escrito en la Biblia?	No dijo Jesus también esto: "Y orando, no usen VANAS REPETICIONES, como las gentes, que creen que por su palabraría serán escuchados" Pero diganme, cuando Jesús ense?o la practica de orar o rezar a María? O el apostol Pedro o Pablo, cuando lo hicieron? Gracias. Es una duda que traigo
20070122110033AAkESMz	Society & Culture;Religion & Spirituality	Que utilizo dios para crear el universo?	N/A
20070117115644AAUqm64	Society & Culture;Other - Society & Culture	Mujeres: ?Como cobro venganza hacia mi ex???	La historia es como sigue... el me termino, despues de un corto tiempo regresamos, paso harto tiempo y yo le termine, y ya paso un a?o y me sigue insistiendo para seguir juntos, y yo ya no quiero...  como hago para vengarme, bueno, no tanto asi... para que sepa de una buena vez que ya no quiero estar con el!!!  por favor, abstenerse las que me diran que la venganza nunca es buena, mata el alma y la nevenena xDDDDDDDD
20070121195607AAVmWCl	Society & Culture;Other - Society & Culture	Como les hubiera gustado llamarse si los hubieran dejado elegir?	N/A
20070110202037AAqCD3E	Society & Culture;Other - Society & Culture	Cuanto tiempo utilizas en internet?	encuesta
20070122103817AAnFwCi	Society & Culture;Religion & Spirituality	Crees en las cosas paranormales, por que?	N/A
20070307173958AAq6NX9	Society & Culture;Religion & Spirituality	Does God think about gays sometimes?	N/A
20070220080003AAh32W9	Society & Culture;Religion & Spirituality	The demons named "Legion" in Mark 5:6-14?	This is the verse in which Jesus sends demons who call themselves MOB (or Legion) into a herd of swine. Why do these demons show up again in the exorcist movie. Do these demons show up again in the Bible somewhere? I assumed Jesus got rid of them in this story? thanks.
20061212152512AAwr6wi	Society & Culture;Languages	How would you translate this from Arabic?	??? ?? ????? ???? ?????? ????/S   ??? ??? ???? ???? ????? ????? ?? ?????    ??? ???? ??? ???? ???? ?? ?? ????   ????? ???? ?? ????? ??? ???? ???? ????   ??????????????????????????????...    ??????????????????????????????...   ??????????????????????????????... ??????????????????????????????...   0126675018
20070123103648AA1QoeO	Society & Culture;Other - Society & Culture	Estais conformes con vuestra situacion economica??	Comparate con los habitantes de los paises pobres.
20070107100005AALQW6q	Society & Culture;Other - Society & Culture	?Que arte marcial nueva conocen o me podrían recomendar practicar?	N/A
20070105175959AAUfOWx	Society & Culture;Other - Society & Culture	How do I access my yahoo emails ?	N/A
20070110151026AABTP3I	Society & Culture;Religion & Spirituality	DIOS se llama ALAN o EDUARDO??	que opinan?
20070122110737AAJBXEO	Society & Culture;Religion & Spirituality	SI DIOS te diera a elegir en diez minutos????????	Entre salvar, a toda tu familia, a tu amada esposa, o a tu mejor amigo, que hubieras hecho vos????  Y si hubieras tomado    la decision equivocada???... Y si te hubieras pasado de tiempo para elegir, Que eleccion hubiera hecho TU DIOS ??????
20070122215507AAEq69m	Society & Culture;Religion & Spirituality	Preguntas Faciles??	1.-Edad:Cuantos meses es mayor Juan Bautista que Jesucristo??   2.-Que significa Eutico??    3.-En que capitulo biblico aparece esto: εν αρχη ην ο λογο? και ο λογο? ην προ? τον θεον  και θεο? ην o λογο? ?? (Pista evangelio de Juan)    4.-Del Nuevo Testamento Que libro tiene mas capitulos??      Ya saben el primero en contestar bn, gana la mejor respuesta
20070113220227AAvNBAr	Society & Culture;Religion & Spirituality	?Qué piensas de los iluminados o maestros?  Sabes de alguno?	En toda la historia han existido, aún en nuestros tiempos existen quienes van orientando hacia grandes verdades...
20070111192626AAkfReF	Society & Culture;Community Service	Para chavos?	?USTEDES COMO HERMANOS SON CELOSOS CON  SUS HERMANAS Y PORQUE?
20070126153513AAcn9qL	Society & Culture;Religion & Spirituality	?Podría existir Dios, sin el Diablo?	N/A
20061224175043AAIMSnw	Society & Culture;Holidays;Christmas	What should i get for my mom and dad? that i can make...?	i need some ideas of gifts that i can make them on short notice..
20070306184150AAeOEDc	Society & Culture;Religion & Spirituality	Don't the Mensas realize that the word "Mensa" is spanish for "stupid girl"?	N/A
20070117172926AARNgct	Society & Culture;Other - Society & Culture	No me haría falta preguntarles si soy apuesto porque lo soy,.. pero ya que estamos, ?qué opinan? :)?	.. este Filosofardi es un galán :)    Además es simpático, bueno y quiere a los ni?os.   Vaya!! ya me parezco a Batman! :)
20070305111237AAsGEnT	Society & Culture;Religion & Spirituality	?Por que en la Iglesia Catolica te Casan Hasta que la Muerte Los Separe?	Que acaso la Iglesia No cree en la vida despues de la muerte, acaso no cree que la familia es la base de la sociedad y que dios la Instituyo, y que es la base para el progreso de sus miembros, acaso en el Gloria Celestial no seremoso mas felices al lado de Dios con nuestras Familias. No sera una Discrepancia mas.
20070211192555AAk4rNq	Society & Culture;Other - Society & Culture	Que opinan de "happy tree friend" esos dibujitos tiernos que mueren triturados y destrozados cruelmente??	el programa lo pasan en MTV ....
20070125134413AArLrFf	Society & Culture;Other - Society & Culture	Mexicano, ?cuántos libros lees al a?o?	Siempre se ha puesto de manifiesto el bajísimo nivel de lectura que tenemos en México comparado con otros países y explicándose así el pobre nivel de conciencia que tenemos en este país. Por ejemplo, mientras que en EUA el promedio de lectura anual es de 28 libros, el promedio de lectura en el mismo período de tiempo, un a?o, en México es de 0.37. ?No llegamos ni a un libro! En EUA, la lectura se asocia con placer e inteligencia, en México la lectura se asocia con castigo o aburrimiento. Luego queda extremadamente claro el porqué en México hay tanta falta de…, de…, de tantas cosas en nuestro país. Falta entendimiento y todo lo que ello conlleva. Falta capacidad de comprensión, falta apertura mental, falta salir de la oscuridad, falta educación. Si quieres hacer algo tremendamente valioso por ti y como consecuencia por nuestro país.   Para ser sincero, mi promedio es bajo comparado con el de Reino Unido (40 libros por a?o), el mío es sólo de 17.   ?Cuánto lees tú?
20070222160153AAgHMQO	Society & Culture;Mythology & Folklore	Does anyone know a good official website about ghosts?	I know this is going to sound really weird probably but I need a good website on ghosts. Not yahoo, ask, google, dogpile, wikipedia, etc...... just like, yeah, you get it right???
20061203124634AA2mytk	Society & Culture;Religion & Spirituality	Do you want a god, or an afterlife?	CHOOSE: no side-stepping or excuses, you can have one or the other...lets just pretend anything you try to explain in the faults of having only these choices is just a lack of understanding of the way things are. Which do you want...A god, or an afterlife?
20070217112445AAiB5eS	Society & Culture;Other - Society & Culture	Have you ever wondered what people would think if you died?	Or killed youself. Like I wish I could be like that guy in Wonderful Life and theyd show me because I really wonder. Ever feel like that
20070315111907AAPLocO	Society & Culture;Religion & Spirituality	Who is the chosen one mentioned in isaiah 42?	that the inhabitants of the people where kedar(the son of ishmael) lived (arabia) will glorify God because of him?       I know, just wondering of people like JC Redding know.
20070307172433AAtvkhO	Society & Culture;Religion & Spirituality	Did God create all viruses in the "beginning" or did they evolve?, why and from what?	N/A
20061115091031AAbPPLE	Society & Culture;Etiquette	When losing both hands,,,?	do you still consider yourself right or left-handed with the abilities you still  possess?
20061213125939AAetyD8	Society & Culture;Other - Society & Culture	What is it with My Space?	Why do people act all hard on Myspace? It's so stupid when people try to act like there the **** on that stupid website but i personally think that they should grow some ball before typeing **** about other people.  Don't get me wrong i love that website cause it lets me keep in touch with old friedns and i love posting pictures.  But some people think that they can talk **** and when it comes to really stepping up they  run like little bitches.
20061120125505AAkUYvx	Society & Culture;Other - Society & Culture	Why do people always say that cheerleaders are stuck up snobby preps?	Everyone always says how preppy and snobby cheerleaders are. Well I'm a cheerleader and I AM NOT preppy or snobby. I think people think that, because maybe they are jealous that most cheerleaders are good looking, beautiful, and very educated.       I often notice that fat girls don't seem to like cheerleaders. I think because they look up to us, so they are sort of jealous of us too, and plus those type of people are usually from trailer parks, or apartment buildings so I could understand what type of environment they've been raised in to be hateful towards good citizens, also they make be jealous and want money because some cheerleaders have rich families. I'm not rich, but I'm like upper middle class, so almost rich, but not rich, but almost.       So when like people know that cheerleaders are good, why would they wannt keep hating us, even though most people do like cheerleaders, there is that group that hate us and they don't like us, so why?
20070122213719AAY46uA	Society & Culture;Religion & Spirituality	?Por qué si nos llamamos cristianos y criticamos a otros por no serlo, no seguimos el ejemplo de su vida?	Hemos sido capaces en estos tiempos y en tiempos pasados, de criticar, perseguir, esclavizar y hasta asesinar sociedades que sienten su religión de un modo distinto al nuestro. La más vil reacción contra miembros de otras religiones se da en estos momentos contra el mundo Islámico; estamos practicando la islamofovia.         Sin embargo cuando hay que utilizar el ejemplo de Jesús el virtuoso, amoroso y piadoso; nos es casi imposible acatar sus fundamentos y ense?anzas. Tantas vidas perdidas por nuestra cobardía.          Nosotros, los ciudadanos comunes en el mundo afines a las ense?anzas de Jesús, nos decimos cristianos sin la más mínima de reflexión, preferimos hacernos de la vista larga frente al atropeyo de diriguentes mundiales que utilizan la excusa de sus preceptos religiosos y su islamofovia para justificar nuestras atrocidades. La verdad es que hemos sido por generaciones milenarias, unos rarísimos cristianos, verguenza de Dios en los preceptos de la religión.      !Viva Jesus?
20070106120220AAAE8BL	Society & Culture;Other - Society & Culture	Que sexo es el mas fuerte el femenino o el masculino o ustedes que creen?	Que sexo es el que por ahora esta dominando el mundo y que piensan sobre esta pregunta?
20070124155952AAbh5gY	Society & Culture;Religion & Spirituality	?Qué opinan de esas canciones?	He escuchado canciones cristianas en ritmo de rap, ranchero, grupero, salsa y para mí se me hace una falta de respeto (con todo respeto para los que son cristianos) pues yo pienso que uno no puede estar rezando o pidiendo a Dios con ese tipo de estilos musicales... no se... a mí no  se me hace bueno eso... pero no se... su fundamento ha de existir, y me gustaría saber qué opinan o si les gustan, no les gustan... si saben por qué las hacen así... en fin... es solo por que tengo esa duda y pues esa opinión: a mí se me hace falta de respeto... Gracias por contestar... Saludos! ^_^
20070223143540AAlqKjh	Society & Culture;Etiquette	Para ustedes que significa una mujer inocente?	así como tal, el termino "mujer inocente"
20070110193344AA3ExTW	Society & Culture;Religion & Spirituality	Por que creen que jonas se avento al mar.?	por que se queria ba?ar,por que tenia calor, hambre o se queria morir.?
20070110193849AALJu2m	Society & Culture;Religion & Spirituality	Que habrá pasado con el paraíso,?	donde Dios puso a adan y a eva.
20070305205010AArQ2nR	Society & Culture;Other - Society & Culture	?Alguien conoce el origen del apellido Urias?	Creo que Urías antiguamente era nombre de mujer, pero ahora también es apellido, y creo que son gallegos, ?hay algún gallego que sepa algo de este apellido?, ?hay gente de otros países que conozca este apellido?, lo escriben con acento o sin acento: Urías ó Urias.
20070105051707AAsh9qy	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Why would someone reinforce negative stereotypes about their own people?	N/A
20070106103258AALdXJS	Society & Culture;Religion & Spirituality	Para las religiones  ke no creen en transplantes de organos.?	me di cuenta ke por ejemplo los testigos de jehova no creen en transplantes de organos ni en trasfucion de sangre...   un dia le pregunte a uno de ellos, el porke, y me dijo ke porke dios nos dijo ke respetaramos la sangre y ke no debiamos regarla.   en eso estoy de acuerdo, pero le dije, si Dios te da la oportunidad de ke cuando mueras puedas tu salvar una vida donando tus organos y si en vida puedas salvar otras donando sangre. porke no aprovechar eso?   y el testigo de jehova no me supo contestar.      ke chiste tiene, morir, ke tus organos se hechen a perder, o dejar morir a alguien ke necesita parte de tu sangre??????      de todas formas los gusanos se los comerán.
20061229023724AASu35Z	Society & Culture;Other - Society & Culture	What do you think?	If **** could ****, it would smell just like...
20070118172112AASaq5o	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	What would you say about.....?	the average age a person experiances there first same-sex relastionship?  I was also wondering do you think Homosexuals lose there virginity before or after there average age that straight people do?
20070228113928AAdr5B8	Society & Culture;Royalty	Las odaliscas de la antiguedad eran también una especie de esclavas sexuales?	N/A
20061229114628AANC8Wo	Society & Culture;Languages	How do you say "for you" in arabic???	for exemple bellow song lyrics.    thanks, ps: it's urgent!
20070122111653AAGEHXc	Society & Culture;Religion & Spirituality	?Qué tiempo tienes que no pones un maldito pie a la iglesia?	Yo, la verdad, tengo como 2 a?os sin asistir a la iglesia. Pero esta vez me hice de proposito de a?o nuevo a que ahora si asisto a la iglesia.
20061209150345AAdVj25	Society & Culture;Other - Society & Culture	Does anyone else find this to be interesting? (read for details)?	Have you noticed all the people from the UK and other countries insulting Americans and everything that has to do with the United States. They've got the audacity to call us arrogant, but yet you rarely see Americans insulting people from other countries on this forum. So, who's the arrogant ones here? Clearly it's not Americans.
20061208211245AAyemTB	Society & Culture;Religion & Spirituality	How do i get rid of my little brother? A>S>A>P?	he is soooo anoying i cant even be in my own room with him annoying me!! he always gets me in trouble also!!!!
20061127060601AATgZCk	Society & Culture;Languages	Tsk tsk! Slutty Youngins -_-''?	Is it just me, or does it seem as if kids/teens are getting (excuse my choice or wording) skankier, sluttier, and whoreish by the second?! I've seen 10 year olds wearing a cakeload of makeup and strutting their undeveloped bodies around in their mini skirts and tube tops. What do you think may have caused this ? (media, etc)
20070110153858AA5c4VR	Society & Culture;Religion & Spirituality	Sera verdad que existe la brujeria?	Ya he leido muchos mensajes aki y todavia me keda la duda sobre la brujeria, si existe. No entremos en religion ni nada de eso, porque entonces todo se vuelve mas complejo. Ni tampoko caer en las groserias. Kisiera saber si algun miembro de yahoo aki a tenido una experiencia con la brujeria y si se animan la cuenten. Gracias!
20070310082558AAYnVvz	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Que opinan sobre lo de cristian de rbd?	cren q le afectara su rebelacion.
20070127195336AA8tVKU	Society & Culture;Religion & Spirituality	What is mary's role in the passion and death of christ?	N/A
20061121133120AATdcZ2	Society & Culture;Other - Society & Culture	Rascist or discriminatory incident?	can anyone give me an esample of a rascist or discriminatory incident and sugest ways that the incident may be dealt with?
20061116172042AAs8W29	Society & Culture;Other - Society & Culture	Why do people fail to see that history is connected to current events?	N/A
20061121120848AAaIvAi	Society & Culture;Other - Society & Culture	Are Americans more raciest than other country's?	N/A
20061204052001AAGpjPp	Society & Culture;Religion & Spirituality	I have a toothache , what should I do?	Plz help me with a good prayer.
20061205164336AAD7ULm	Society & Culture;Religion & Spirituality	So...Really....What is sin to you?	Your child is starving and you pass an apple stand... would you not take an apple to feed your child?      A burgler enters your house....you have a choice...kill the m***** F******, or leave him to be... do what he wants to your family!       What would you do?   Would it then be a sin in the eyes of God?   Or do you think that the laws of God are not written in  black and white?
20061207125648AAGoJMi	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	I'm in love?	i feel ....something curios
20061208125145AAwbx6n	Society & Culture;Languages	J - O - N - A - T - H - A - N      What does that spell?	N/A
20061208144847AA8ok2y	Society & Culture;Other - Society & Culture	Instead of trying so hard to get into heaven, why not just create one here on Earth??	N/A
20061215203156AAEFnhx	Society & Culture;Etiquette	STALKER...You need an education in manners!!!?	N/A
20061215202801AAp0CGk	Society & Culture;Other - Society & Culture	I don't mean staying with a mate for life ..I mean knowing their young for life.?	N/A
20061215201705AAqqTu0	Society & Culture;Other - Society & Culture	Is there another animal other than ''the human" that stay with their off-springs for life?	N/A
20061213172503AATHNiw	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	It is TRUE that gay is inherited and homosexuals are born that way?	N/A
20061213222430AAhJVSW	Society & Culture;Religion & Spirituality	Giving gifts or cards to different religions?	Would it be inapproriate or disrespectful if I were to give gifts or cards to people who do not celebrate Christmas?  I just want to let them know that I'm thinking about them during the holidays or just being polite.
20061221152652AACx9dl	Society & Culture;Languages	Where can I find official translator(spanish to english) In Orange county in CA?	N/A
20061221155329AAg8r3N	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Why there is no museum for the oriental martial arts?	N/A
20061225034141AADEONb	Society & Culture;Holidays;Other - Holidays	What can i do to make my christmas season great?	N/A
20061227222751AAHQUB2	Society & Culture;Languages	French language?	i wanted to learn french language.is there any web site available for it?
20061231211443AAw7lhQ	Society & Culture;Other - Society & Culture	What do u think of cultures that?	have the man pay dowry to the girls parents before marriage..    lets say if u have an interracial relationship with a girl from this culture. u will still be payiing the dowry right?      just your honest opinion or anyone plz.
20070101182815AAn4C3w	Society & Culture;Languages	How long do you think it will take me to learn Russian?	I am fourteen.  Sort of self-teaching myself. dad speaks it but not too much. and uncle is fluent but he went to another country to visit. so if they helped me here and there  how long do u think i can learn it?
20070103163159AAZhUTY	Society & Culture;Other - Society & Culture	Which sorority betweeen the two is the best.......?	Choose ONE.   Delta Sigma Theta  or Alpha Kappa Alpha
20070105121002AAlanvg	Society & Culture;Religion & Spirituality	?Dejería de ser "Divino" Jesucristo si se fuese casado con Maria Magdalena?	Ante una serie de preguntas derivadas a raíz del hallazgo en Naghammadi de un manuscrito que presume que Cristo estuvo casado con Maria Magdalena surge esta pregunta que quiero compartir con uds...
20070106213443AAAb64G	Society & Culture;Other - Society & Culture	Why is the world the way it is?	N/A
20070107094143AA57gSN	Society & Culture;Religion & Spirituality	Dice la palabra de DIOS  de los incredulos, como bestias brutas se revuelcan?	de lo que si concoen, como entonces podran comprender  la magnifiscencia de DIOS , la cual no conocen?   estoy de acuerdo , hacen lo malo sabiendo hacer lo  bueno   que se esoera de esa gente soberbia? nada
20070107164122AA8HLw6	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Costco & Indians?	Everytime I go to costco I notice that Indian people have about 5 gallons of milk in their cart, is there some reason why they buy so much?
20070107131611AAbZzcI	Society & Culture;Mythology & Folklore	No sienten(algunas veces)cuando se acuestan a dormir..?	..que apenas cierran los ojos...sienten como si se cayeran??? saben q significara??
20070109124214AAIaG7f	Society & Culture;Other - Society & Culture	Si alguien ha tenido un novio que le lleve 19 a?os mas, por favor escríbanme?	N/A
20070228112939AAAU3ZE	Society & Culture;Religion & Spirituality	Los Restos de Jesus??????	Como ves que segun el discovery auspicio una investigacion que tardo a?os para concluirse.   Y resulta que su gran logro es segun ellos Haber encontrado los restos de Jesus, Maria, Magdalena y un supuesto hijo de jesus.   (judas).      supongo que ya oyeron.   de ser cierto   ?que sigue??   ?que pasara??      mas bien tu que harias????.
20070111175526AASRYeE	Society & Culture;Mythology & Folklore	Que significa tener un anillo en forma de delfin?	N/A
20070112164558AAdVXf2	Society & Culture;Other - Society & Culture	Como es el mexicano?	caracteristicas del mexicano
20070115155143AAndmVo	Society & Culture;Religion & Spirituality	What is the mahdi?	N/A
