20090220133731AAJWDO5	Pets;Dogs	How Cute is my puppy?	Here's my puppy... her name's Lexie. :D       http://s724.photobucket.com/albums/ww244... 
20090220122141AAZZWyb	Pets;Fish	Why is my female betta not eating?	I just got my female betta yesterday. I am planning on breeding them. For some reason the female wont eat the flakes or the pellet food. But it would eat live bloodworms. Does anyone know why it doesnt eat the food that floats on the top? And how could make it eat the food?
20090220133843AAFxd4X	Pets;Birds	Can ducks be given the same treats as chickens?	I was looking for treats to give my ducks, and all i could find was treats to give chickens. i was wondering if ducks could be given the same treats as chickens?
20090220134605AAzxMn3	Pets;Birds	My cockatiel is going to the vet...?	my cockatiel is going to the vet today and i have know idea what to use for him to travel in....
20090220135255AAlQ8cJ	Pets;Dogs	Tips on a german sheperd?	well im thinking about getting a girl german sheperd i herd that when its a puppy your suppsto introduse it to diffrent people,dogs and places is that a good idea? also about when will they start teething and should i give it a  toy when it stars biting furnicher,people...ect? also is it easy to potty train one? if you have anyother little tips that would be awsome this is my first puppy! thanks! :-D
20090220142451AAGjQ7b	Pets;Fish	Tank cleaner need help?	my tank was dirty and the fish wer trying to stay at the top so i added qwater of a cap of aquasafe by tetra and since theve been swiming so fast and iv found out its bad to add that stuff when there in the tank please reply fast
20090220142843AAt51mw	Pets;Fish	Will my Koi fish grow to be huge?	Now, obviously koi fish tend to be pretty big.      I just got a koi fish yesterday from the pet store, and its about two inches.      Will it grow to be the size of a real koi fish and live as long? (about 1.5 ft, 25 years)
20090220145105AAeVjPb	Pets;Dogs	How do I get my 4 month old puppy to stop peeing when my wife goes to pet him?	We are trying to house train him and it's been a rough ride. I'm always out at work, so my wife is the one doing most of the training. We got advice from our vet and he suggested the squirt bottle, and a rolled up paper just to make noise when we catch him. And it's been working, but now every time my wife wants to pet him a rolls on his back and just keeps squirting non-stop. HELP!
20090220145140AASZW0O	Pets;Rodents	I'm getting a baby bunny soon and my parents won't let it sleep in the house!?!?!!!  I don't want it to die.?	N/A
20090220151041AAvR7HF	Pets;Dogs	Dog breeding and the rules?  Who gets first pick -Ect?	I moved in a house with other house mates. I had moved my dog in and they told me there female dog had just got outta heat recently, so we thought it would be fine to wait a while to save up money to get my male fixed.       Well the female turned out to be preggy. She had her pups and about 2 weeks later my mom asked if she could have my dog, so I gave him to her (since he paid for him.) of course everyone told me I could get a new puppy. So I decided why don't I keep one of my dogs pups?       When then the household decided they didn't want any of that breed in the backyard. Okay... so we decided to find new homes for all the puppy's. So my step father called me and I told him he could come pick on up. (decided the biggest one would be best for him my step dad is a wonderful dog owner. So he was going to go to a good home.)       Then the "Father" of my household decided HE wanted to keep the biggest pup around. I was thinking I would be able to keep/name/train/ect the pup so we hid it from my step father and gave him another one.       Well as it turned out, the "Father" of the house wanted the pup, he now claims its "HIS" dog. This morning his g/f told me "Don't feed the puppy-hes doing special training with him."        Um excuse me?!       I'm a little offended. Normally doesn't the "male" owner get 1st pick and most the time they pick the biggest pup?
20090220151220AAlz440	Pets;Horses	Which do you like better?	I'm looking for a yearling filly to train and show in pleasure.    I show in a local circuit called WSCA, and there are Halter, Bareback Horsemanship, Western Pleasure, Western Horsemanship, English Pleasure, English Equitation and Driving classes at every show, plus the state fair and WSCA Champ Show. So my filly will hopefully be a great all-around horse, but we'll for sure compete in all the classes (probably not driving, but who knows). I'll also do some APHA or AQHA.       So here are two APHA fillies I'm looking at right now. I've gone to look at the buckskin filly, and have been talking to the owner of the other one. I took my trainer out to see her, etc. And I will have vet checks done. My friends have seen them too - I just want more opinions.       So here they are. :)        http://www.dreamhorse.com/show_horse.php...        http://www.dreamhorse.com/show_horse.php...       FYI : I'm buying a foal mostly because I'm looking for a training project. I am 16 years old, have plenty of experience and have the support and help whenever needed of my riding instructor who has trained several foals and started many horses under saddle. I'll be headed off to college in a couple years, so there's a 50% chance I'll sell the horse then.       Give me your honest opinions. :)    Thanks in advance.
20090220151928AAICe4W	Pets;Rodents	Guinea Pig information? :)?	Hi! I'm saving up to buy a Guinea Pig and i have a few questions about them. Please when answering these explain why. You don't really need to on the last question, though.   1. I hear that cats eat Guinea Pigs. True or false?   2. What do you think is the best line of cages for Guinea Pigs?   3. What DON'T they chew? :P   4. Homemade toys, good or a no-no? (toilet paper roll tubes, shoe box for hiding)   5. Are they messy animals?   6. Is it possible to keep them outside in a hutch?   7. Do they pee everywhere?   8. One pig or two pigs?   And last question..   9. What name do you like best for a female guinea pig out of these four: Hope, Monte, Peaches, or Delilah?
20090220151929AA7H0Ap	Pets;Reptiles	Which reptile...(I want something i can handle)?	Ok, i just want someone else's opinion I want a friendly reptile, that can handle a lot, I have a lot of experience and knowledge, so i could defiantly handle a hard reptile to keep.   I was thinking a bearded dragon would be best, but i would like a small Monitor.      I LOVE snakes. I like green tree pythons but i don't want to stress them out because i want something I can hold.   Thanks!!!
20090220152546AAb50M7	Pets;Other - Pets	How to tell if your rabbit is feeding her babies?	im not sure if she is, but they seem quiet, not meowing like they are hungry, but i need to know FOR SURE!!!
20090220153725AAQ9kRf	Pets;Dogs	Whats the best treatment for a dog with very dry skin?	I have a 1 year old newfoundland dog, I recently got him groomed and have just noticed that his skin is very dry and flakey.        I am thinking about starting him on codliver oil tablets but can you suggest anything else that could be more effective.      Thanks for your answer in advance :)
20090220153743AAlY3kR	Pets;Dogs	My dog has little bumps on his skin that make him itch a lot?	can someone tell me what he has and what i medicine i should buy because its not fleas
20090220153759AALs1i8	Pets;Dogs	What kind of dog is dougal?	dougal from magic roundabout
20090220154051AAcJF06	Pets;Horses	How Big is my round pen and how much should i ask for it?	I recently have gotten rid of all of my horses. I have a round pen that is a few years old that i want to sell. I have 11 10-foot panels, and 12, 12-foot panels & 2 gates. I was wondering what "size" it is like what to advertise it as. I've seen 40 foot 60 foot. I'm thinking mine would be bigger than that. And also i was wondering the price range if any one could help me out. It is in pretty good condition. a few slightly bent panels but overall in good condition.
20090220154143AAkuXJD	Pets;Dogs	My dog is 3lbs & ate chocolate ive tried peroxide & CANT take her to a vet. what do i do? will she be okay?!?	Okay, my dogs a few months old & she ate about 3 or 4 peices of valentines candy. she threw up but after i gave her water & peroxide so she can just throw the rest up. shes a bit jittery but shes calmed a bit. someone had told me to give her food to dillute the chocolate. Idk if that was the right thing to do. Theres no way for me to go too the vet, & i dont have ipecacs, what else can i do?
20090220154415AApVdO5	Pets;Fish	My gold fish has gone white.?	when i got my fish it was  orange now it has gone all white  but it's tail is still orange i have had it about three years it has lost it's colour over the last few months it seems to be happy and healthy is this normal as i have two Other fish in the tank with it and there still the same colour as when i bought them.
20090220154750AAsVCDa	Pets;Dogs	SAVE ALL THE ABUSED AND HOMELESS DOGS!PLEASE!!!!!!!!!!!!!!!!!!?	These dogs need our help! Please go on youtub and look at the abused and homeless dogs!It will change your life!
20090220155012AAO21iu	Pets;Cats	Can cats who have feline leukemia have an off-putting odor?	I'm a first-time cat owner.  I took two kittens that are leukemia positive from a rescue center.  They had lost their mother, and were put to nurse--in error--on a leukemia positive mommy cat, which is how they got it.      I'm new to EVERYTHING about cat ownership and cats, as I resisted getting any for YEARS due to allergies.  But my son wanted one desperately, and so I relented and stocked up on antihistimines.  But being new to cats means I don't know what's normal and what's not, or what might be due to the leukemia or not.      I've noticed that the cats often stink, like they've been rolling in poo, or haven't wiped their butts.  Despite that smell, I know they nevertheless do groom themselves often, and so I wondered if maybe other cats have a subtle odor too.  Other cat owners I've asked have all said no, theirs don't smell after they poo.  So I have to wonder--am I just especially sensitive to the smells of a cat, because I'm new to them?  Or could my kitties smell somehow because of their leukemia?        Spooky and Boo are sisters from the same litter, and are about 5 months old.  Spooky is much tinier than Boo, though.  They're in good health right now, other than the fact that Boo often gets weepy eyes.  In fact, Boo, more than Spooky, smells enough that I don't let her get on my lap, as the smell is that noticeable.  Spooky's smell isn't consistently there, and isn't as strong.  In both cases, but especially with Boo, the smell will persist even after having bathed them, which I do roughly bi-weekly to control allergens.  Boo has, in the past when sick, had an odd odor that we couldn't seem to identify the source of--couldn't tell if it was coming from her butt, the goop from her eyes, or her breath...sometimes it seemed like it was emanating from all of her, or that her fur stunk.  Right now I don't smell that, though--only poo.      I've caught Spooky on more than one occasion actually laying in the kitty litter, just hanging out...so that might be why they smell--but I honestly don't think it's something they do all the time.  And if that IS the culprit of the smell...do other cats do the same, and why????  Their kitty litter does get smelly very fast, and I've gone through kitty litter very quickly--more quickly than normal, I'm told.  Any feedback???
20090220155326AAezkg8	Pets;Horses	Can I use composite wood for a horse trailer floor?	N/A
20090220155353AAygRlW	Pets;Dogs	Small Dogs Big Nightmare?	What do you do when you have a very intelligent small dog who weighs less than 5lbs so when she's in trouble she knows where to hide where daddy cant get to her. Under the dining room table, under the bed, uneith the end tables...My question is how can you discipline a dog  you can't get to! I have blocked most of her entry ways into these places but I can't barricade my whole house! For those of you who have small dogs can you suggest to me what I could do about this. I know it's a difficult question but I have learned that if she does something bad that disciplining her 20 mins. later has no effect and at which point she doesn't understand why she is in trouble at that point. Any suggestion would be helpful.
20090220155822AAZqBgN	Pets;Dogs	Should i.....dog question.....?	i want to geta german shepard but everyone is asying not to    im a first time owner aand im 16 but they said they need an experienced owner can someone give me an insite
20090220155749AAY0lKn	Pets;Rodents	Guinea pig help easy ten points?	okay i cleaned out my piggies cage and when i got the cage it came with some carefresh soft bedding and it only had enough for when first put it in and i just used ripped up printer paper this time do you think she will be comfy with this??
20090220155653AAAWGCe	Pets;Horses	How do you... Basic question?	 http://www.youtube.com/watch?v=qbGkePHZg...       Teach a horse to do this? Thanks :)
20090203063739AAVwc3Z	Pets;Birds	Can anyone identify this bird from a description?	I have a pair of strange birds in my garden in Brighton, first noticed them yesterday.  Checked in the Book of British birds and found nothing, in fact I have never seen them before.  They are thrush/blackbird size, slightly longer and slender, brown coloured with a glow of pink/orange across the throat and top of the chest.  I will try and get a photo as this will help, but does anyone know what they could be?
20090220155827AAu6VCx	Pets;Fish	What should I put in a betta's bowl?	I want to know what to put in, including: decor, gravel, filter  (what type), plants, other fish, etc.
20090220155527AAfLEBh	Pets;Dogs	Am I cuter than my puppie?	 http://upload.wikimedia.org/wikipedia/co...    Please answer or I will report you!!!!!!!!!
20090220155746AA86jVA	Pets;Fish	Filters with flow control things?	What are some 20 gallon filters for my 10 gallon tank have a flow control thing.  http://www.aquariumguys.com/rena-smartfi...  This is the one I want, but does it have flow control?
20090220155554AAxefmD	Pets;Dogs	What interesting facts could you tell me about the beagle?Evryone claims they are stupid...are they?	idont like to judge any dog's by anyone elses opinion when they say they are stupid, but is that true or not?   thank youu.=)
20090220155705AANJzgL	Pets;Dogs	How much should i charge for dog walking and house siting?	I was asked by a senior cit to feed and walk the dog at 6am and3pm , misc such as watering plants, refilling humidifiers, laundry. the person recently broke their ankle and it unable to walk at the moment. Meaning that i would have to stay overnight. In the morning i have to wake up early and go  back home because i need to take my younger sister to school and then get myself to school. how much should i charge for taking care of the dog? how much should i charge for doing the other small tasks? I'm usually there at 8pm to help out with what they need to get done and leave at 630am. it's about three miles from my house not far but has made me have to change my plans that i've had planned, since they asked me to do so on spur of the moment. has asked me to charge but i don't know what is fair.
20090220155729AArmwOZ	Pets;Dogs	What is a good medium sized dog that does not shed much or does not have a foul odor?	I live in an apartment and am looking for a medium sized dog (no toy dogs) that does not shed much or does not smell too much.       I am also looking to adopt.
20090220155850AAt3Z0h	Pets;Dogs	Idk what kind of dog i have, where can i go to match it with a picture?	N/A
20090203063758AAgH2O9	Pets;Dogs	Potty training my puppy HELP!!!!?	My husband and I got a beautiful black lab puppy aboout a month ago.  When we got him he was already doing really good with paper training.  Over all he does pretty good about telling us when he's got to go outside. Sometimes he has an accident and goes on the floor and we stick his nose in it and smack him.  He gets rewarded with a treat for going outside and punished for going inside. However at nights we put him in a cage, and everymorning we take him out first thing.  But by then he doesnt have to go because he just goes all over his cage, poop and pee. How do I teach the dog that he has to hold it, and how do I get him to stop having accidents inside? Is there a trick to all of this?
