20071223135331AAUA8HJ	Entertainment & Music;Polls & Surveys	?Que haces en este mismo momento aparte de estar en YR??	yo voy a irme a comer
20090226124305AAieqXT	Entertainment & Music;Celebrities	Is Clinton Kelly from "What not to wear" gay or straight?	N/A
20090226121801AANlDub	Entertainment & Music;Television;Drama	Lost: who do you think is the bad guy?	I'm getting really confused lol. Is the bad guy Ben or Widmore ?      Ben still creeps me out but what is the deal with Widmore?
20090225105937AALtZS8	Entertainment & Music;Comics & Animation	Anyone out there who can draw Manga comics?	for not too much money (as im a student and have no real source of income)       im working on a project that i hope to get published but in orde rot do so i need comic strips of all the episodes i have in script. i have a very good review on the episodes.      Anyone interested?            If you are give me your email (actually type your email into your answer as i cant send them over yahoo answer) XD
20090225111423AAgYKzg	Entertainment & Music;Movies	What did you like about the movie TITANIC?	Explain what you found likable about the movie.  Please respond only if you saw the movie and actually enjoyed it.  Thank you.
20090225110330AAHUuMH	Entertainment & Music;Polls & Surveys	Favourite Canadian band/artist?	At this point in time, mine would probably be Wintersleep.
20090226124825AAN32O5	Entertainment & Music;Horoscopes	Poll:what year were you born?	N/A
20090226123133AA93mxN	Entertainment & Music;Music;Rap and Hip-Hop	Going to a concert question?	well im a huge Hollywood Undead fan and they are coming to NY i want to go to the fillmore at irving plaza they play there march 10th but im 15 and it says 16+ i mean i know i could pass for 16 but do they ask for ID and i dont have any older sibling as it is just my little brother and mom and i dont really want her to go so is it a safe area to ride the subway back to metro north to my housesince the concert will be over at night (starts at 7) thanks really want to go too
20090226124338AAlu2nj	Entertainment & Music;Music;Rock and Pop	R&P: Are you aware??!!?	Hey there!      My friend introduced me to something awesome that I was unaware of. 'Tis called Pandora Radio and it's the coolest. You may already be aware of it.      You go to www.pandora.com and you create your own radio station. You can put in artists and songs you like and it'll play stuff it thinks you'd like too.       It's given me some really great stuff that I'd never listened to before. I'm really enjoying it, even currently as I write this, and I felt the need to share it with my lovely friends in R&P : ] Check it out.      BQ: Today I have to go watch the boys on my swim team compete in the State Championship meet. I would much rather not go. When's the last time you were forced into something you would much rather not do?      BQ2: Favorite picture of your favorite band/musician (please post links!)      Thanks : ]
20090226123111AAbZBAg	Entertainment & Music;Television;Talk Shows	What TV show is it that has a woman singer that sings for that show?	N/A
20090225111421AAkiAR5	Entertainment & Music;Music;Lyrics	What is this song? Lyrics included?	"hey hey ladies"   "she's got a gold tooth, you know shes hardcoore"   "your old lady left you and you went insane"         They play it on the buzz all the time.   The "hey hey ladies"   Is like, 2 guys saying it back and forth.
20090226121503AAhR7WC	Entertainment & Music;Comics & Animation	How come there's more boys than girls who like DC and Marvel?	theres 3 out of all my friends who are now 13 who are weirdly obsessed with superheroe stuff. I mean I still watch teen titans! But there's more boys than girls who watch it any explanations why?
20090225110505AA9dMIz	Entertainment & Music;Television;Reality Television	Biggest Loser!  What happened last night?	I missed it and my DVR is ridiculous!  It didn't record it!
20090226121057AAuoVBY	Entertainment & Music;Comics & Animation	Bleach episode download?	I'm trying to download some of the episodes from the anime Bleach. I'm making an AMV so i kinda need them to be on my computer, so the response "buy them," is not an option. ;3; also, bleach Exile doesn't have them anymore, so they don't work. anyone else know a good place to get'em?
20090226125154AAtKHyA	Entertainment & Music;Movies	Who is worse at acting: Keanu Reeves or Winona Ryder?	N/A
20090225110531AARSMoU	Entertainment & Music;Movies	Name five of your favorite movies?	Please share, why do you like 'em?      In no certain order, these are five of my favorites.         Into the Wild- Emile Hirsch is one of my favorite actors. And that movie is simply beautiful. Makes me cry every time.      The Weatherman- One second you're laughing, the next second you're crying, and throughout the entire thing you're thinking.      The Prestige- It's beautifully filmed, and a very original idea. The script is also really great.      Fight Club- It's been one of my favorite books for a very long time, and the movie follows the book almost to a T. Plus, Brad Pitt, Helena Bonham Carter, Ed Norton... David Fincher. How can you go wrong with that?      Big Fish- The movie is pretty. The acting is great. The writing is really nice. There's something about the whole thing that just makes me happy. Plus, if you read the book... and then see what Tim Burton did with it, it's amazing.
20090225110914AA2gROq	Entertainment & Music;Television;Soap Operas	Does anyone remember ena sharples and minnie caldwell?	i bought the boxed sixties set, must admit i find it really enjoyable to watch, its a sort of space in time, what do you think
20090226121948AAEcJ0i	Entertainment & Music;Music;Other - Music	What song is playing in the video?	 http://video.msn.com/dw.aspx?mkt=fr-ca&b...       I've tried searching the lyrics in Google, but have had no success. I was thinking maybe it is a Beatles song just because the video is of Abbey Road, but I could be wrong.      Any ideas?
20090226121450AAxQcmU	Entertainment & Music;Music;Other - Music	When i download the song.....?	i downloaded the song warrior by kid rock from the national guard website..... now ummm i feel dumb asking this but where did the song go after i downloaded it? to my computer or what?
20090226121128AAwL4mC	Entertainment & Music;Music;Other - Music	What is the price range for acoustic guitars?	and just general information on different makes and your personal opinions on them.
20090226121750AAqYhAa	Entertainment & Music;Television;Soap Operas	Was it just me or did tanya in todays enders?	look really gorgeous, but my fave enders girl (Stacey) had me drooling when she said to mo that she had boxes of edible knickers in her room
20090226124827AA4fRVG	Entertainment & Music;Music;Rap and Hip-Hop	Recommend me some............?	I'm bored and i need some new songs to listen to.         Recommend me some good Rappers/Songs you think i don't know or dont listen to ....maybe some underground ...         RHH: Whats your favourite song by Wu-Tang ?
20090226125019AApVA70	Entertainment & Music;Polls & Surveys	What's the name of the song from the Garnier Fructis commercial?	The one that goes "woo woo"    hahaha :]
20090225110156AARucWQ	Entertainment & Music;Television;Reality Television	I missed the Biggest Loser Last night..?	Is there anywhere on line that I am able to watch it?
20090226122207AABdZ0e	Entertainment & Music;Polls & Surveys	Who's hotter Kristin Kreuk or Megan Fox?	if you don't know who kristin kreuk is she plays on the tv series smallville the girl who clark kent likes      i'm going with kristin kreuk cause shes hot and cute at the same time ;)
20090225111815AALLywM	Entertainment & Music;Polls & Surveys	Is it cloudy or almost raining or raining in your state/country?	here in San Francisco CA, Is very cloudy it think we have a chance of rain.
20090226122547AAVUqWX	Entertainment & Music;Music;Singing	Will i have a good view of the stage?	i am goin to a concert in the lg arena in birmingham and will be in block 5 will i have a good view of the stage?
20090226123431AAoAvrY	Entertainment & Music;Celebrities	Jonas brother 3d concert showings?	on satrday me and my friends are gonna go see the new jo bro movie but i cant find the movie theatres website, we will go to the 20 mile high stadium in parker co. can any one give me the web adress or tell me the show times?
20090226122708AAq0V56	Entertainment & Music;Celebrities	About chris brown????????	what exactly happened between chris and rhianna      also what is rhianna's last name?
20090225111237AAENtXF	Entertainment & Music;Polls & Surveys	Poll: What country are you from?	and what age are you?
20090225110658AAPuaGW	Entertainment & Music;Music;Rock and Pop	Which band is better? Led Zepplin or New Kids on the block?	and why?
20090225111108AAOucWQ	Entertainment & Music;Television;Drama	Emmerdale Farm Question..?	Why does Edna wear a hat all the time in Emmerdale farm.?
20090226122658AAn7YP3	Entertainment & Music;Polls & Surveys	Do you hate it when someone becomes a contact, but they don't allow email?	N/A
20090226123233AAoyefU	Entertainment & Music;Polls & Surveys	Things not to say to a blind person?	N/A
20090225111809AA6YwOp	Entertainment & Music;Television;Drama	Desperate Housewives question?	Ok im playin the PC game for desperate houswives and im on episode 9 when i need to call daniel to warn him wat is daniel number nd the game and how do i get it.
20090226121353AAL22iZ	Entertainment & Music;Music;Rap and Hip-Hop	Which new rapper do you have the most expectations for?	I have listened to rap for 4-5 years now but just got really into it this past year and a half. Almost all of the newer rappers ( Blu, K'naan, Wale, U-N-I, Kid Cudi, Drake, B.o.B. etc..) are really good. Have other years had this strong of newer rappers?       Oh, and my favorite so far is K'naan.
20090225110554AAHffa1	Entertainment & Music;Other - Entertainment	2 GIRLS AND 1 CUP!!!!! (WHERE CAN I FIND IT?)?	I need to do it as a prank on my sister who is coming in town!!!!!!!!!!
20090226124433AAd0lh9	Entertainment & Music;Polls & Surveys	*Harry Potter survey*?	I've been reading Harry Potter again and I want to make a little survey for fun. And I don't think its nerdy and even if it is, so what?!      1. How many siblings does Ron have?   2. What are the Deathly Hallows?   3. Where did Voldemort intend to hide his locket/horcrux?   4. What is Harry's owl's name?   5. Who does Harry marry and how many kids does he have?   6. Who killed Dumbledore?   7. What does Harry see in the Mirror of Erised?   8. How is Dobby the Elf freed?   9. How does Snape die?   10. Who did Voldemort kill first, Harry's mother or father?      :D
20090226124913AAFhdVD	Entertainment & Music;Other - Entertainment	HELP ME!! HELP ME!! fnewkjbf?	im being smacked to death by wild flowers from the lagoon!!!!
20090226122928AA8IfQM	Entertainment & Music;Movies	Is "He's Just Not That Into You" worth paying to see?	If you've seen this movie, was it worth paying to see?
20090226121410AA2Exyj	Entertainment & Music;Television;Reality Television	American idol top 12?	How does the voting work this year?   3 from each group get chosen.. but then thats only 9.      do the judges choose the other 3?
20090226121157AArTUrN	Entertainment & Music;Polls & Surveys	If you're so funny, then why are you on your own tonight?	N/A
20090226124648AAP1ucI	Entertainment & Music;Jokes & Riddles	Heard the joke about the Taxi Driver?	A passenger in a taxi leaned over to ask the driver a question and tapped  him on the shoulder. The driver screamed, lost control of the cab, nearly  hit a bus, drove up over the curb, and stopped just inches from a large  plate glass window.    For a few moments everything was silent in the cab, and then the still  shaking driver said, 'I'm sorry but you scared the daylights out of me.'    The frightened passenger apologised to the driver and said he didn't realise a mere tap on the shoulder could frighten him so much.    The driver replied, 'No, no, I'm sorry, it's entirely my fault. Today is my  first day driving a cab. I've been driving a hearse for the last 25 years..
20090226122058AA6MIkw	Entertainment & Music;Music;Rock and Pop	Is the Metallica tour coming back to the United States?	N/A
20090225111202AAkOrYV	Entertainment & Music;Polls & Surveys	How long have you been pimpin'?	N/A
20090226124716AAXzRrW	Entertainment & Music;Music;Lyrics	Song....lyrics?????/?	hi ok so theres this song that goes like " all my life..ill be with you forever........cause you keep me from fallin apart..." i really like it whats the song & whos it by? thanks!
20090226125014AAdZiSv	Entertainment & Music;Music;Country	Keith Urban and Nicole Kidman what hurch on Christmas morning?	There are photos of Keith Urban, Nicole Kidman, and their daughter going to church on Christmas morning. Does anyone know which church or service they went to?   thanks!      here's the pic(s):        http://justjared.buzznet.com/gallery/pho...          no nasty comments please!
20090226125023AAuuWzQ	Entertainment & Music;Music;Rock and Pop	Guitar speed building exercises?	What exercises are good for bulding speed and technique with electric guitar?
20090226122709AAZoPi4	Entertainment & Music;Polls & Surveys	What does it take to be all that you can be when the struggle to be that keeps increasing?	N/A
20090226123553AAvZlRf	Entertainment & Music;Polls & Surveys	Can a relationship survive when partners aren’t financial equals?	N/A
20090226124004AA0fcY0	Entertainment & Music;Polls & Surveys	How do you think the innocent feel over in Iraq?	N/A
20090226122014AAdckDd	Entertainment & Music;Television;Comedy	What TV show started great but then got much worse?	What is your favorite example of a show you loved when it came out but then it just got worse and worse in your opinion?  Here are 3 of mine:      1.  The Simpsons - one of my favorite shows up until about the year 2000.  The writers changed and it just wasn't clever anymore.      2.  Arrested Development - The first season is a work of art.  Then about halfway through the 2nd it just got too silly.  I'd say it fell off right when Buster lost his hand.      3.  Sealab 2021 - The first season is brilliant.  Everything else is unwatchable.
20090225105939AAdcL1y	Entertainment & Music;Television;Drama	Question for Degrassi fans...?	Does Darcy ever tell her parents that she was raped? I know that she fessed up to lying about Mr. Simpson, but then her parents sent her to that troubled teen camp thing and then they seemed to have dropped the story line. Somebody said that she did tell them...when was this?
20090226125037AAbMwxZ	Entertainment & Music;Music;Singing	Do you like my singing voice?	 http://www.zshare.net/audio/55984398bad2...       it's me singing a good Soul song
20090226122120AA65PbI	Entertainment & Music;Celebrities	Richie Sambora fans. Help?	Do you know if this book is rare?       http://cgi.ebay.co.uk/Original-Richie-Sa... 
20090226124051AA3RSMo	Entertainment & Music;Music;Rock and Pop	Who do you like better: John or Paul?	In my opinion it's a tough call. John really killed on the early R&B material, and stuff like Strawberry Fields Forever is a masterpiece. However Paul is undoubtedly an awesome musician, and for anyone who thinks he was the easy-listening Beatle, there's always Helter Skelter.
20090226125018AAk95kB	Entertainment & Music;Polls & Surveys	Omg..! Who hates their co-workers?! Agh...?	I hate this girl name Mindy and Laurie total SNITCHES..!
20090226124141AAckgd2	Entertainment & Music;Music;Other - Music	Want some more songs??	Hello!      Looking for any songs along the same line as Breakeven by the Script, I loved it as soon as I heard it when Miss Mason entered the school in Waterloo Road, it just made me cry - I want something along that sort of lines. Don't care whether it is about love or not but I want meaningful lyrics you know? No Evanescence please already tried all their stuff.       Links would be great too      Thanks
20090226121110AAd4wuK	Entertainment & Music;Celebrities	Does anyone feel Harvey Levin is a little annoying?	N/A
20090226124058AAK36nn	Entertainment & Music;Jokes & Riddles	DADDY OR CHIPS !!!!!!!!!!!!!!!!?	WELL ????
20090225105825AAXWubc	Entertainment & Music;Television;Other - Television	Watching tv on your pc free is legal in Tacoma WA?	Is it legal to watch TV on PC in Tacoma WA?   What is the best way to watch it for free?
20090225111137AAvP40S	Entertainment & Music;Music;Rap and Hip-Hop	FRUITY LOOPS QUESTION(DRE)?	What is a good piano that sounds like his like a vst plugin tho or a piano on there that you can adjust
20090226121123AAlC8aD	Entertainment & Music;Polls & Surveys	Do you write in a journal? If you do what do you write about?	If its a no, alright. If yes, then what do you write about. Do you write about your day or just the major events that happend or prayers and thoughts? Thanks, just wondering if everybody did what I do!!
20090226123413AAQz0a5	Entertainment & Music;Music;Other - Music	Where can I download virus free Asian music?	Korean, Taiwanese, & Thai Music.
20090226123445AAPuaD9	Entertainment & Music;Movies	Gran torino, quality film or not?	i thought it was clint at his best..
20090226124526AAYUF7r	Entertainment & Music;Music;Other - Music	Does anyone know about mixing songs?????????	When speeding up tracks on mixing programs how do you make sure that the song is exactly the right tempo/pitch that will sound good? Ive tried lots of different pitches/tempos but I cant decide which sounds best! Im trying to make a regular dance song into more of a hardcore track. Is there any specific formula or anything?
20090226121458AAbZPAb	Entertainment & Music;Jokes & Riddles	What do think about this?	...if i were a dog - even just for a day - id bark out the bed in the morning and have my dog food - drink water with the dogs....and chase after lady poodles - i could relax and play ball all i wanted cause my dog mates stick up for me - if i were a dogggg!!!!!      i think i could understand!! i could be the dog of the house id swear id be a better dog...id play ball with her!! i could be taken for walkies and have my doggy snacks afterwards..if i were a dog...      i would wee near the lamp post, i would bring along my dog bone and look show off the the others...      id put my slef first, and make the woofs as a go, cause i know that my woner would be faithfull waiting for me to come home....come home!!!      if i were a dog!!!!! i think i could understand woo   oooof    woof!!!
20090226121440AAhS9aE	Entertainment & Music;Television;Drama	Where can I watch Heroes Series 3 Episode 13 and above?	Yer that
20090225111301AATxpWz	Entertainment & Music;Polls & Surveys	Are you happy.......?	I AM!   :)    but are you?
20090226123711AADQ3pS	Entertainment & Music;Movies	What is the movie with the two  "mentors"?	Its a fairly new movie, I believe it came out in 08. I dont remember which actors are in it. But its 2 guys that like mess up and are required to "mentor" or be "big brothers" to some kids....WHAT'S the movie!!?
20090226123800AAumDzt	Entertainment & Music;Celebrities	Does Gwenyth Paltrow look pasty lately?	N/A
20090225110244AAqHwZL	Entertainment & Music;Jokes & Riddles	Today's joke from the Scoobster?	Two builders go into the pub after a hard day's work. They're sat drinking for a while when a very smartly dressed man walks in and orders a drink. The two began to speculate about what the man did for a living.   "I'll bet he's an accountant." said the first builder.   "Looks more like a stockbroker to me." argued the second. They continued to debate the subject for a good while until eventually the first builder needed to use the toilet. On walking in, he saw the smartly dressed man standing at a urinal.    "Excuse me mate, but me and my friend have been arguing over what a smartly dressed fella like you does for a living?" the builder said to the man.    Smiling the man replied, "I'm a logical scientist."   "A what?" asked the builder.   "Let me explain" the man continued, "Do you have a goldfish at home?"   A bit puzzled, but intrigued the builder decided to play along, "Yes, I do as it happens."   "Well then it's logical to assume that you either keep it in a bowl or a pond. Which is it?"   "A pond" the builder replied.   "Well then it's logical to assume that you have a large garden." The builder nodded his agreement. So the man continued, "which means it's logical to assume you have a large house."   "I have a 6 bedroom house that I built myself." the builder said proudly.   "Given that you have such a large house, it's logical to assume that you are married..."    The builder nodded again, "Yes, I'm married and we have three children."    "Then it's logical to assume that you have a healthy sex life."    "Five nights a week!" the builder boasted.    The man smiled a little, "Therefore it's logical to assume you don't masturbate often."   "Never!" the builder exclaimed.   "Well there you have it" the man explained, "That's logical science at work. From finding out that you have a goldfish, I've discovered the size of your garden, all about your house, your family and your sex life!"    The builder left, very impressed by the man's talents. On returning to the bar the other builder asked, "I see that smart bloke was in there, did you find out what he does?"   "Yeah," replied the first, "He's a logical scientist."   "A what?" the puzzled second builder asked.    "Let me explain" the first builder continued, "Do you have a goldfish at home?"   "No" replied his mate.   "Well, you're a wank3r then!"
20090226122637AAZqxir	Entertainment & Music;Music;Country	Is Taylor Swift opening for Kenny Chesney or co-headlining with him?	I believe she has her own tour at the beginning of the summer but on the end she's going on tour with Kenny Chesney.  Just wondering because I like her but don't really know him, but the only time she's coming close is on tour with him.
20090225111028AArUAI3	Entertainment & Music;Music;Lyrics	What is that Japanese song from Southpark?	I think it's in the episode where they get ninja weapons or something and it goes like      Hey hey lets go, blablabla, blablabla caress my balls, blablablabla and its all like Japanese and then random bits like "caress my balls" and stuff?      What is this song? Instant 10 points goes to someone who can give me a youtube link.
20090226122101AAQXHDy	Entertainment & Music;Television;Reality Television	Was anyone else sickened by the show "My Super Sweet 16"?	That show really made me sick to my stomach. These spoiled rotten kids start throwing tantrums because their parents got them a mercedes instead of a jaguar and these parents would just take it. WTF? Like robots, they give into their kids demands and give them what they want. I'd hate to see what kind of adults these kids are going to turn into.
20090226124636AAg6ZzA	Entertainment & Music;Other - Entertainment	We are going to someones house Saturday evening?	We are all contributing to the food, is that enough or should I bring some sort of little gift for the hostess?
20090226123346AAWSApW	Entertainment & Music;Movies	Name of Movie, White rapper goes to the hood to buy drugs ?	I've seen this movie about 4 years ago and loved it. Cant remeber the name now.   This White dude hangs out with his 2 friends.They all live somewhere with a lot of farms so its not a big city. They are all wiggers and tryin hard. The dude guy sells drugs at these parties that he goes to. They have a black friend who knows some drug dealer in a Ghetto in a City somewhere so what they decide to do is go to a Ghetto to get some more Drugs. While there, the black guy who brings them to the Ghetto drug seller gets shot for bringing 3 white kids there.      They all go back to their home town, scared, screaming at eachother and thinking about life. At the End the white kid is sitting in his barn house rapping about life.         Would love to get the name of that movie.. Cheers
20090225111050AAKTQto	Entertainment & Music;Television;Soap Operas	OLTL:  If Bo is David's dad, then who is Asa's son the fortune is left for?	N/A
20090226121807AAtK0xL	Entertainment & Music;Polls & Surveys	Have you ever asked a joke question that incited hate mail?	N/A
20090226123240AAEOcEF	Entertainment & Music;Celebrities	How do you feel about.....?	wendy richards ( who played pauline fowler on eastenders)   dying of cancer today      r.i.p :( its very sad   she was only 65 !!
20090225111513AA5IGye	Entertainment & Music;Television;Other - Television	Lost series question?	I dont remember in which season of the series Lost but I saw an episode that they reterned back in their lifes and someone wanted to go back to the island...but why he wanted that??      Thank you!!
20090225110705AAL6nS8	Entertainment & Music;Music;Other - Music	Is Positively 4th Street the best "go to hell" song ever written?	N/A
20090226125142AAxYSJZ	Entertainment & Music;Music;Other - Music	What is the best song for a song that is about best friends breaking up?	PLease no fast songs!
20090225111749AAdWR84	Entertainment & Music;Television;Drama	Did you watch the new Bad Girls Club episode lastnight?	What was your take on it?
20090226121059AAc4WCt	Entertainment & Music;Jokes & Riddles	Do u like these jokes?	joke 1   the phone at the local hospital rang, and the duty medic picked it up to hear a man speaking frantically on the other end. "my wife is pregnant and her contractions are only two minuets apart!" he babbles   "is this her first child?" the docter asks   "no, you idiot" the man shouts "this is her husband"      joke 2   A womanizer dies and goes to hell for his sins. He'sgreeted by the devil, who tells him that he has the choice of three rooms for his eternal stay. asking if he can veiw the rooms before he decides, the man is led to the first room. he opens the door to discover a million people standing on their heads on a concrete flore.   " i dont like the look of that" says the man. "i want to see the next room" so saten leads him to the next room. when they reach the second room, the man opens the door to see a million people standing on their heads on a wooden floor   " no that's not for me either," he says, shaking his head. eventually they reach the next room, and the man peeks around the door to find a million people standing Knee-deep in ****, smoking fags and drinking coffee. despite the atrocious smell, he decides this is the best option and tells the devil of his decision.   but 5 minuets later, the devil returns, claps his hands and orders "ok, you lot. coffee breaks over. back on your heads"
20090226122020AAPLoCP	Entertainment & Music;Movies	What is this film, bus cant below 50 mph or blows up?	What is this film, bus cant below 50 mph or blows up?
20090226124352AA6UVoa	Entertainment & Music;Polls & Surveys	What emboldens you..?	Good friends and a bottle of wine...
20090226124424AAu40lr	Entertainment & Music;Jokes & Riddles	Ain't no fool no siry gonna live to be a hundred and three!?	Who Said  it  ?
20090225105903AAoHzMN	Entertainment & Music;Polls & Surveys	When riding in GCG’s, Kia I noticed it shutters when I steer her to the left, what could it be?	N/A
20090225111357AAGxSHG	Entertainment & Music;Television;Soap Operas	Y&R-Who thinks Lily will be pregnant with Billy's baby?	How will that affect Cane. Thanks for answers...
20090226124939AAfVGtd	Entertainment & Music;Music;Rock and Pop	Come Out And Play.....?	By The Offspring, What the heck is it about???
20090226123558AAv5mAr	Entertainment & Music;Polls & Surveys	Do You Believe In The Grim Raper?	N/A
20090226123233AAxB4Gx	Entertainment & Music;Polls & Surveys	Who In The World Is NunzioZ?	N/A
20090226121803AASQ821	Entertainment & Music;Polls & Surveys	Which is better: Coca-Cola or Pepsi?	N/A
20090225111724AAlP5Kl	Entertainment & Music;Movies	ARE YOU EDWARD CULLEN!??!?!?!?	N/A
20090225111219AAzPpZf	Entertainment & Music;Music;Other - Music	BEST BAND IN THE WORLD?	LIKE, EVER?
20090226121622AAq1gCs	Entertainment & Music;Movies	What do you think of my new short film?	A mysterious man appears in a woman's house.  Take a look at this thought-provoking suspenseful drama which will keep you on the edge of your seat the entire time.         Please take a look at our newest film which I had filmed with my brand new Canon HV20 with cinemode and 24p enabled.         Enjoy (:       http://www.youtube.com/watch?v=N-lZzU3x7...       Please subscribe, It would mean the world to the entire cast.      Thanks
20090226125133AAmygMZ	Entertainment & Music;Movies	Has anyone seen the movie "TAKEN"?	On a scale from 1-10 what do you rate it?   What did you think of the overall movie and why?      I myself thought it was an excellent movie. :)
20090226123859AA5IQAd	Entertainment & Music;Horoscopes	I'm a Libra what kind of person should I look for?	N/A
20090226122605AAnc7kx	Entertainment & Music;Television;Drama	Is this gonna be the last season of 24!?	:(
20090225111020AAS7KHj	Entertainment & Music;Television;Comedy	Question about Father Ted.?	Whats the name of the band and song that Fr Fintan Stack plays on his big sterio?
20090226124251AArqHjf	Entertainment & Music;Celebrities	What do you think is the height of Miranda Cosgrove?	N/A
20090226121729AA0da2Q	Entertainment & Music;Polls & Surveys	In Liverpool UK,,,,??	Are there more Drivers Driving with  or without insurance,,,,,,,
20090226124945AAzGwr3	Entertainment & Music;Television;Comedy	Leo Little's BIG show on Disney channel?	It is totally a new version of Mikes super short show! i love that they are bringin that same scenario(big bro and lil sis hosting a show) back!   what is everyones opinions on it? who are the kids in it and...just any other information you wanna answer here??
20090226122454AAW3hNn	Entertainment & Music;Music;Rock and Pop	Help!! whats the name of thsi song?!?	its been driving me nuts, does anybody know the name of a rock song that says something like "loving co- woah woah woah-old" in the lyrics?   it is NOT loving dead by ludo   and i heard it in Hot Topic   thanks!!
20090225111522AALywJ4	Entertainment & Music;Movies	Excessive Indian euphoria over 81st Oscar awards?	this may not be a Q, but nonetheless i want ppl's opinions. the fact is that there's excessive Indian chest-beating and ga-ga over SM's 8 oscar win. indians are falling over themselves to congratulate the white filmmakers and invite more white men to make movies over the ugly-dark side of India. let me dampen the spirits :      -oscars celebrate anglo-saxon film, not world films. the fact that the world is invited there has more to do with colonial attitude of anglos rather than achievements of other countries films.    -anglos believe that since their film industry is more profitable and has more investment than rest of world combined, they can dictate to the world what is good and not good. they believe they can judge the rest of the world's art forms b-c theirs makes the most money.   -America gained more by awarding oscars to Indians than India itself. Hollywood is trying to take over Bollywood, and 81st oscars are one step to that end goal. with all due respect to ARR, Gulzar, and Resul however.   -don't Indians realize that their country's image took a plunge due to SM? why are we happy over the fact that our ugliest side is being celebrated the world over?   -when will Indians makes films abt the ugly sides of UK and USA? just ask any black or latino man, they will gladly tell all.     -Indians will now not win any oscars for next 10 yrs, as oscars has a quota for rest of the world. India has filled its quota with 3 oscars on sunday nite. Indians shld quit dreaming of more glory, it will never come. sunday was bollywood's turn, next yr it'll be some other country.    -a mainstream Bollywood film will never, ever win oscar in any category b-c Hollywood wants to make sure that Bollywood will aways be its subsidiary and copycat.    -all awards are determined beforehand by some anglo-saxon big wigs and everything follows like military maneuvers. there are no surprises.       that's my 2 cents, now waiting for ur rxn.
20090226121810AAvK1ib	Entertainment & Music;Comics & Animation	Is there a second season of air gear?	well I've watched the 1st season 5 time and i want to see the second if there is one?
20090225110841AARrIwC	Entertainment & Music;Music;Country	Has anyone heard of the song F.C.P.R.E.M.I.X. by the fall of troy? i love that song!?	N/A
20090225111548AAZVvrd	Entertainment & Music;Celebrities	Oscar award 2009 winners?	does anyone have a list of the oscars for who won what or a link that will tell me, also where can i watch it in full   also was johnny depp or helana bonham carter there?
20090226121528AApJiPL	Entertainment & Music;Jokes & Riddles	What are some good you just got burned jokes?	evry time sum 1 insults me, i wanna have a good comeback, but i also wanna have a good you just got burned joke.. my friend told me one, it goes, YOU JUST GOT BURNED LIKE A MARSHMELLOW ON A CAMPFIRE! haha but anymore wud help alot :)
20090226123011AAvJlOO	Entertainment & Music;Comics & Animation	Where to find dbz hentai comics?	i found one a while ago android 18 trunks and bulma i think or vedel hentai comic in colour is there one you have to pay for but i can get it for free without downloading..it any sites to watch
20090226123234AA1jQqm	Entertainment & Music;Polls & Surveys	Why is it that when                  ?	you open a bag of multipack of crisps your favourite is always at the bottom of the massive bag ?   Whats your favourite flavour of crisps? Xxx
20090226122529AAAWS7X	Entertainment & Music;Celebrities	WHICH SHOW IS BETTER? GOSSIP GIRLS OR ONE TREE HILL?	ONE TREE HILL ALL THE WAY
20090226123332AANRL0S	Entertainment & Music;Other - Entertainment	Anybody have any good tickle stories?	ok so heres mine...   so i was at a party with my friends. and there was this one Group of guys there and if you say im ticklish or even the word tickle they will attack. but since i didnt kno this my friends dared me to say im extremely ticklish  which i am, and so right after i said they hey like flew across the room and pinned me down and ne of them screamed GET HER! so next thing i kno im pinned down on the ground being tickled, no mercy! it lasted like 2 hours and i was i pure pain!  at one point this kids goes i have an electric hair brush we can use to tickle her feet! im just like wat the heck...where do u even get ne of those?? it tickled soooo badly! when it was finally over my friends said they were sry and i did forgive....   after they got there turn!
20090226124534AAedKJu	Entertainment & Music;Music;Rap and Hip-Hop	Rappers have special names/sayings?	Okay, so i dont really know that much about rap. I only got into it last year, so dont laugh at me, i dont know that much...   But hasnt anyone noticed that in like ALL of T.I's songs he always says "Grand Hustle" and Jay-Z always says "Roc-A-Fella y'all". Biggie Smalls always (used to) says "Junior M.A.F.I.A." and so on.      So question #1. does anybody know why they do that?   and question #2. what other rappers do that.       Thanks
20090226121602AAB720Q	Entertainment & Music;Celebrities	Okay i love joe jonas but...?	okay im a jonas fan!!!, especially joe<33   but i dont get what "OJD" IS...            any other jonas-holics know what it means and can fill me in?      &+ JONAS FANS ADD ME TO CONTACTS!!!!!   :] im only 12-14 [ages!]
20090225110156AAJIjQM	Entertainment & Music;Television;Soap Operas	OLTL Spoiler/Question...?	I just read that a "familiar face" to OLTL and Marty comes back to town.  Since Thornsten Kaye (Zac, AMC and formerly Patrick of OLTL) is not resigning with AMC, does anybody think he will come back to OLTL as the presumed dead Patrick Thornhart? Cole really could use his father right about now, and he is also Susan Haskell's (Marty) significant other in real life.  What do you think??? If not Patrick, any ideas??? Marty didn't have any family...
20090226124121AAZnUgZ	Entertainment & Music;Polls & Surveys	Whats ur favorite color?	My favorite colors are carnation pink, sapphire blue, royal purple, and plain old beautiful white
20090226122455AAfPMnC	Entertainment & Music;Music;Lyrics	What song is this                   ?	"how long will this last of this storm come over long before we crash"      what song is this and who sings it?
