20090227102847AAILVOP	Education & Reference;Special Education	Ntse!!!!when is the ntse result for class 8 first level of this year coming out for the state of orissa?	when is the ntse result for class 8 first level of this year coming out for the state of orissa?
20090507123630AAopUzs	Education & Reference;Words & Wordplay	Word Trivia Question Please Help?	I am working on a word trivia for a project at my work. I have ran into trouble with a few of them I was wondering if someone would be willing to help me. The point of the trivia is to find a word that goes with the group of three words. So for example here are a few that I have figured out. The group of words was blue, cake, cottage, the answer was cheese. Blue Cheese, Cheese Cake, Cottage Cheese. Group of words motion, poke, down, the answer is slow. Slow Down, Slow Poke, Slow Motion. Does that make sense?  Here are the group of words that I can not figure out.   walker, show, plan   hop, side, pet   up, high, knife   bell, tender, iron   Thank you so much for your help!
20090310011641AAZJ3Tu	Education & Reference;Higher Education (University +)	What science is the easiest in collage please tell me form easy to hard with a lab?	what science is the easiest in collage please tell me form easy to hard with a lab
20090309235952AAHnUPJ	Education & Reference;Homework Help	Does the period come before the quotation mark or after?	." vs ".
20090227134322AACM6Wy	Education & Reference;Higher Education (University +)	Ph.D. in computer science?	I have a few questions:      > If i have a Ph.D. in computer science, what will I be certified to do?   > What is a good school to go to for a Ph.D. program in computer science?   > Tell me a little about a thesis in computer science. How long must it be? Can it be anything about the topic (computer science)? How do professors grade it?      Thanks to all!
20090227124504AAlQgM4	Education & Reference;Homework Help	Help with solving radicals.?	Simplify:   y^1/2 ÷ y^3/4      (√x - √7) (√x + √7)      Rationalize the denominator:      5x ÷ cube root√x^2      12y ÷ 3√y         Give answer in a+bi form:      i = the imaginary i   i^26 + 4      I know it's a lot but these are questions that I have tried and don't think I have a proper answer to.
20090227135511AARvqYC	Education & Reference;Homework Help	Neuron have long arms called.....?	Neurons have long arms. What are they called?
20090227142822AA40R8L	Education & Reference;Higher Education (University +)	Can I Double Major and Minor?	I would like to double major in Finance and International Relations? I also want to minor in International Business. Is this a good combination or should I change something? Also,is it possible to complete these in four years?
20090309235630AA9NoSO	Education & Reference;Trivia	NAME THAT SHOW// STARING CHUCK CONNORS?	TV SHOW FROM THE 60's son was luke,  chuck connors had a special gun
20090227130924AAuLMFR	Education & Reference;Words & Wordplay	CONFUSED about never/ever combined use in english,sorry for my poor english please help me to understand this?	"I have had many in my In Person LC Support Group range from 25 to 80 but many of them in the 25 to 40 range and they too never smoked or were ever around second hand smokers."      what the sentence shows about second hand smoking??were they around second hand smokers?
20090227130149AAExe5l	Education & Reference;Words & Wordplay	What does it mean for something to be ironic?	I'm puerto rican so I'm not 100% great at my english. Also give me an example of an ironic situation.
20090310013404AAqZAvr	Education & Reference;Higher Education (University +)	University of Toronto: Admission Question?	I have a question regarding U of T's admissions in the humanities/BA field.      I have an 83 average, and am applying into the humanities. They say that grades needed for this stream are "Mid to high 70's". Though, there may be a problem.      The first time I took my fourth year high school English course, there were some personal issues in my life at the time that contributed to me only getting a 68 in the class. Though, next semester I re-took the course and got an 83 in it.      Will this matter come decision time?      Thanks
20090227142432AArcFvc	Education & Reference;Homework Help	NEED HELP FOR SCIENCE FAIR PROJECT!!!?	the science fair for my school is coming up and i have not started my science project i need alot of ideas for it and please no VOLCANOS!
20090227141246AAalxer	Education & Reference;Homework Help	I need help with my 9th grade homework?	The monthly fee for basic telephone service is   $6.96.   What is the cost for 24 months of basic telephone service?   Answer in units of dollars.
20090310012642AAb2UvN	Education & Reference;Homework Help	PLEASE ANSWER: short story help?	i have an idea for a man and a woman to be unhappily married, the man wishes for his wife to be perfect. so he somehow changes her to be beautiful, and 'artificial'. how will he change her?  i don't know whether to make it sort of fantasy-ish and have him buy a potion or something to make her drink which will change her?
20090227135046AAJmP8b	Education & Reference;Homework Help	Help! TI-83 Calculator...where is yx?	x as an exponent....in my math book it says to use that to do 'to the power of' calculation and can't find it!
20090227115219AA6iuLM	Education & Reference;Standards & Testing	Does anyone know a good free online IQ test?	...
20090227131436AASt7nz	Education & Reference;Homework Help	What is a good name for a town in an animated world for this rich girl? help!?	i need this for homework. plese answer as soon as possible.
20090310005456AADqnRs	Education & Reference;Homework Help	Positives of mining????????	what are some?
20090227131117AAu60xi	Education & Reference;Words & Wordplay	Can you define the meaning of FAMILY for you?	N/A
20090227114600AAq4Q9K	Education & Reference;Standards & Testing	Has anyone taken this test before?	I will be taking the Customs and Border Protection Officer test and I am scared I will not pass. Can some one tell me if it is really hard and how long it is basically anything that can help me see what to expect. Oh and I have the study guide and it is ok I just need some one else personal experience with it.
20090310010311AAQomiv	Education & Reference;Other - Education	When your debating...................?	I have a debate tomorrow night. However, I am the third speaker for the affirmative team and have introduced a small ammount of new material in my six-minute speach. I have a 3minute rebuttal allowance, two minute summary and one minute of some new ideas and points. Is this allowed or will I loose marks?
20090227142031AAPNVSP	Education & Reference;Homework Help	Is 32" by 18" 4 square feet?	N/A
20090227135849AAiCf70	Education & Reference;Higher Education (University +)	What kind of degree do you need to get into human resources?	I am thinking about getting into the human resource field and was wondering what type of degree they have. Is it also necessary to get a masters degree if I want to move up or is experience enough?
20090310004918AAp7wC5	Education & Reference;Words & Wordplay	Who can make some sentences by using the word?	I have two word: as, lest.      Who can make me some sentences by using either of the two in a sentence, the more complicated the better? Also if you could use "as" to make sentences in each of which "as" has different meanings to the others?
20090310013722AAu9dCt	Education & Reference;Words & Wordplay	Does anyone know the bonus puzzle for the wheel of fortune 3-9-09?	N/A
20090310010414AAoTBs2	Education & Reference;Homework Help	What are the issues of the Philippine history?	N/A
20090310005006AABS2XE	Education & Reference;Words & Wordplay	Use the word "Pilot" in a sentence where it means LEADER and not captain of an aircarft.?	N/A
20090309200632AApoGzf	Education & Reference;Homework Help	Please Help, I need to Know this right Now, PLEASE?	1   What broad set of ideas was established by the work of Lamarck, Lyell, and Darwin?      A. Fixed (unchanging) species live on an Earth that is about 6,000 years old.   B. Life evolves through inheritance of mutations in DNA.   C Earth and its life are ancient and ever-changing; fossils document the evolution of life-forms over time.   D As shown by fossils, life evolves. All changes have occurred within the past 6,000 years the age of Earth.   E Life evolves through the inheritance of alleles that are passed down to offspring as particles.      2. Which of the following lists of assumptions was part of Charles Darwin's theory of natural selection?      A 1. Earth and its life are very old.   2. Populations produce more offspring than their environment can support.   3. Organisms vary in heritable ways.   4. Mutation rates were higher in the past than they are now.      B 1. Populations produce more offspring than their environment can support, so individual organisms must compete for limited resources.   2. Some traits improve the survival and reproduction of individuals who possess them.   3. There is little genetic variability.   4. Organisms vary in heritable ways.      C 1. Organisms vary in heritable ways.   2. Populations produce more offspring than their environment can support, so individual organisms must compete for limited resources.   3. Some traits improve the survival and reproduction of individuals who possess them.   4. Mutations directly cause the changes in species.      D 1. Some traits improve the survival and reproduction of individuals who possess them.   2. The strongest organisms will have the most offspring.   3. Populations produce more offspring than their environment can support, so individual organisms must compete for limited resources.   4. Organisms vary in heritable ways.      E 1. Organisms vary in heritable ways.   2. Some traits improve the survival and reproduction of individuals who possess them.   3. Populations produce more offspring than their environment can support, so individual organisms must compete for limited resources.   4. Earth and its life are very old.         3.An adaptation is _____.      A an individual's attempt to conform to its environment   B a heritable trait that confers a reproductive advantage on the individual possessing it   C a variable allele that changes expression in response to the environment   D a trait that is seldom expressed   E a characteristic that no longer has a function for the organism in its current environment      4. Which one of the following contradicts Darwin's views?      A Earth is about 6,000 years old.   B Many more offspring are produced than can survive.   C When breeders select for specific traits, these become fixed in future generations.   D Some individuals leave more descendants than other individuals.   E In a population of organisms, individuals differ from each other, and many of these differences can be inherited.      5.    A number of mosquito populations today are resistant to specific insecticides that once were effective in killing them. Biologists believe that insecticide resistance evolved in mosquitoes because _____.      A individual mosquitoes built up an immunity to an insecticide after being exposed to it   B mosquitoes needed to develop insecticide resistance to survive after the insecticide was used   C a few mosquitoes were probably resistant to the insecticide before it was used. These survived to reproduce and are now the norm in populations that have been exposed to the chemical   D mosquitoes just keep getting stronger the more we try to control them   E mosquitoes are exceedingly clever
20090310004943AATfKDy	Education & Reference;Homework Help	Budgeting task! Please HELP! TEN points for best answer!?	Hi. I'm doing a budgeting assignment and I have tried hard, but I can't get good answers. Could anyone please explain what a budget is, what tupes of income can be used in budget calculations (part time job, allowance, that sort of thing). Please add as MUCH detail as you can. Don't copy off Wikipedia. Ten points for best answer! THANKS!
20090310005701AAIxtaD	Education & Reference;Words & Wordplay	What song is this called?	The beginning of the song starts of with a piano, then some of the beginning lyrics are "Where you ganna run too." and then a bass comes in.      If helps, was used in the Christmas episode of Scrubs
20090227125520AAbWyse	Education & Reference;Homework Help	Who should I pick for my report?	I have a biography I have to do for english class. I can pick anyone I want. I can`t decide who to do. I want to do someone who is interesting and fun. I would like to do someone who changed the course of music or performing arts, but any opinion is welcome. Please help?
20090227124608AAg50iP	Education & Reference;Homework Help	In factoring for the GCF......?	1. 24, 81   2. 18, 66   factor:   1. 36   2. 81   3. -32
20090309193148AA8b2ju	Education & Reference;Higher Education (University +)	Which one is better...matriculation or university?	i don't want to further my study in medical or accounting(matriculation)...i would like to contribute in microbiology study( university) but my friends said i should not...what is the difference between matriculation and university?suggestion please
20090310005709AA62yd4	Education & Reference;Higher Education (University +)	Which college would a student who wants to study to become a neurosurgeon go in Cambridge University?	N/A
20090310000952AAH0SaM	Education & Reference;Other - Education	Academy of art vs. Fidm ..... which has a better interior design program?	N/A
20090310005701AArc4kD	Education & Reference;Other - Education	Next debate topic: ideas anyone?	debate topic: we should value literature more than science.   i just got the topic and looking for ideas or facts.   im affirmative but i would like arguments for negative and affirmative.   thanks. anything will help :)
20090227131625AADu3Ad	Education & Reference;Financial Aid	Student Tax Information for FAFSA form?	Can I leave the student information, based on a student's tax return, blank if I haven't had a job and don't have a filed federal income tax return? I just want to make sure.
20090310013121AAyInTB	Education & Reference;Words & Wordplay	What does it mean by using the phrase "with utter finality"?	i often came across such kind of phrases such as "with utter finality". what does it mean? can you explain the phrase in more plain words? thanx a lot!
20090310011558AArnVBr	Education & Reference;Homework Help	In a basket of mangoes & papaya,70%mangoes & 60%of papaya r ripe.if 40% of fruit in basket r mangoes,find?	a)find the % of the fruits which are ripe   b)find the % of the ripe fruits which are mangoes   Question STPM 2008   help please!!
20090227141747AALXTEY	Education & Reference;Other - Education	Brooklyn Tech and Stuyvesant?	Hey, I'm going to BT in the upcoming sep. and I want to know if they give out planners or books to write in our homework. And how about Stuyvesant? Does Stuy give out planners? I have a friend that's going to go there and she wants to know. Plus, if you have any other information about these two high schools (amount of homework, projects, teachers, classes, swimming, clubs, etc.) please tell me. Thanks.
20090227130800AAIFBzS	Education & Reference;Words & Wordplay	Hey Does Anyone Know Any Nicknames For A Girl Named Tristen? Thx Bye?	Anything @ All! Well For Tristen
20090227115308AAw6Z3h	Education & Reference;Words & Wordplay	Is there a plain english version of the lay of cid?	N/A
20090310012634AAlSuL6	Education & Reference;Words & Wordplay	Help me better understand this stuff please?	Identify the CAPS part of the sentence.      1. Mrs. LING is a talented teacher.   subject   predicate   direct object   indirect object   predicate nominative   predicate adjective      2. The gentleman handed the HOSTESS his coat.   subject   predicate   direct object   indirect object   predicate nominative   predicate adjective      3. Kyle threw a BALL to his dog.   subject   predicate   direct object   indirect object   predicate nominative   predicate adjective         4. The CAPITAL of Texas is Austin.   subject   predicate   direct object   indirect object   predicate nominative   predicate adjective      5. The main event WILL be a memory contest.   subject   predicate   direct object   indirect object   predicate nominative   predicate adjective      Thank you so much!
20090310013820AANUlRe	Education & Reference;Quotations	Need help translating a quote into latin?	"Two hearts, Two loves, One soul"      How would I go about putting that into latin?      Thanks!
20090310000429AAYEhQ6	Education & Reference;Other - Education	How can i improve my thesis statement?	I am writing a research paper for my biology 9-week. So far i have only outlined but this is the first thesis i have come up with, to say the least it's not very good and i am at a loss for anything better. ( i much prefer creative writing >_<)      the thesis: Adrenoleukodystrophy (ALD) is a genetic disease with vast history, a wide arrange of symptoms, and an ever developing form of treatment.
20090227130313AA4Wf7a	Education & Reference;Higher Education (University +)	UT transfer essay help?	Prompt:    Choose an issue of importance to you – the issue could be personal, school related, local, political, or international in scope – and write an essay in which you explain the significance of that issue to yourself, your family, your community, or your generation.      Would it be good to talk about the future relations of Cuba and the US?   Talk about what will happen now that Obama is president? (hopefully something).       It's kind of crazy that Cuba is 90 miles away from FL and it's sooo isolated.      Is that a good topic?      Thanks..
20090227135923AAmte30	Education & Reference;Words & Wordplay	If a) God b) Obama c) Palin d) INSERT NAME HERE   Called you...what would you say?	N/A
20090227143754AA0MoFD	Education & Reference;Primary & Secondary Education	Umm... IB or Bust????!!!!?	I'm a sophomore and we are planning out classes for out junior year. My school offers the IB program (International Baccalaureatee [International Bu*llsh*it I should say!]) and I REALLY don't want to take it.      I've taken AP classes both fresh/soph years but in junior/senior they only offer mainstream or IB NO AP :(      I feel bad for not taking IB becuase I REALLY WANT TO GO TO COLLEGE but I might not get in a good college JUST BECUASE I DIDN'T TAKE FU*CKIN IB!      what should i do?
20090309184718AAU9b2I	Education & Reference;Words & Wordplay	What's the difference between a argument and a negotiation?	N/A
20090227114959AAd3kee	Education & Reference;Words & Wordplay	The Fear of Long Words -- How do you pronounce this?	The fear of Long words is: Hippopotomonstrosesquippedaliophobia      Yes this is a real word....now how do you pronounce this long word?        Does anyone else see the irony in this existing english word?
20090227143945AAYlSwe	Education & Reference;Higher Education (University +)	If you will read a history textbook without taking a course, will you still learn the information?	N/A
20090227143812AAGrWSD	Education & Reference;Higher Education (University +)	How hard is it to get into HUNTER COLLEGE?? and is it expensive?	hi i am a sophomore in high school ive been doing OK but i really want to go to hunter collegese  after i graduate from high school !! most of the people around me seems to be telling me that it is impossible !1 is it that hard to get into this collegE???? please help me!!   is 360 per credit expensive ??
20090310000412AAGFcs2	Education & Reference;Homework Help	Algebra word problem help?	I need the equation and solution with the variable (X) and what it stands for Without using decimals in the equation.   For a kindergarten party, Mrs Tully bought 4 more bags of jelly beans selling at 35 cents a bag than of lemon drops selling at 45 cents a bag. She spent $3.00 for the candy. How many bags of each did she buy?
20090310000351AApTqrY	Education & Reference;Homework Help	I love to do research papers on any topic, what occupation could this lead to?	N/A
20090309234703AAO4URu	Education & Reference;Words & Wordplay	I need help with a clever nickname?	I have to think of a clever nickname for the back of a tshirt that we are ordering for our concert band at school   do you have any ideas? (preferably with some musical relation)   my name is emily    and the instrument i play is the french horn      thanks    xD
20090309234734AADN3kU	Education & Reference;Higher Education (University +)	Mba or m.e in embedded system?	hi . i have 1.5 year of exp but not in good company .i have worked in small scale company.could u do plzz tell me what will be gud.. m.e in embedded system or mba .and in future for any placement comapny also concerned wheather u worked in good company or low scale company.i have intrest in both.....plz guide
20090507112841AAUTBWH	Education & Reference;Homework Help	Reference Problem!! ugh!plz help....final soon?	A 'moving sidewalk' in an airport terminal building moves at a speed of 1.0 m/s relative to the ground and is 90 m long. A person trots from one end of the walkway to the other at a speed of 4.0 m/s relative to the moving sidewalk.      Assuming that the person is moving in the same direction as the moving sidewalk, how much time, t, does it take to exit the moving sidewalk?
20090309174133AAi7sHx	Education & Reference;Primary & Secondary Education	Does anyone know of a legit school in TX to obtain High School Diploma either by mail or online?	I have researched many of the online programs and most of them seem like scams. My husband wants to obtain his Diploma but at his own pace so GED is sort of out since he is a truck driver and he works at odd hours. I have tried to contact the state to obtain legit accredited high schools but no one has returned my calls.  I would appreciate anyones input.  Thank you and God Bless!!
20090309174830AA06pTu	Education & Reference;Homework Help	What does "coerce her assent" Mean? It is part of an essay I need to write.?	N/A
20090309185106AAIfgJy	Education & Reference;Higher Education (University +)	Is it likely for me to be admitted for UCSC?	I go to a prestigious high school in California, ~3.44 Cummulative GPA, played varsity football 4yrs, Active Eagle Scout, only, SAT's are quite low at 1470.  What are my chances of getting into University of California at Santa Cruz?
20090309191059AABxK2i	Education & Reference;Homework Help	Who is Jenny Dale? (80 points!)?	Okay so I need a paragraph of Jenny Dales life story type of thing. I need this asap, as I can't find one bit of information other then she has Lot's of books writing and published. If you could give me just a 5 sentences (or a bit less) of like, facts, or just a paragraph of Jenny Dale, I well give you 80 points.    Thanks in advance!
20090309194034AA8b3mS	Education & Reference;Words & Wordplay	What do you think of my name?	What do you think of the name Emily?      Is it too overused?
20090309194329AAUGw6F	Education & Reference;Words & Wordplay	Help?? I need the top ten reasons why...?	I need help with a Top Ten      The top ten reasons why A person burns someone.      Burns as in insults.      Funny and good please!!!   10 PTS TO BEST ANSWERS.
20090309205308AAFRNp3	Education & Reference;Homework Help	Need help with Algebra homework!?	Yes, this is homework. I am not asking for anyone to solve the problem. I am asking for some kind of guidance. I cannot complete question C on this. Any ideas as to what I am doing wrong?         2.As you are leaving the community, you notice another new community just down the street. Because you are in the area, you decide to inquire about it.       a). The sales representative here tells you they also have two floor plans available, but they only have 38 homes available. Write an equation that illustrates the situation. Use x and y to denote floor plan #1 and floor plan #2 respectively.      X + Y= 38      b) The representative tells you that floor plan #1 sells for $175,000 and floor plan #2 sells for $200,000. She also mentions that all the available houses combined are worth $7,200,000. Write an equation that illustrates this situation. Use the same variables you used in part a.      175,000x + 200,000y = 7,200,000      c) Use elimination to determine how many houses with each floor plan are available. Explain how you arrived at your answer.
20090309235319AAziJml	Education & Reference;Financial Aid	Paying for College: Can I get my Dad involved?	I am a senior in high school and my parents have been divorced since I was 2. At the time they set up an in prompt to account for my college when I was older. My father seemed completely willing to help pay for college and his other two boys from his previous marriage were headed in that direction so my mother had no concerns. This, of course was before my mother divorced my father.      As the account's existence remained, my father to turned a complete 180 and refuse to pay for his two son's college. It was a red flag too late, without any legal binding my father had not signed a thing concerning my college, though the joint account still exists.      Two years ago my father and I got into a big fight about my car. My parents had bought me a car in response to my success at a college prep school in which I was excelling. They thought I deserved it. My father refused to pay for any of it and believed it was all my mother’s doing, and she was trying to screw him over again. He ended up paying for less than half, less than his share, but he did help. After that I stopped seeing him.       After repeated talks with him and my mother I have conclude that there is no way for my father to consider giving me much money for college at all.       We have requested from him the entirety of the college fund and then fill in the gaps; all in all he would share the burden 50/50 with my parents.       He told us he is willing to give us less than half of the fund required and none of the college fund which had been set aside for me in the first place. To put this in numbers he is willing to pay for $4,000 of a $17,000 a year invoice, not even half.      I am at a road where there is no easy path. My father makes an insane amount of money, I know this because of the calls he gives my mother (which I have witnessed) where he calls her names and tells her how much money he's making while she makes so little. My mother makes $48,000, my father is $160,000 and he got bonuses, two years ago was $66,000 (but he has already called and told us it was twice as much this year)      Because there is no legal binding in the courts about my college we cannot force him, nor can we persuade him. I'm being told to go after my grandmother, which makes me sick to my stomach, she's 93 years old.       Again I'm not sure what to do I find myself in a place I never thought I would be, a rock and a hard place.      I'm not sure if anyone can offer any help. I will receive a $1,700 a year scholarship, and the FASFA, so far, has given us little hope, my mother makes too much money. If you're wondering why this is all an issue then if she makes so much then you still don't understand. We are upside-down on our house, (we will walk away when I leave for college and my parents will rent) my step dad is out of work (he was in real-estate) and we have little in savings which was drained after the bubble burst in the housing market.       I'm not sure if anyone can give me any advice, I think I've looked everywhere, and well, I'm looking for a job right now.       Thanks for reading.
20090309235438AATvNbH	Education & Reference;Other - Education	Where is this area code for?	566. What city/state is this for does anyone know? I think its Oregon, but does anyone know what city?       Thank you.
20090310000246AAjL6wh	Education & Reference;Primary & Secondary Education	When bsnl[calcutta]"tta exam 11th january2009" result declare?	N/A
20090310001223AAftbHn	Education & Reference;Words & Wordplay	Name sayings PLEASE  READ!!!! URGENT!!!!!!!?	At school we all have little name saying for each of us, but my friend Nikki her saying is getting old and I told her that i would have made up a new one by tonight, but I have no ideas!!!!! This is her current one( she cae to school with a mosquito bite on her neck, not a Hiki!)      Nikki icky bikki sticky has a hikki!      For those who don't know a Hikki is a Rash or mark you get when a guy sucks/kisses you so hard it leaves a mark, on your face/neck
20090310001238AADNJnw	Education & Reference;Higher Education (University +)	What is the state university in New Jersey?	anyone know?
20090310001613AAdrFwN	Education & Reference;Homework Help	Jobs in the wool industries\?	N/A
20090310002439AALJ0O5	Education & Reference;Quotations	I'm doing a feature article on macbeth and i need a heading (preferably with a pun) and a subheading. ideas?	points of focus.   act one scene 5.   act one scene 7.       year 10.   thankyou.
20090310002817AARuq2v	Education & Reference;Words & Wordplay	What does dim mean and a good sentence with it?	N/A
20090310003014AADCs1S	Education & Reference;Other - Education	Education Tools Needed?	I am 21 now.   When I was a child, I was sick alot.   I missed alot of school.   There were many many things I missed learning.   I would like to start back to the basics,   grammer, reading, math, science,    I can't remember all of the subjects.   I would just like to brush up on everything,   I've already learned,   and what I missed.   Is there any sites that can help me do this?   For example...   I missed nearly a month of school once,   And when I got back,   The other students had already learned the times tables.   I'm horrible at division, because I missed that too.   I missed alot of the vowels and constanents lessons in kindergarden.   I missed alot of history, and science.   Not that great at spelling either.   Any help would be appreciatied.   Thanks
20090310003210AAAdbXz	Education & Reference;Words & Wordplay	Whats another word for out of control?	let me word it better its like every thing as gone out of control. the word starts with a c but i dont know how to spell it.
20090310003426AAFTYJj	Education & Reference;Quotations	In To Kill a Mockingbird what does "tired old town" mean?	What does "tired old town" (p11) mean and does Atticus resist this?   Thanks
20090310003436AAsAH3B	Education & Reference;Words & Wordplay	What other words..........?	suicide (Killing yourself)   homicide (I think it's common term)   patricide (Killing father)   fraticide or something like that (Killing brother)
20090310004712AALqBCn	Education & Reference;Words & Wordplay	Does anyone know the meaning of name Samichi ?	there is one of my friend named Samichi we all ask her name's meaning but she always say she too don't know so al of u there please help us to know her name's meaning actually we can ask her parents but samichi said no you all guys search that's why please help us !!
20090310004949AAovrLX	Education & Reference;Trivia	Is CHurchill downs named after Winston Churchill?	Im just curious, is the horse track CHURCHILL DOWNS named after Wintson Churchill?
20090310005316AAkyfMY	Education & Reference;Homework Help	Can you help me? i need a title in my thesis. It must be a business related topic. thank you.?	N/A
20090310005618AA2QK5i	Education & Reference;Other - Education	Education system in India?	I am a B.tech Student in electronics and communication 6th semester. I am having good marks till now but frankly speaking i do not know anything related to by subject. Even having good marks about 70 % still i feel myself helpless. I am bit good in programming in c++ but i feel it is not sufficient. Being an electronics student one should be very strong in basics but i am nill with it. I am afraid what will be my future . I am having 6 months training next semester but no idea where to go for training and in what feild. I am limited to theoritical knowledge only but want to learn things practicaly. I am frustated with the education system in India. I cant go for higher studies due to financial reasons and lack of time . please help me out if any person already gone under such circumstances and guide for my future inmy feild regarding training and placements.
20090310005845AAJihc4	Education & Reference;Primary & Secondary Education	What are some funny ways to travel to my school ball/prom?	something different from a limo
20090310005902AAgPLzQ	Education & Reference;Words & Wordplay	What's the Meaning of this song? Day N Nite- Kid Cudi?	Song:  http://www.youtube.com/watch?v=w3P6f2Rp5...       Lyrics:      Day n nite. I toss and turn, I keep stressin’ my mind, mind.   I look for peace, but see I don’t attain.   What I need for keeps this silly game we play, play.   Now look at this.   Madness the magnet keeps attracting me, me.   I try to run, but see I’m not that fast.   I think I’m first but surely finish last, last.   ‘Cause day n nite,   the lonely stoner seems to free his mind at nite.   He’s all alone through the day n nite.   The lonely loner seems to free his mind at nite, ah ah at nite.   Day n nite.   The lonely stoner seems to free his mind at nite.   He’s all alone, some things will never change.   The lonely loner seems to free his mind at nite, ah ah at nite      Hold the phone.   The lonely stoner- Mr. Solo Dolo.   He’s on the move, can’t seem to shake the shade.   Within his dreams he sees the life he made.   Made.   The pain is deep.   A silent sleeper, you won’t hear a peep, peep.   The girl he wants don’t seem to want him too.   It seems the feelings that she had are through.   Through.      Cause day n nite.   The lonely stoner seems to free his mind at nite   He’s all alone through the day n nite.   The lonely loner seems to free his mind at nite, ah ah at nite.   Day n nite.   The lonely stoner seems to free his mind at nite.   He’s all alone, some things will never change.   The lonely loner seems to free his mind at nite, ah ah at nite      Slow mo.   When the tempo slows up and creates that new, new.   He seems alive, though he is feelin blue.   The sun is shinin man he’s super cool.   Cool.   The lonely nites, they fade away he slips into his white Nikes.   He smokes a clip and then he’s on the way,   To free his mind in search of…   To free his mind in search of…   To free his mind in search of…      Day n nite.   The lonely stoner seems to free his mind at nite   He’s all alone through the day n nite.   The lonely loner seems to free his mind at nite, ah ah at nite.   Day n nite.   The lonely stoner seems to free his mind at nite.   He’s all alone, some things will never change.   The lonely loner seems to free his mind at night, ah ah at night.
20090310010142AAPL3ku	Education & Reference;Words & Wordplay	What is the difference between inflammable and flammable?	N/A
20090310010312AAkzPM2	Education & Reference;Home Schooling	Can I start homeschooling when reg school year is almost over.?	I have been having anxiety issues and it just stresses me out to be in school right now.   The school year ends June 15th but I just don't think I can stay in school for much longer.   I think homeschooling would be a better option for me right now.   When I search on google for home school programs I just find a bunch of stuff that costs way too much money.   I want to just find something where I can get a curriculum and then just buy used textbooks and other materials and maybe set something up with my normal school to go in && take my regents.   The only thing which screws with it a little bit is that my school goes on a semester/block schedule.   We have four 80 minute blocks every day and the core classes like ss,english,math and science are taken everyday for one semester. Instead of every other day all year long.So this year I already have 1 credit of science and one credit of global.       How exactly would it work. Because this semester I am taking global 2, so in school I would be finishing that in June, but would I be able to continue with homeschooling during the summer as well.   Through school I am already taking an online course of English 11 through PLATO.   So if I switched to homeschooling I would then be doing Global 2 and English 11.   But if I did homeschooling would I be able to take other classes as well to graduate early.   Well not really graduate early because my original graduation year is 2009 but due to anxiety I dropped out my sophomore year.    So I fell behind.      I highly doubt I'll get any answers now since I wrote such a long question, nobody probably even bothered to read everything.
20090310010537AAZVBt5	Education & Reference;Financial Aid	Can i recieve more than one grant on my fafsa?	if i fill out my fafsa and my efc is 0 can i recieve more than one grant? also I know the max is 5,000 for pell grant is that for one quarter or year?
20090310011119AAMWC9q	Education & Reference;Teaching	The English public school?	Is the English public school difficult?
20090310011231AA0SC4m	Education & Reference;Higher Education (University +)	I am doing my final B.pharmacy .I would like to join MBA program how much percentage i need for applying GMAT.?	N/A
20090310011401AAj8bIR	Education & Reference;Other - Education	Does any one know of any ways to get on to bebo on a school computer......?	or how to get through the URL filtering...
20090310012047AAmDybq	Education & Reference;Teaching	Why do you want to become a teacher?	I want to apply to become a teacher mainly because in my place a teaching proffesion though not earning much but it is quite a stable job; working with the government. However I cannot simply put this reason during the interview. What should I say? I know I shouldnt be lying but I really wanted to become a teacher and excel in this career. What would be the wisest word to say during the interview if they ask what do you want to become a teacher?      Thank you
20090310012341AAclEeK	Education & Reference;Words & Wordplay	What does "Sekiha Tenkyoken" mean in English?	In the show, "Mobile Suit Fighter G Gundam", there's the main character named Domon Kasshu who says that as he performs a powerful attack in his Mobile Suit, Burning Gundam (called "God Gundam" in Japan).      What is the english translation of those two words?
20090227130607AAUFdI3	Education & Reference;Words & Wordplay	Who and what is rumplestiltzkin?	who and what is rumplestiltzkin
20090227130947AA6F4j7	Education & Reference;Words & Wordplay	I need a scene name for Deserae?	I have been trying really hard to think of one, but I cant seem to find one that is well amazingg. So can you help me? Please.
20090227131546AASu5rI	Education & Reference;Homework Help	Can someone give me an idea on what to do a little childrens book about?..READ DETAILS =]?	I have to do like a 5-10 simple page children's book based on a tiger but I have no clue what the story should be based on. Pleasssse help me I only have the weekend to do it.   Your help will be muchly appreciated =].
20090227135510AANmnUe	Education & Reference;Homework Help	PLZ HELP WITH 7TH GRADE ITALIAN PROJECT!!!!?	i cant find info::      This is what the paper said:         Italian cooking is described as "la cucina mediterranea"   Research some info about "la cucina mediterranea": some basic ingredients, typical dishes, and recipies.         THANK YOU! person who helps most will be rewarded with 10 points!! THNNNX!
20090227142256AA1UwN4	Education & Reference;Words & Wordplay	What is the word tammor unscrambled?	N/A
20090227143301AAkljM7	Education & Reference;Trivia	Icp (Insane Clown Posse) In My Room.?	i was told by a friend who was also told by a friend that icp's In My Room's real music video was taken off the internet and everything all around the world   does anyone know if this is true? if it isn't can you please post the link on here i really want to see the video      thanks so much!!! =]
20090227143727AAWxKL2	Education & Reference;Other - Education	The united states achievement Academy?	i got a letter from the united states achievement academy and i did a little research and everyone says it is a scam, but i don't see how it could survive if it was a scam[shouldn't it be illegal or something?]
