20090304162506AALGSL3	Society & Culture;Religion & Spirituality	Can one be Gay and still be accepted by ones religion?	If not, why not?
20061211091151AAfcQRN	Society & Culture;Other - Society & Culture	Ja achou dinheiro na rua?Quanto?	N/A
20070325183900AAmKdki	Society & Culture;Other - Society & Culture	E' meglio una cosa vera o una cosa finta?	Come mai di una cosa vera si dice "E' così bella che sembra finta!" e di una cosa finta si dice "E' così bella che sembra vera?   Ogni volta che mi capita di dirlo o di pensarlo, rimango perplessa!    Voglio dire... ci piacciono di più le cose finte o le cose vere?    O cerchiamo la perfezione sempre e comunque?    E allora qual'è la perfezione?    La verità o la finzione?
20070205125828AAnqlr7	Society & Culture;Religion & Spirituality	Why is the mayor of R&S wearing a santa hat and beard?	lol...Darwin??
20060925143529AASMwFa	Society & Culture;Other - Society & Culture	Where is a good animal/zoo live cam site?	N/A
20070201193956AAwq5p9	Society & Culture;Mythology & Folklore	Is sasquatch an emo?	N/A
20090305025313AAxHnug	Society & Culture;Religion & Spirituality	What is the difference between these religious titles......?	Priest   Reverend   Father   Minister   Pastor   And any others I can't think of.
20061117143223AAoBrno	Society & Culture;Religion & Spirituality	YaY I'm NOT Blacklisted :D?	........Yet!
20061212042717AAaGXIJ	Society & Culture;Religion & Spirituality	Qui peut me dire dans quel pays se trouve le jardin d'eden? Et ou sont?	Les tables de la loi?   Je cite les "Dix Commandements de Dieu"
20061026120012AALmBao	Society & Culture;Other - Society & Culture	Muslims in society!?	What do you think about muslims in american socitey? What do u think about muslims personally? and why do u think that? Any opinions accepted!thnx.
20070319160431AAFqYse	Society & Culture;Other - Society & Culture	Classmates tease me for my ability in algebra?	They say that surely I spend all day practicing or things like that. And they say I'm stuck up because of it. But I don't say a word about algebra, and they know I'm good at it because the teacher sends me to the blackboard. I don't think it's such a special ability. How do I get them to stop?, it's really annoying to me. I try to be humble of it. Serious answers, please!.   Thank you so much :)   oxox.
20090305030641AAGFsdy	Society & Culture;Other - Society & Culture	How do you think bono and i could save the world?	N/A
20090305032157AAlyLoH	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	My boyfriend has really bad BO in the morning?	When we wake up in the morning he smells so, so bad. What can I tell him to do so he doesn't have to get up and immediately take a shower? I want to be able to just cuddle in the morning with out needing a gas mask.      He's already tried putting on deodorant before going to bed and it didn't really work.
20060906162256AA2I4VK	Society & Culture;Other - Society & Culture	Hoy me siento muy feliz saben porque hoy fui abuelita vino una  ni?a hermosa a mi familia y a ti que te paso?	en este dia de septiembre cuentame y comparti conmigo esta alegria
20090305033842AAy89Uz	Society & Culture;Religion & Spirituality	Why is it that Christians keep claiming that Jesus fulfilled all the prophecies in the OT when he didn't?	In Fact NONE of these so-called prophecies were there in the first place. They were ALL made up by the frauds who crafted the New Testament?      Why is that?
20090305034459AAews2T	Society & Culture;Religion & Spirituality	What can we all do to help solve the muslim unemployment problem in the UK?	 http://www.statistics.gov.uk/cci/nugget.... 
20090305032349AAbeUFg	Society & Culture;Religion & Spirituality	If God exists, why doesn’t He make His existence something provable and undeniable?	clue: log on to www.rbc.org
20090305022605AAU9pFF	Society & Culture;Other - Society & Culture	Do I look like I am from the Caribbean (west Indies)?	Ive been told that i look exotic and if I am either Jamaican , Haitian or Guyanese. Some even told me that I just look like I am from one of the islands in general. What do you think?       http://i700.photobucket.com/albums/ww6/p...        http://i700.photobucket.com/albums/ww6/p...     http://i700.photobucket.com/albums/ww6/p...     http://i700.photobucket.com/albums/ww6/p... 
20090305024823AA20f6i	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Do Italians view Scottish people as scruffy,backward people?	It's just that an Italian had a bit of an eppy at work the other day,saying really bad stuff about us,we have never contributed anything to the world,etc we're scruffy,etc we eat terrible food,etc.
20090305024125AA1TDL2	Society & Culture;Other - Society & Culture	Why do so many people feel sorry for drug addicts?	N/A
20090305033151AAvP4Fv	Society & Culture;Religion & Spirituality	Are these statements TRUE or FALSE? if false, please explain why and vice versa thanks?	1) None is righteous   2)We should share the gospel if we have free time
20090305033652AAz9AZj	Society & Culture;Religion & Spirituality	What do athesits do on a Sunday morning when deep down they know they should be in Church worshipping?	N/A
20090305032714AAV0qqH	Society & Culture;Religion & Spirituality	Why are athesits scared to admit God is real?	N/A
20090305031444AAOrDzv	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Is it true that there is a spermicidal gel/lubricant?	and is it protection against STD's? or should you use a condom and that if it exists.
20090305024656AAoh85m	Society & Culture;Languages	What does "Exhibit A" mean?	As in: New Orleans Is Exhibit A as Edwards Opens His Presidential Campaign.      (from:  http://www.nytimes.com/2006/12/29/us/pol...       In some cases, it seems A refer to "atrocity".      Thank you for help.
20090305033918AAZzECK	Society & Culture;Religion & Spirituality	Do you believe the Bible without question?	because to me it seems far fetched so I question alot of the stores is this wrong?
20090305035043AAaSi3o	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	So there is this girl...?	And she is my first girl crush...We don't have a ton in common to talk about, we work together but in different areas. I have a major crush on her and really would like to get to know her better! A lot better! But it's so different than with guys ya know? I don't know how to tell if she is into me too? I don't know how to let her know I'm interested in her, I'm not sure how to go about "flirting" with a girl!!! Help me out! I need to come up with an excuse to give her my cell number too! I am thinking of telling her that I haven't been getting texts at work and I think it's because I have to service and if I give her my number could she please text me to see if it goes through? Is that too wierd?
20090305031540AA8X2Qd	Society & Culture;Religion & Spirituality	Will I be forgiven?.?	I am trying to overcome an addiction. I have tried to promise God I would stop, e.g. I put my hand on the Bible and said I promise I wont do it again. But I wasnt strog enough and I broke my promise to God five times. Will God forgive me because I am truly sorry?
20090305033152AA0DgKV	Society & Culture;Religion & Spirituality	I am so scared of the unknown?	I am so scared of dying. Its just the unknown. Recently I have been conscious that I have sinned against God, and thought that now I am going to hell. This really scared me and i think it has made me depressed. is anyone else scared? Will God forgive me?
20090305023309AADBcIE	Society & Culture;Other - Society & Culture	So what is everyone doing with themselves today if you are not at work ?	N/A
20090305022755AAInxPo	Society & Culture;Religion & Spirituality	An atheist told me that when he dies, he will become fertilizer to a tree. Do you know what I told him?	I told him I wish they cut down that tree, and make the wood into paper. And then print the Bible on the paper.       Why atheists always trying to convert me? Why can't they just leave me along. I respect their beliefs! Why can't they respect mine?!
20090305032057AAgsoEt	Society & Culture;Religion & Spirituality	Have you seen a soul?	N/A
20090305034739AA6vV0h	Society & Culture;Religion & Spirituality	What will you do when you become a soul?	mine i will let u know when i die
20090305033726AAtqJzs	Society & Culture;Religion & Spirituality	What does the word soul mean can you explain it?	N/A
20090305024322AAN9pYD	Society & Culture;Languages	How to improve fluency in spoken english without any grammatical error?	How to improve fluency in spoken english without any grammatical error? Is it posible that I could speak simple and correct english if I practice regularly for a year?
20070118070300AAyLlmT	Society & Culture;Other - Society & Culture	No se porq?	no entiendo porq hay mucchas personas q viven  aki en usa y tienen una vida muy buena economicamente y tienen a su familia bien, no tienen nada de q quejarse pero siempre estan diciendo q odian este pais.. porq actuan asi? si este pais les esta dando todo?
20090305022621AASMWRQ	Society & Culture;Religion & Spirituality	Whats an Atheists Hangup about Christ?	Why are they so hung up over whether or not he is really the Son of God....or for that matter why are you hung up over if there is a God or not
20090305033936AAa3TNJ	Society & Culture;Other - Society & Culture	Which year was the best year of your life?	mine: year 2003   and year 2006   the best. :( wish i could turn back time and relive them
20090305033729AAyeLMR	Society & Culture;Other - Society & Culture	Does any one feel like committing murder when people gulp or suck their fingers?	rude eaters drive me insane i think i might need help if im alone on this i really cant stand it!
20090305031536AAXG5WF	Society & Culture;Languages	Italian to English, Song translation?	english translation please (no online translators);      ho detto    io mai    sarei stato qui    solo a PER    rimpiangerti così    il fuoco    le feste    mai una NOTTE persa    sempre una diversa    nessuna storia solo io       solo con te    le stelle DI MARE    solo il tuo viso    riuscivo a guardare    solo un'estate tu    sei stata mia    solo è finita e    ti porta via       io so    l'inverno    la fotografia    scolorirà    la metterai via    lontani    un mare tra di noi    all'amica chissà se    racconterai di me    so solo che lei non capirà       solo con te    LE stelle DI MARE    solo il tuo viso    riuscivo a guardare    solo un'estate tu    sei stata mia    solo è finita e    ti porta via       non sono    illuso    non ti chiamerò    mi brucia un po'    ma non piangerò    PROMESSE    messaggi    solo che non basterà    un anno passerà    cambia il mondo E    LA nostra età       solo con te    le stelle DI MARE    solo il tuo viso    riuscivo a guardare    solo un'estate tu    sei stata mia    solo è finita e    ti porta via
20090305031455AAFlSA2	Society & Culture;Religion & Spirituality	WHAT IS THE DIFF BETWEEN CHRISTIANS AND BAPTIST?	ANYONE...
20061218020804AAnC6Ew	Society & Culture;Other - Society & Culture	O que você faz para n?o desistir de alguma coisa que você está fazendo?	N/A
20090305025621AAteKWz	Society & Culture;Religion & Spirituality	Have you ever considered the monumental power it took for God to die?	Jesus, who is God, died on the cross, a curse, out of the power of love.  How powerful must His love be for Him to extinguish Himself in that He is life itself?
20090305024235AAaTVu6	Society & Culture;Religion & Spirituality	Any christians familiar with the "restored church of God"?	does anyone have any first-hand experience, like attending one of their services? does anyone here belong to that church? (i do not support or judge them at this time.)
20090305023123AAf4kfB	Society & Culture;Religion & Spirituality	What do you think god is thinking right now!?	N/A
20090305034937AAbkFua	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	The saddest Gay love story ever :(?	The Adventures of Music the Ranger 1   Sequel to last plot I revealed      In the prelude game you can only play as Music and the others where just supporting roles.   In this game there are six playable characters: Music the Ranger, Kyle, Richard, Chris Brown, G-102 Gamma, and Steve. Music is the only charcter selectable at first the other must be unlocked through the course of the gameplay.      Although all the charcter's stories overlap into the main plot, each character has an individualized storyline.      PLOT:   After Doctor Gayman is defeated by Music the Ranger and his Death Gay Star (Star Wars joke) is desltroyed, he quickly discovers another way to attempt to every person on Earth gay. He goes back to Alcatraz Island when Richard is again sleeping on the job and shatters the Master Emerald again releasing the monster named Gayness. Richard wakes up and has a brief encounter with Gayness before Alcatraz Island again falls out of the sky. Richard embarks on a mission to gather all of the broken pieces of the Master Emerald (the premis of Richard's story).      Music the Ranger finally makes it back to his hometown if San Jose, California but upon arrival he witnesses a huge police chase so he follows to see what's up. The police try and shoot Gayness 0 (Gayness is numbered 0-7 depending on the number of Sex Emeralds he's consumed) Music defeats the creature but he's perplexed as to what it is.      Kyle crashes his airplane of the Santa Cruz coast and Music goes to rescue him. Kyle then reveals that he's using a Sex Emerald to power his plane. When Kyle and Music head to Kyle's workshop they confront Dr. Gayman and battle the Gay Hornet. Afterwrads he snatches Kyle's Emerald and feeds it to Gayness making him more powerful. With all seven Emeralds, Gayness will become invincible and Gayman plans to use him to gayify the world.      Music and Kyle go off to find Sex Emeralds while Richard finds more Master Emerald shards. Gayman steals another Emerald from Music and Kyle. Richard see Gayman carrying a Sex Emerald an mistakes it for a piece of the Master Emerald. Ricahrd the battles Gayness 2. After the fight, Gayman convinces Richard that Music is after the Master Emerald pieces.      Richard sees Music and Kyle with a Sex Emerald and again mistakes it for a piece of the Master Emerald. The fight and Gayman steal another Emerald. The all battle Gayness 4. After, Gayman reveals he new spaceship, the Gay Carrier. Music and Kyle hop in their plane the Tornado and chase the Gay Carrier but they get shot down.      Kyle reminisces about his friendship with Music. He then goes off to find another Emerald for the Tornado 2. Froggy swallows the Emerald but Kyle catches up. Froggy is Steve's pet.      Chris Brown reminisces about all the times Music has saved him. He considers Music his hero and have an infatuation for him by this point. The Gay Carrier flies over his head and drops a little bird he names Lily. But G-100 Zero is after the bird and chases Chris Brown in order to get Lily back. Chris swears he'll protect Lily and help her find her family (this is what Chris' story is about) On his way he sees his hero Music and points out that "Cute couples can get in free" to the local amusement park due to a promotional offer. Chris makes Music chase him through the theme park but he ends up getting chased by Zero instead when Music loses track of Chris. Zero then kidnaps Chris Brown and takes him and Lily the birdie onto the Gay Carrier. Music climbs mountains to chase after the Gay Carrier. At the mountain's peak, Kyle arrives in the Tornado 2 and they land on the Gay Carrier. Richard also arrives here as he discovers that the last pieces of the Master Emerald are aboard the ship.      This is the gay human-robot love affair part. G-102 Gamma is one of Dr. Gayman's G-100 Series gaybots. Gayman sends Gamma to get the bird from an imprisoned Chris Brown. Chris refuses to hand over Lily and begs Gamma to set him free. When Lily looks Gamma in the eye, it causes to Gamma to let them go. Chris Brown is shocked to see this gaybot has a heart and offers Gamma his friendship.      When Music and Kyle find Chris being harassed by Dr. Gayman over the bird because the bird has a Sex Emerald, Gayman summons Gamma to battle Music. Just when Music is about to finish off Gamma, Chris Brown stops him. He explains that he won't let Music hurt Gamma he says how that gaybot is different than the others for setting him free and urges Music not to hurt him and Music agrees. Chris then goes to Gamma's side in tears begging him to wake up. Gamma wakes up and is shocked to discover that it is Chris Brown who saved him life. Chris extends an even deeper offer of friendship if Gamma leaves the dark side. When they leave Gamma's hard drive has an overlaod of emotions but Chris Brown's kindness towrads him causes him to malfunction and turn on Dr. Gayman and he sets out to destroy his brothers from the G-100 Series.
20090305023444AAYxef6	Society & Culture;Religion & Spirituality	Ok I need some information on satanism in alabama ive just moved here and im looking for a coven?	im a member from florida can you please give me some contact info for ne alabama
20090305030003AAGiOaH	Society & Culture;Holidays;Ramadan	Ramadan:   *only and ONLY girls* please no males...please.?	hey please no males ok...m so shy..u noe i dont noe what and how to ask the Q....   u noe i made a new account only that people dont noe who i am...hey please males even if u read the Q dont answer..i'll cry the entire day..m telling the magic wrd PLEASE!!   ok anyway..o maan i cnt ask the Q.      ok ok..   u noe i sometimes...not sometimes always...   ok wait...      u noe..like how blood flows during prd i have that kinda white thingy 24/7...even during salaah and so what is it?   is my prayer valid in this situation?   i noe u people didnt get what i am telling..but i dunnoe how to say.   but please answer
20090305024122AAt7nUu	Society & Culture;Mythology & Folklore	How does one ward demons?	Alright, so you're in a G-dless place, so you do not have a bible or any sort of religous items, all that you have is your mind, your body, and the clothes on your back.      What is a simple method for warding off demons? Not demons that possess people, but rather physical demons.       I had this issue in a dream the other night, I tried two signs which I were told were used to ward the evil eye, but they did not work. The sign of the cross did nothing either.   I also have weak faith that I cannot depend on, so perhaps that is why some of that did not work.      I would be interested in any sort of spiritual methods, any folklore, or just things you've heard hear and there.      Thanks!
20090305031840AABOLqy	Society & Culture;Languages	What this sign's name?	I don't know how to call this..    http://i43.tinypic.com/f04vhu.jpg 
20090305025106AAd9IxC	Society & Culture;Religion & Spirituality	Evolutionary theory offers not a single conclusive shred of proven material evidence for it's basis?	Does anyone else find it ironic that the explanation for such a vast amount of what exists in the material world hinges upon a theory that actually has not a single shred of physical evidence to back it up?
20090305033203AAFhLoV	Society & Culture;Religion & Spirituality	Doesn't the presence of Mitochrondial Eve in the DNA of all people endorse the Biblical account of creation?	'Mitochondrial Eve (mt-mrca) is the name given by researchers to the woman who is defined as the matrilineal most recent common ancestor (MRCA) for all currently living humans. Passed down from mother to offspring, her mitochondrial DNA (mtDNA) is now found in all living humans: every mtDNA in every living person is derived from hers.'    (Source: Wikipedia)   In the book of Genesis we learn that God created the first man, Adam and then from him the first woman, Eve. Named 'Eve' because, 'she was the mother of all the living' (Genesis 3:20).
20090305022647AA1AraG	Society & Culture;Religion & Spirituality	If muslims are so "Scientific" what great scientific discoveries came from Islam?	I can name a long list of scientific discoveries discovered by Christians and Jews.  I really don't know many if any from Muslims.
20090305034313AAucXjN	Society & Culture;Religion & Spirituality	Atheist answer me this!?	Can you honestly say that you have never felt at some sort of subconscious level the slightest tug at your heart and mind to believe in GOD?      And for the dis creditors of the BIBLE....how many of you have read it..and if so what was hardest for you to believe?      Just curious...I didn't know there are so many non believers!?!?
20090305022851AAokTL6	Society & Culture;Other - Society & Culture	American View of the rest of the world?	How do Americans see the rest of the world?   This question :    http://uk.answers.yahoo.com/question/ind...    got me thinking about how US citizens see other countries, so I'd like to expand it my asking not just about history in schools, but also about where they see their place in the world, and do other countries and their own culture and histories really matter?
20090305030532AAWtLJU	Society & Culture;Holidays;Other - Holidays	Good ideas for a boring sunday....?	I need some good ideas on what i could do this Sunday with my boyfriend, i dont want to be sitting at home bored! x
20090305023320AA4mEAZ	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Reasons why racism cacnt be stopped in Australia.?	Hey guys im doing an essay for school and i just need some help.   i just need some reasons why racism cant be stopped in Australia.      cheers
20090305022407AAX1SBY	Society & Culture;Etiquette	How can I be a stronger person?	Things in the U.S. can be rough at times, because so many people seem really selfish compared to the people in my parents' home country (Philippines). Just the other day, I (stupidly) gave up my spot at the counter to some old lady who tricked me into thinking that there was only one line when my judgement told me that there were 2 lines (2 counters, 2 cashiers, 2 separate lines to purchase products, right?). Then the cashier treated me as though I were a neanderthal, and snorted at me when I left. I don't know how to argue with these people (I'm more of the type to assertively, yet calmly state my position. I'm not the type to angrily blurt out an emotionally fired response, but from what I've seen in the past, most people get what they want by yelling in a person's face. I'm really confused b/c I always thought that yelling in  a person's face just proves that the provoker got to that person). Please help me. I'm confused as to how to act in the "real world".
20090305023635AAB5iTu	Society & Culture;Other - Society & Culture	Three greatest places in the world (American only)?	California   Florida   Texas   what about you?  Keep it American, please.
20090305022806AAKH2ys	Society & Culture;Languages	Spanish to English translation?	Could anyone translate following to english please. :-)      hola ratita estoy ahora en mexico!!! pero la verdad no creo regresar a los jodidos u.$.a eso creo y que hay de nuevo por tu ciudad!! salud...
20090305022950AABrXRs	Society & Culture;Languages	Spanish homework please help?	how would you ask a hotel if they had a room for 3 nights on the 2nd 3rd, 4th march
20090305030814AAAqr2A	Society & Culture;Other - Society & Culture	Has food become more like a form of necessity than something enjoyable?	N/A
20090305031051AALFwIK	Society & Culture;Other - Society & Culture	What are we rushing for?	N/A
20090305023514AA4kxMY	Society & Culture;Languages	German Romantic Songs?	You know, I've looked everywhere for some romantic songs in German, all the German forums just talk about songs in English.      I'm looking for something that sounds more like Alejandro Fernandez (Te voy a perder) or Miguel Bose (olvidame tu)...         You know something with a soft slow tune and with a gentle voice.      If anyone can help on this, it would be greatly appreciated.
20090305024055AAeoVCo	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	I need a gf but i`m fat and have an accent ?	i weight 280 lb i`m a big not very tall guy i do have a strong accent and i don`t know if girl would ever love or even like me , i`m ready to give all my love and my heart for a girl that would understant my situation but how can i find her . i`m 24 and i really don`t know how to deal with that i was thinking to go back to where i`m from but i can`t coz all my future is now here plzzzzzzzzzzzz help
20090305024304AAIR8Il	Society & Culture;Religion & Spirituality	I have accepted Jesus Christ as my saviour but I have bad thoughts about him in my head?	and i think im going to hell, its like everytime i try to stop them the more they come. help plz. what can i do?
20090305030232AAfeHjf	Society & Culture;Religion & Spirituality	Who are the Lost tribes of Israel?	everyone has their own opinion, so lets hear them.      no ones right now ones wrong just post your answer and list all 12 tribes and who you think they are.
20090305030940AAC89WE	Society & Culture;Religion & Spirituality	What are the different Black Israelite sects?	I don't know what the official classifications are if there are any. Right so I'm white and I wanted to look into all this 12 tribes stuff, I know there are different sects of black Israelite so if you are an intelligent(in other words no flaming idiots) black Israelite and you know all the sects and their details please explain.      Here's an example of a format you can use when responding(respond anyway you feel is best though, nothing to sloppy though.)      Sect name: Black Israelite 0   Description: A black Israelite sect that believes the white man is not Esau.   O/N testament beliefs: Believes only the old testament.      There's an example, answer away!
20090305025547AAGkGye	Society & Culture;Languages	A little help in japanese?	I got this sms in japanese. Have no idea what these words means.      "Ame ga agaru tooku sora nagame.. kumo no kirema sagasu itsumo yorimo sukoshi toowamari.. umi e tsuzuku michi o.. kireisugita omaega mikiri shinaide sono mama kakerusou"      please help me translate this and do tell me this is not a lyric from japanese song.
20090305025348AAISv5m	Society & Culture;Languages	My friend  daughter is participating in a fancy dress competition as a doctor, what lines she should speak?	N/A
20090305025541AAifsYS	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Is this a homophobic question?	Is it OK / Allright / Acceptable for you to be gay and Muslim?
20090305025704AA2GP52	Society & Culture;Other - Society & Culture	Why do you think this is so?	if haters don't like me, then why do they keep on talking about me?      ;)
20090305025849AAHR8bD	Society & Culture;Religion & Spirituality	Yesterday I posted a question regarding the Bible, Christianity and slavery.  I was somewhat shocked in that?	some of the responders seemed to be saying that slavery is and was okay as long as the slave accepts his plight and the master is fair and just.  I just cannot see it that way.  In slavery - one person owns another person.  No one is ever going to own me without a fight.  No soothing words from Paul are ever going to convince me not to disobey my master.  I'm guessing that if these responders imagine themselves living in this era that they think of themselves as fair and just masters.  Try imagining yourself as a slave and see how you feel.  Why would they say this?  To defend The Bible at any cost?  Many of the responses were extremely well written and obviously came from people with a very high education.  But you use the English language as a tool to obfuscate the truth.  To say that slavery was a reality and therefore there had to be fair and just laws governing it is like saying that torture is a reality so in order to be just we need to be sure that the family members of the victims never have to see their mangled bodies.  Several of the responders championed the notion of obedience.  I agree that obedience is proper and necessary but only to an honorable principle.  Slavery does not qualify as an honorable principle.  Some of the responders painted a rather benign picture of slavery during the Roman Empire.  In about 75 B.C. a slave named Spartacus led a revolt against the Romans.  The revolt ulitmately failed but had some brief initial successes.  After reading several accounts of this conflict it is very clear that Spartacus did not choose to be a slave.  It is also very clear that he did not find life as a slave to be enjoyable.  Was Spartacus wrong to disobey his master?  Would Paul have chastened him and counselled him to abandon his foolish rebellion?  After all - even if he had to spend his whole life as a slave - and even if his children had to spend their whole lives as slaves - maybe - just maybe - one day - his great, great, great grandchildren would be allowed to be free.
20090305030124AANyvel	Society & Culture;Mythology & Folklore	Is she really a ghost?	a few days ago, my bestfriend gave me this portrait of a girl with straight black long hair with straight big bangs, pale skin, dark brown eyes and a little grin on her face. she said i looked a bit like the girl on the frame. and it was a gift.   ever since i got the portrait, i've been seeing this girl every time i am in class(but she was a bit transparent). i have ignored her since. last night i saw her open the door and straight into my room and she opened the window. so i thought she was just imagination so i shrugged my head and she sort of disappeared. but the door and window was open.   i got scared so i went into out living room and turned on the tv. a few minutes later, my best friend called my phone and told me that the girl in the picture was haunting her a bit cuz she saw her everytime she passes by the store where she bought the portrait.   this morning, when both of us were on our way to our school, we passed by the shop where she bought the portrait. it had a "GONE OUT OF BUSINESS" sign by the glass window..   do you think it was just our imagination?   do you think it was a coincidence?   or is the portrait really haunted?   this is not fake...   i've had enough...
20090305030312AApbLyj	Society & Culture;Holidays;Other - Holidays	What should i do for my 13th birthday?	for my birthday me and 5 friends are going to the gold coast for a night. What should i do to make the party awsome    money is no issue
20090305030320AA7XiOA	Society & Culture;Religion & Spirituality	From whom did the "Romans" learn the gospel?	What culture of people did the Romans learn the gospel from. I have few suspicions, but I would like to hear other peoples answers.
20090305030416AAKJzSO	Society & Culture;Religion & Spirituality	What exactly is the kesh?	I know what the kesh is, its the uncut hair of a sikh, but i wanted more insight as to why sikhs wear a turban, why they dont cut thier hair and thier personal feelings on this.      thanx!!
20090305031219AAIFzP5	Society & Culture;Languages	How i learn spoken english?	how should i improve my spoken skills.can u suggest me some learning sites.i ve been learning english for quite a long time but still i am not speak with others.
20090305031241AAnuNjV	Society & Culture;Languages	MI POTETE TRADURRE GENTILMENTE LA VERSIONE AGESILAO DIVENTA RE DI CORNELIO NEPOTE ,DVCONTROLLARE SE HO TRAD BN?	N/A
20090305031416AA3wcpT	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Jump into the deep end or let things mature?	Well recently i've been sensing some mutual feelings from some guy at school, but we're both pretty shy (i'm actually pretty extroverted, but I become speechless when i'm around this guy)       So it's the start of the year and this is the last year of college, should I jump in the deep end or should I try to get to know this person over time? Which option reaps the best results?      It's so strange, last year I always noticed this guy staring at me, we had no classes together back then. But now we have 3 together and he sometimes glances at me, but I feel he is trying to distance himself from me because he doesn't want to go assuming.   I have a feeling that's what i'm doing though.       I believe people are straight till proved otherwise, I kinda lost hope for a while, but in a group discussion a few days ago we were discussing how liberal our state was and he brought up the topic of gay marriage being pushed (in a neutral manner) but I was kinda surprised he even mentioned it.      He seems like a pretty talkative guy in class, but the few times we talked he seemed kinda nervous and avoided much eye contact.      So anyway, what do you think about my situation?   (I usually answer questions myself, but i felt that I had to vent my experiences to someone)
20090305031631AAPsXxP	Society & Culture;Religion & Spirituality	Canceling bar mitzvah celebration as punishment for wetting the bed?	My son will be 13 in a few months and he still wets the bed almost every night. According to halacha, he'll still become an adult whether there is a ceremony in shul or not. But he certainly isn't a "man" if he still wears diapers to bed. I'm sure you can imagine how I feel having to buy him "goodnites" at the supermarket. I fill up the cart with other things, then go to the diaper aisle, look around to make sure no one can see, then I put the goodnites in the cart under other things. Is taking away his bar mitzvah an acceptable punishment? Of couse, he can have the party as soon as he starts waking up dry.
20090305031601AAbLGwg	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Are there any gay rehab centers ?	well my friend wants to check into a center and he says it will turn him straight so i am helping him find one any places anybody knows?
20090305032419AALF09b	Society & Culture;Other - Society & Culture	Other Men.. How does it makes You feel when you see a Man who is more Atrractive than You?	as Straight men does this make us feel uncomfortable or jealous? do you ever feel intimidated? especially if you are out and you are arround attractive women who you think might go for them other than you? this is as intresting topic..
20090305033936AAHS7Xz	Society & Culture;Other - Society & Culture	Women..Do you really like the stares and looks from a Man in the street?	i am under the impression women find it annoying, or do you like it and feel complimented and attractive about yourself? after all it is a compiment.
20090305032603AA8LVhO	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Is the sex you dream about most determine your sexual orientation?	For example, most of the time if i have dirty dreams (sorry to offend) but most of them are about guys and then now and again i have a dirty dream with a girl and I would describe myself as bi. So does that mean completely lesbian girls only dream about the same sex and so do gay guys only dream about men.
20090305034049AAVAuZ1	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Why forehead are small of girl than boy please reason show?	N/A
20090305034622AASwOZK	Society & Culture;Mythology & Folklore	What does it mean to have a dream about a penny and a screw?	I had a dream that someone told me to rub a penny and a screw together, and now I'm confused.
20060614174630AAhKnkK	Society & Culture;Other - Society & Culture	How is the different between Canadians citizen & immigrant?	I want to know that canadians and immigrant can get the same chance to go to school especially university.
20060719084528AAr81Dp	Society & Culture;Languages	Can some one tell me if there are any arabic or pashtoo training classes or people in pune??	I would like to learn this too languages?
20061115135942AAik2n6	Society & Culture;Languages	If somebody has a last name Choi, what country do you think it came from?	I just want to know about this last name Choi, cause I heard of He Soop Choi, a famous basball player from Korea and he plays for many teams in the past few years. But I want to know if this last name is Choi is Chinesse or Korean. I just want to know. Thank you.
20060907164322AABVmrY	Society & Culture;Other - Society & Culture	How do I write in a Victorian Style?	I am writing a story that spans over many periods in time. It will go from 1900's and the Victorian age right up to the 2050.    I have to write letters and diary entries etc in a Victorian style but can't even seem to get the date write! The letters & diary entires are to be written by a couple. (Male & Female)   Can anyone out there help me or even help me find somewhere else that can help? Thanks very much.
20070318121234AAYI3Ke	Society & Culture;Religion & Spirituality	Por que el catolicismo es una religion de tolerancia y perdon?	N/A
20061010125935AAp8ytl	Society & Culture;Religion & Spirituality	What does it mean when people say they're on track, or they're trying to talk to their guide?	N/A
20061218105328AANUkUW	Society & Culture;Religion & Spirituality	Isnt God wonderful ?	He has been so good to me!!!!!!!!!!! AND FOR ALL THAT SAY NO I'LL PRAY FOR YOU
20061107183315AAheKQM	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	What really goes on in a guys mind?	what do guys really think about when there around girls or talking to them or when they have g/f? do you guys really only think about sex? what do you do when you really like someone
20061110145034AALYL2w	Society & Culture;Religion & Spirituality	Yakjuj makjuj stories?	i want to know more about go and magog ......does anybody know the details about this peoples...........
20061113051044AAJ8TuX	Society & Culture;Religion & Spirituality	Which University is the best universtiy for theology in UK?	N/A
20061118153949AANpvmn	Society & Culture;Religion & Spirituality	Since I am right, why does God insist on being wrong?	RAmen
